participant,item,is_palatal,glide,dur,dur_std,palatal_sum,glide_sum
p03,ayuda,palatal,u,127.26,0.48380983124989385,1,-1
p03,chiaba,palatal,i,60.13,-0.7509159367980421,1,1
p03,costonhialo,palatal,i,61.53,-0.7251656600921416,1,1
p03,dinosaurio,other,u,89.02,-0.21954058391699252,-1,-1
p03,faluduako,other,u,76.9,-0.4424644079709322,-1,-1
p03,falufialo,other,i,64.8,-0.6650203709290736,-1,1
p03,faluguato,other,u,78.22,-0.418185575648226,-1,-1
p03,falukiago,other,i,59.5,-0.7625035613156975,-1,1
p03,flauro,other,u,52.63,-0.8888638477225099,-1,-1
p03,flauta,other,u,87.4,-0.24933733267667738,-1,-1
p03,fortuna,other,u,118.66,0.325629560056504,-1,-1
p03,fruta,other,u,78.87,-0.40623009003477206,-1,-1
p03,lakabuaisto,other,u,69.25,-0.5831712771138894,-1,-1
p03,lakaduaisto,other,u,109.94,0.16524212228832286,-1,-1
p03,lakafuaisto,other,u,62.73,-0.7030939943442268,-1,-1
p03,lakaguaisto,other,u,110.49,0.17535830242278377,-1,-1
p03,lakakuaisto,other,u,76.04,-0.45828243509027117,-1,-1
p03,lakapuaisto,other,u,58,-0.790093143500591,-1,-1
p03,lakatuaisto,other,u,76.22,-0.45497168522808407,-1,-1
p03,liamo,other,i,83.04,-0.32953105156076795,-1,1
p03,lliape,palatal,i,182.83,1.5059118859262504,1,1
p03,manhiala,palatal,i,137.2,0.6666367958617881,1,1
p03,mebochiana,palatal,i,83.25,-0.32566851005488295,1,1
p03,nhiape,palatal,i,122.44,0.3951553071624358,1,1
p03,pachialo,palatal,i,88.06,-0.23719791651532426,1,1
p03,palufauto,other,u,79.48,-0.39501032661291535,-1,-1
p03,palutrauco,other,u,60.81,-0.7384086595408904,-1,-1
p03,patilludo,palatal,u,79.13,-0.40144789578939066,1,-1
p03,piano,other,i,91.53,-0.17337401639427055,-1,1
p03,puerta,other,u,62.52,-0.7069565358501118,-1,-1
p03,rausto,other,u,95.39,-0.10237682490514449,-1,-1
p03,rueda,other,u,87.68,-0.24418727733549722,-1,-1
p03,velludo,palatal,u,98.33,-0.048301243822753186,1,-1
p04,ayuda,palatal,u,129.38,0.5228031074045432,1,-1
p04,chiaba,palatal,i,65.69,-0.6486505521660368,1,1
p04,costonhialo,palatal,i,69.73,-0.5743426108147234,1,1
p04,coyunda,palatal,u,93.25,-0.14173796215559264,1,-1
p04,dinosaurio,other,u,64.15,-0.6769758565425273,-1,-1
p04,faluduako,other,u,60.24,-0.74889270077115,-1,-1
p04,falufialo,other,i,39.71,-1.126502115608393,-1,1
p04,faluguato,other,u,69.98,-0.5697443471172411,-1,-1
p04,falukiago,other,i,38.98,-1.1399290456050413,-1,1
p04,flauro,other,u,57.42,-0.8007611152787498,-1,-1
p04,flauta,other,u,58.99,-0.7718840192585612,-1,-1
p04,fortuna,other,u,81.93,-0.3499473423775892,-1,-1
p04,fruta,other,u,96.19,-0.08766238107320133,-1,-1
p04,lakabuaisto,other,u,85.93,-0.27637512321787305,-1,-1
p04,lakaduaisto,other,u,81.56,-0.356752772649863,-1,-1
p04,lakafuaisto,other,u,41.16,-1.099832186162996,-1,-1
p04,lakaguaisto,other,u,63.98,-0.6801026758568155,-1,-1
p04,lakakuaisto,other,u,188.59,1.6118558815162414,-1,-1
p04,lakapuaisto,other,u,51.35,-0.912406957853619,-1,-1
p04,lakatuaisto,other,u,40.08,-1.1196966853361192,-1,-1
p04,liamo,other,i,52.17,-0.8973246529258773,-1,1
p04,lliape,palatal,i,83.95,-0.3127933717019326,1,1
p04,luna,other,u,110.85,0.18197980214715823,-1,-1
p04,manhiala,palatal,i,70.48,-0.5605478197222766,1,1
p04,mebochiana,palatal,i,27.2,-1.3565992310304051,1,1
p04,nhiape,palatal,i,71.03,-0.5504316395878157,1,1
p04,pachialo,palatal,i,40.22,-1.1171216576655292,1,1
p04,palufauto,other,u,49.36,-0.9490091368855779,-1,-1
p04,palutrauco,other,u,48.47,-0.9653789556486148,-1,-1
p04,patilludo,palatal,u,87.59,-0.2458426522665909,1,-1
p04,piano,other,i,79.74,-0.39022813236753395,-1,1
p04,puerta,other,u,46.18,-1.0074990511175521,-1,-1
p04,rausto,other,u,47.43,-0.9845077326301409,-1,-1
p04,rueda,other,u,70.69,-0.5566852782163917,-1,-1
p04,velludo,palatal,u,94.46,-0.11948236585977863,1,-1
p05,ayuda,palatal,u,136.11,0.646588366140766,1,-1
p05,chiaba,palatal,i,130.49,0.5432193982213647,1,1
p05,costonhialo,palatal,i,95.25,-0.10495185257573457,1,1
p05,coyunda,palatal,u,125.56,0.4525416381070144,1,-1
p05,dinosaurio,other,u,80.39,-0.37827264675407996,-1,-1
p05,falukiago,other,i,78.29,-0.4168980618129308,-1,1
p05,flauta,other,u,80.87,-0.369443980454914,-1,-1
p05,fortuna,other,u,107.34,0.11742017983450749,-1,-1
p05,fruta,other,u,115.66,0.2704503956867169,-1,-1
p05,lakabuaisto,other,u,165.67,1.1902870657310676,-1,-1
p05,lakakuaisto,other,u,85.2,-0.2898020532145213,-1,-1
p05,liamo,other,i,144.48,0.8005382347324715,-1,1
p05,luna,other,u,121.54,0.3786015578514998,-1,-1
p05,manhiala,palatal,i,146.51,0.8378761359560275,1,1
p05,nhiape,palatal,i,170.15,1.27268795118995,1,1
p05,pachialo,palatal,i,66.07,-0.6416611913458639,1,1
p05,patilludo,palatal,u,131.13,0.554990953286919,1,-1
p05,piano,other,i,71.09,-0.5493280563004199,-1,1
p05,puerta,other,u,70.16,-0.566433597255054,-1,-1
p05,rausto,other,u,129.58,0.5264817183625293,-1,-1
p05,rueda,other,u,85.88,-0.2772947759573697,-1,-1
p06,chiaba,palatal,i,205.3,1.9192038270559557,1,1
p06,costonhialo,palatal,i,156.02,1.0127940870082528,1,1
p06,dinosaurio,other,u,87.2,-0.25301594363466323,-1,-1
p06,faluduako,other,u,422.78,5.9193253827697205,-1,-1
p06,falufialo,other,i,80.57,-0.3749618968918929,-1,1
p06,faluguato,other,u,157.74,1.0444301412469308,-1,-1
p06,falukiago,other,i,94.2,-0.12426456010516,-1,1
p06,flauro,other,u,147.12,0.8490958993778844,-1,-1
p06,flauta,other,u,109.88,0.1641385390009271,-1,-1
p06,fruta,other,u,128.42,0.5051457748062111,-1,-1
p06,lakabuaisto,other,u,97.42,-0.06503892368158855,-1,-1
p06,lakaduaisto,other,u,154.07,0.976927630167891,-1,-1
p06,lakafuaisto,other,u,48.46,-0.965562886196514,-1,-1
p06,lakaguaisto,other,u,128.33,0.503490399875118,-1,-1
p06,lakakuaisto,other,u,159.8,1.0823198341141846,-1,-1
p06,lakapuaisto,other,u,348.54,4.553824995165391,-1,-1
p06,lakatuaisto,other,u,75.66,-0.4652717959104444,-1,-1
p06,liamo,other,i,117.23,0.29932749170690565,-1,1
p06,lliape,palatal,i,389.08,5.299479436349112,1,1
p06,luna,other,u,172.38,1.3137044633714916,-1,-1
p06,manhiala,palatal,i,131.71,0.5656589250650781,1,1
p06,mebochiana,palatal,i,94.8,-0.11322872723120268,1,1
p06,nhiape,palatal,i,189.74,1.6330078945246598,1,1
p06,pachialo,palatal,i,107.05,0.11208619394542796,1,1
p06,palufauto,other,u,155.45,1.002310045777993,-1,-1
p06,palutrauco,other,u,179.27,1.4404326108741028,-1,-1
p06,puerta,other,u,85.4,-0.2861234422565354,-1,-1
p06,rausto,other,u,216.8,2.1307239571401393,-1,-1
p06,velludo,palatal,u,143.32,0.7792022911761539,1,-1
p07,ayuda,palatal,u,85.28,-0.288330608831327,1,-1
p07,chiaba,palatal,i,90.4,-0.19415816830689028,1,1
p07,costonhialo,palatal,i,106.37,0.09957891668827634,1,1
p07,coyunda,palatal,u,80.55,-0.3753297579876914,1,-1
p07,dinosaurio,other,u,64.7,-0.6668596764080664,-1,-1
p07,faluduako,other,u,97.15,-0.07000504847486931,-1,-1
p07,faluguato,other,u,43.79,-1.0514584520654826,-1,-1
p07,falukiago,other,i,66.68,-0.6304414279240069,-1,1
p07,flauro,other,u,85.65,-0.2815251785590532,-1,-1
p07,flauta,other,u,38.86,-1.1421362121798326,-1,-1
p07,fortuna,other,u,88.57,-0.22781745857246063,-1,-1
p07,fruta,other,u,98.42,-0.04664586889165951,-1,-1
p07,lakabuaisto,other,u,56.68,-0.8143719758232973,-1,-1
p07,lakaduaisto,other,u,69.54,-0.5778372912248099,-1,-1
p07,lakafuaisto,other,u,47.05,-0.991497093450314,-1,-1
p07,lakakuaisto,other,u,39.5,-1.130364657114278,-1,-1
p07,lakapuaisto,other,u,75.45,-0.46913433741632937,-1,-1
p07,lakatuaisto,other,u,64.66,-0.6675953985996638,-1,-1
p07,liamo,other,i,63.53,-0.6883795505122835,-1,1
p07,lliape,palatal,i,93.49000000000001,-0.1373236290060095,1,1
p07,luna,other,u,97.18,-0.06945325683117141,-1,-1
p07,manhiala,palatal,i,85.81,-0.2785822897926646,1,1
p07,mebochiana,palatal,i,74.74,-0.4821934063171791,1,1
p07,nhiape,palatal,i,81.16,-0.3641099945658347,1,1
p07,palutrauco,other,u,72.74,-0.5189795158970372,-1,-1
p07,patilludo,palatal,u,91.42,-0.17539725242116275,1,-1
p07,piano,other,i,147.63,0.858476357320748,-1,1
p07,puerta,other,u,60.44,-0.7452140898131642,-1,-1
p07,rausto,other,u,81.87,-0.3510509256649849,-1,-1
p07,rueda,other,u,90.85,-0.18588129365142242,-1,-1
p07,velludo,palatal,u,109.43,0.15586166434545923,1,-1
p08,chiaba,palatal,i,155.51,1.0034136290653888,1,1
p08,costonhialo,palatal,i,68.03,-0.6056108039576028,1,1
p08,faluduako,other,u,115.68,0.2708182567825157,-1,-1
p08,falufialo,other,i,120.71,0.36333532237585847,-1,1
p08,faluguato,other,u,61.92,-0.7179923687240692,-1,-1
p08,falukiago,other,i,65.6,-0.6503059270971305,-1,1
p08,flauro,other,u,128.15,0.5001796500129307,-1,-1
p08,lakabuaisto,other,u,107.33,0.1172362492866081,-1,-1
p08,lakaduaisto,other,u,148.86,0.8810998147123611,-1,-1
p08,lakafuaisto,other,u,104.13,0.05837847395883515,-1,-1
p08,lakaguaisto,other,u,154.61,0.986859879754453,-1,-1
