participant,item,is_palatal,dur,dur_std,palatal_sum
p03,chiaba,palatal,60.13,-0.7657847295302047,1
p03,costonhialo,palatal,61.53,-0.7410519302279175,1
p03,falufialo,other,64.8,-0.6832831775718607,-1
p03,falukiago,other,59.5,-0.7769144892162341,-1
p03,liamo,other,83.04,-0.36105013523348867,-1
p03,lliape,palatal,182.83,1.4018684664631196,1
p03,manhiala,palatal,137.2,0.5957558720607118,1
p03,mebochiana,palatal,83.25,-0.3573402153381457,1
p03,nhiape,palatal,122.44,0.3350015022737399,1
p03,pachialo,palatal,88.06,-0.2723653834495728,1
p03,piano,other,91.53,-0.21106337375033213,-1
p04,chiaba,palatal,65.69,-0.6675601837296924,1
p04,costonhialo,palatal,69.73,-0.5961883914573775,1
p04,falufialo,other,39.71,-1.1265302736392813,-1
p04,falukiago,other,38.98,-1.1394266618469024,-1
p04,liamo,other,52.17,-0.9064083598489241,-1
p04,lliape,palatal,83.95,-0.344973815687002,1
p04,manhiala,palatal,70.48,-0.5829386775454378,1
p04,mebochiana,palatal,27.2,-1.3475355016904342,1
p04,nhiape,palatal,71.03,-0.5732222206766822,1
p04,pachialo,palatal,40.22,-1.1175204681791624,1
p04,piano,other,79.74,-0.41934887644602326,-1
p05,chiaba,palatal,130.49,0.4772150982618922,1
p05,costonhialo,palatal,95.25,-0.14534479274711157,1
p05,falukiago,other,78.29,-0.4449649900091064,-1
p05,liamo,other,144.48,0.7243664284326058,-1
p05,manhiala,palatal,146.51,0.7602289874209225,1
p05,nhiape,palatal,170.15,1.1778599699252599,1
p05,pachialo,palatal,66.07,-0.660846995347643,1
p05,piano,other,71.09,-0.5721622435637269,-1
p06,chiaba,palatal,205.3,1.798829895264831,1
p06,costonhialo,palatal,156.02,0.9282353598243174,1
p06,falufialo,other,80.57,-0.4046858597168101,-1
p06,falukiago,other,94.2,-0.16389439222382698,-1
p06,liamo,other,117.23,0.24296015629879938,-1
p06,lliape,palatal,389.08,5.045539792246519,1
p06,manhiala,palatal,131.71,0.498767966225314,1
p06,mebochiana,palatal,94.8,-0.15329462109427539,1
p06,nhiape,palatal,189.74,1.5239424973051232,1
p06,pachialo,palatal,107.05,0.06311737280073863,1
p07,chiaba,palatal,90.4,-0.23102627604432108,1
p07,costonhialo,palatal,106.37,0.051104298853913495,1
p07,falukiago,other,66.68,-0.6500705613659319,-1
p07,liamo,other,63.53,-0.7057193597960785,-1
p07,lliape,palatal,93.49000000000001,-0.17643745472712974,1
p07,manhiala,palatal,85.81,-0.3121145251853917,1
p07,mebochiana,palatal,74.74,-0.5076803025256208,1
p07,nhiape,palatal,81.16,-0.3942627514394175,1
p07,piano,other,147.63,0.7800152268627524,-1
p08,chiaba,palatal,155.51,0.9192255543641981,1
p08,costonhialo,palatal,68.03,-0.6262210763244407,1
p08,falufialo,other,120.71,0.30443882885019913,-1
p08,falukiago,other,65.6,-0.6691501493991252,-1
p08,lliape,palatal,143.92,0.7144733087116909,1
p08,manhiala,palatal,87.55,-0.2813751889096918,1
p08,mebochiana,palatal,144.91,0.7319629310754513,1
p08,nhiape,palatal,190.45,1.5364855598084257,1
p08,pachialo,palatal,73.95,-0.5216366678461971,1
