participant,exp,task,item,status,TextGridLabel,duration,sex
p03,carrier,1,chiaba,hit,i,60.13,m
p03,carrier,1,chiaba,hit,a,183.81,m
p03,carrier,1,costonhialo,hit,i,61.53,m
p03,carrier,1,costonhialo,hit,a,133.11,m
p03,carrier,1,crobo,hit,o,146.21,m
p03,carrier,1,falubiko,hit,i,145.45,m
p03,carrier,1,faluduako,hit,u,76.9,m
p03,carrier,1,faluduako,hit,a,159.65,m
p03,carrier,1,falufialo,hit,i,64.8,m
p03,carrier,1,falufialo,hit,a,107.23,m
p03,carrier,1,faluguato,hit,u,78.22,m
p03,carrier,1,faluguato,hit,a,103.11,m
p03,carrier,1,falukiago,hit,i,59.5,m
p03,carrier,1,falukiago,hit,a,148.02,m
p03,carrier,1,falumaisto,hit,a,82.22,m
p03,carrier,1,falumaisto,hit,i,74.15,m
p03,carrier,1,falupiro,hit,i,112.84,m
p03,carrier,1,falutarlo,hit,a,112.59,m
p03,carrier,1,falutraigo,hit,a,85.76,m
p03,carrier,1,falutraigo,hit,i,67.12,m
p03,carrier,1,farloto,hit,o,100.39,m
p03,carrier,1,flauro,hit,a,61.84,m
p03,carrier,1,flauro,hit,u,52.63,m
p03,carrier,1,lakabiaisto,hit,i,87.82,m
p03,carrier,1,lakabiaisto,hit,a,87.38,m
p03,carrier,1,lakabiaisto,hit,i,91.97,m
p03,carrier,1,lakabuaisto,hit,u,69.25,m
p03,carrier,1,lakabuaisto,hit,a,70.46,m
p03,carrier,1,lakabuaisto,hit,i,76.82,m
p03,carrier,1,lakadiaisto,hit,i,86.78,m
p03,carrier,1,lakadiaisto,hit,a,134.96,m
p03,carrier,1,lakadiaisto,hit,i,75.37,m
p03,carrier,1,lakaduaisto,hit,u,109.94,m
p03,carrier,1,lakaduaisto,hit,a,59.44,m
p03,carrier,1,lakaduaisto,hit,i,73.87,m
p03,carrier,1,lakafiaisto,hit,i,63.42,m
p03,carrier,1,lakafiaisto,hit,a,43.88,m
p03,carrier,1,lakafiaisto,hit,i,66.88,m
p03,carrier,1,lakafuaisto,hit,u,62.73,m
p03,carrier,1,lakafuaisto,hit,a,67.4,m
p03,carrier,1,lakafuaisto,hit,i,60.7,m
p03,carrier,1,lakagiaisto,hit,i,71.39,m
p03,carrier,1,lakagiaisto,hit,a,119.33,m
p03,carrier,1,lakagiaisto,hit,i,86.46,m
p03,carrier,1,lakaguaisto,hit,u,110.49,m
p03,carrier,1,lakaguaisto,hit,a,77.78,m
p03,carrier,1,lakaguaisto,hit,i,71.01,m
p03,carrier,1,lakakiaisto,hit,i,60.63,m
p03,carrier,1,lakakiaisto,hit,a,90.47,m
p03,carrier,1,lakakiaisto,hit,i,74.75,m
p03,carrier,1,lakakuaisto,hit,u,76.04,m
p03,carrier,1,lakakuaisto,hit,a,45.89,m
p03,carrier,1,lakakuaisto,hit,i,60.2,m
p03,carrier,1,lakapiaisto,hit,i,100.21,m
p03,carrier,1,lakapiaisto,hit,a,199.9,m
p03,carrier,1,lakapiaisto,hit,i,127.33,m
p03,carrier,1,lakapuaisto,hit,u,58,m
