participant,exp,task,item,status,TextGridLabel,duration,time_course_segment,sex,f0,f1,f2,f3,in,is_palatal,f1norm,f2norm,int_norm
p03,carrier,1,faluduako,hit,u,76.9,0,m,110.25,446.77,1125.41,3303.62,76.69,other,-0.38878422941719426,-0.1064084343016009,-0.40702691580747113
p03,carrier,1,faluduako,hit,u,76.9,10,m,109.69,468.8,1047.51,3300.25,77.95,other,-0.2057061068337165,-0.36465212709660966,-0.051133682738866995
p03,carrier,1,faluduako,hit,u,76.9,20,m,109.07,449.06,1102.39,3585.03,78.12,other,-0.3697534123170505,-0.1827212688091887,-0.0031163417692931304
p03,carrier,1,faluduako,hit,u,76.9,30,m,108.39,447.47,1100.58,3633.22,77.96,other,-0.38296694908090545,-0.188721539463348,-0.04830913327007113
p03,carrier,1,faluduako,hit,u,76.9,40,m,107.89,451.38,1067.7,3472.25,77.79,other,-0.3504732832024946,-0.2977209312361317,-0.09632647423964098
p03,carrier,1,faluduako,hit,u,76.9,50,m,107.67,456.85,1028.1,3218.58,77.51,other,-0.30501539257464044,-0.42899757096247787,-0.17541385936599746
p03,carrier,1,faluduako,hit,u,76.9,60,m,107.66,464.23,1028.83,3187.22,77.38,other,-0.24368463702919954,-0.4265775723008558,-0.21213300246037983
p03,carrier,1,faluduako,hit,u,76.9,70,m,107.83,487.16,1017.23,3021.64,77.54,other,-0.05312715401335111,-0.4650323455540275,-0.16694021095960182
p03,carrier,1,faluduako,hit,u,76.9,80,m,108.17,501.81,1001.63,2824.6,77.76,other,0.06862021302468527,-0.5167473854462243,-0.1048001226460366
p03,carrier,1,faluduako,hit,u,76.9,90,m,108.67,510.51,988.7,2672.21,78.01,other,0.14092069720427003,-0.5596111973568719,-0.034186385926075744
p03,carrier,1,faluduako,hit,u,76.9,100,m,109.31,520.71,985.99,2649.13,78.5,other,0.22568678210447335,-0.5685950280048114,0.10421653804504609
p03,carrier,1,faluguato,hit,u,78.22,0,m,NA,375.33,1007.73,3277.05,78.02,other,-0.9824792397378312,-0.49652547882171144,-0.03136183645727988
p03,carrier,1,faluguato,hit,u,78.22,10,m,113.59,359.84,689.81,3060.89,79.69,other,-1.111207343179414,-1.5504514712914048,0.4403379248320591
p03,carrier,1,faluguato,hit,u,78.22,20,m,112.83,373.88,725.33,3010.16,79.95,other,-0.9945293204344287,-1.432700303536864,0.5137762110208198
p03,carrier,1,faluguato,hit,u,78.22,30,m,112.4,399.24,771.34,2959.41,80.59,other,-0.783777564251179,-1.280174086521481,0.6945473770239198
p03,carrier,1,faluguato,hit,u,78.22,40,m,112.08,425.42,808.83,2940.74,81.69,other,-0.5662112796739913,-1.1558922374472207,1.005247818591746
p03,carrier,1,faluguato,hit,u,78.22,50,m,111.51,457.58,859.95,2793.9,82.43,other,-0.29894880022394,-0.9864260298004836,1.2142644792828325
p03,carrier,1,faluguato,hit,u,78.22,60,m,110.38,502.98,908.1,2722.49,82.6,other,0.0783433815867675,-0.8268055701332223,1.2622818202524024
p03,carrier,1,faluguato,hit,u,78.22,70,m,108.86,549.71,956.55,2661.45,82.93,other,0.46668839603642287,-0.6661905904680343,1.3554919527227542
p03,carrier,1,faluguato,hit,u,78.22,80,m,108.07,612.24,980.82,2580.27,82.96,other,0.9863377380765883,-0.5857339226357509,1.3639656011291459
p03,carrier,1,faluguato,hit,u,78.22,90,m,107.38,800.47,850.72,2559.45,82.14,other,2.5506044205045493,-1.0170240950700333,1.1323525446876763
p03,carrier,1,faluguato,hit,u,78.22,100,m,106.65,725.22,1058.8,2604,81.76,other,1.9252467843535421,-0.3272250245079622,1.0250196648733372
p03,carrier,1,flauro,hit,u,52.63,0,m,116.54,651.09,1381.25,2662.81,82.21,other,1.3091967967405966,0.7417182199304266,1.1521243909692633
p03,carrier,1,flauro,hit,u,52.63,10,m,116.81,651.06,1387.03,2663.39,82.43,other,1.3089474847261837,0.7608793052238174,1.2142644792828325
p03,carrier,1,flauro,hit,u,52.63,20,m,117.09,647.94,1361.82,2754.1,82.67,other,1.283019035227299,0.6773064747313633,1.2820536665339937
p03,carrier,1,flauro,hit,u,52.63,30,m,117.37,638.76,1330.06,2797.91,82.83,other,1.2067295588171159,0.5720199576175062,1.3272464580347676
p03,carrier,1,flauro,hit,u,52.63,40,m,117.62,621.28,1289.38,2777.7,82.86,other,1.061463758419513,0.4371630458986243,1.3357201064411632
p03,carrier,1,flauro,hit,u,52.63,50,m,117.81,608.66,1265.2,2774.09,82.71,other,0.9565865043567128,0.3570047340657191,1.293351864409185
p03,carrier,1,flauro,hit,u,52.63,60,m,117.94,600.45,1256.08,2785.64,82.41,other,0.8883581164125305,0.32677132612874205,1.2086153803452329
p03,carrier,1,flauro,hit,u,52.63,70,m,118.02,580.33,1231.66,2627.79,81.95,other,0.7211528587466399,0.24581739829749602,1.0786861047805067
p03,carrier,1,flauro,hit,u,52.63,80,m,118.05,553,1197.98,2367.49,81.34,other,0.4940296136169782,0.13416595319690677,0.9063885871838023
p03,carrier,1,flauro,hit,u,52.63,90,m,118.06,533.26,1193.99,2302.91,80.67,other,0.3299823081336442,0.1209388372244795,0.7171437727743067
p03,carrier,1,flauro,hit,u,52.63,100,m,118.12,516.43,1201.35,2313.23,79.96,other,0.19011826804830906,0.14533772784028484,0.5166007604896157
p03,carrier,1,lakabuaisto,hit,u,69.25,0,m,105.6,540.67,2394.72,3497.97,75.78,other,0.3915623756934973,4.101438827593548,-0.6640609174681277
p03,carrier,1,lakabuaisto,hit,u,69.25,10,m,104.93,509.81,1691.61,3355.75,76.94,other,0.1351034168679817,1.7705823084523624,-0.3364131790875103
p03,carrier,1,lakabuaisto,hit,u,69.25,20,m,104.98,491.86,844.53,3208.66,77.57,other,-0.014068271755414558,-1.0375443576939245,-0.15846656255321023
p03,carrier,1,lakabuaisto,hit,u,69.25,30,m,105.37,481.93,733.81,3252.35,77.9,other,-0.0965905485259063,-1.4045885382621317,-0.06525643008285836
p03,carrier,1,lakabuaisto,hit,u,69.25,40,m,105.99,472.84,757.52,3344.3,78.13,other,-0.17213208889285211,-1.325988307759312,-2.917923004972651e-4
p03,carrier,1,lakabuaisto,hit,u,69.25,50,m,106.45,472.62,796.35,3407.15,78.37,other,-0.17396037699854253,-1.1972642693609783,0.06749739495066773
p03,carrier,1,lakabuaisto,hit,u,69.25,60,m,106.75,484.51,826.82,3419.31,78.71,other,-0.07514971528644333,-1.0962541882382066,0.16353207688981145
p03,carrier,1,lakabuaisto,hit,u,69.25,70,m,106.98,504.46,861.02,3214.18,79.21,other,0.09064277429777702,-0.9828789084745446,0.3047595503297331
