participant,exp,task,item,status,TextGridLabel,duration,time_course_segment,sex,f0,f1,f2,f3,in,is_palatal,f1norm,f2norm,pre_c
p03,carrier,1,chiaba,hit,i,60.13,0,m,121.75,971.03,2688.34,3376.04,73.17,palatal,2.960310437481429,1.3097125597840078,ch
p03,carrier,1,chiaba,hit,i,60.13,10,m,120.44,322.31,2437.95,3198.92,75.83,palatal,-0.5229380358046871,0.5932137922013934,ch
p03,carrier,1,chiaba,hit,i,60.13,20,m,119.58,325.7,2372.5,3233.61,77.38,palatal,-0.5047357107269341,0.4059265828947839,ch
p03,carrier,1,chiaba,hit,i,60.13,30,m,118.92,330.6,2325.86,3229.52,78.29,palatal,-0.4784255653343116,0.27246477323763707,ch
p03,carrier,1,chiaba,hit,i,60.13,40,m,118.65,336.53,2283.64,3184.53,78.88,palatal,-0.44658491999181177,0.15165093096223425,ch
p03,carrier,1,chiaba,hit,i,60.13,50,m,118.4,345.15,2249.25,3026.82,79.2,palatal,-0.4003005417705046,0.0532428770576614,ch
p03,carrier,1,chiaba,hit,i,60.13,60,m,118.17,359.69,2246.31,2967.84,79.31,palatal,-0.322229212380968,0.04482997567704347,ch
p03,carrier,1,chiaba,hit,i,60.13,70,m,117.84,378.44,2265.71,2979.02,79.28,palatal,-0.22155263562348457,0.10034367866479366,ch
p03,carrier,1,chiaba,hit,i,60.13,80,m,117.51,409.92,2237.81,2938.15,79.39,palatal,-0.05252337501945355,0.02050696148137985,ch
p03,carrier,1,chiaba,hit,i,60.13,90,m,117.53,441.87,2209.69,2883.92,79.79,palatal,0.11902951177529825,-0.05995929254003879,ch
p03,carrier,1,chiaba,hit,i,60.13,100,m,117.51,472.1,2192.5,2804.07,80.46,palatal,0.281347000595497,-0.10914901183691632,ch
p03,carrier,1,costonhialo,hit,i,61.53,0,m,108.28,377.11,3171.34,3313.12,77.4,palatal,-0.228693960801482,2.69183207231407,nh
p03,carrier,1,costonhialo,hit,i,61.53,10,m,108.13,477.14,3022.05,3412.93,77.23,palatal,0.3084088644279084,2.2646340971057617,nh
p03,carrier,1,costonhialo,hit,i,61.53,20,m,107.95,427.57,2827.92,3441.55,77.17,palatal,0.04224684256825744,1.7091250681876229,nh
p03,carrier,1,costonhialo,hit,i,61.53,30,m,107.94,378.18,2369.35,3376.63,77.2,palatal,-0.22294868415452165,0.39691275998697895,nh
p03,carrier,1,costonhialo,hit,i,61.53,40,m,107.91,387.09,1163.39,3068.69,77.27,palatal,-0.17510717487936564,-3.0539792634721388,nh
p03,carrier,1,costonhialo,hit,i,61.53,50,m,107.89,405.69,1444.91,3120.83,77.36,palatal,-0.07523601073594192,-2.248401033311759,nh
p03,carrier,1,costonhialo,hit,i,61.53,60,m,107.91,430.04,2586.94,3381.38,77.44,palatal,0.05550930361311007,1.0195533080851498,nh
p03,carrier,1,costonhialo,hit,i,61.53,70,m,107.96,469.78,2668.4,3401.95,77.54,palatal,0.2688899521647041,1.2526536300120623,nh
p03,carrier,1,costonhialo,hit,i,61.53,80,m,108.1,492.36,2608.99,3327.93,77.63,palatal,0.39013139766784977,1.0826500684397822,nh
p03,carrier,1,costonhialo,hit,i,61.53,90,m,108.16,487.1,2320.84,3100.33,77.68,palatal,0.3618882620014838,0.2580998872067864,nh
p03,carrier,1,costonhialo,hit,i,61.53,100,m,108.14,491.3,2173.63,2915.99,77.61,palatal,0.38443981519516,-0.16314610335128926,nh
p03,carrier,1,falufialo,hit,i,64.8,0,m,116.58,332.53,2719,2941.82,72.46,other,-0.4680625897000749,1.397447102753307,other
p03,carrier,1,falufialo,hit,i,64.8,10,m,115.01,345.42,2686.56,2922.83,75.07,other,-0.3988507990651967,1.304619034458327,other
p03,carrier,1,falufialo,hit,i,64.8,20,m,113.23,368.84,2466.9,2939.12,76.05,other,-0.2730990429233162,0.6760551170207426,other
p03,carrier,1,falufialo,hit,i,64.8,30,m,111.11,392.89,2361.12,2962.41,76.27,other,-0.14396455380238404,0.3733623591834128,other
p03,carrier,1,falufialo,hit,i,64.8,40,m,110.46,417.49,2342.61,2990.02,76.37,other,-0.01187688509656559,0.32039541885850364,other
p03,carrier,1,falufialo,hit,i,64.8,50,m,109.86,445.03,2223.94,2953.25,76.41,other,0.13599687084482595,-0.01918247462377919,other
p03,carrier,1,falufialo,hit,i,64.8,60,m,108.24,474.39,2137.07,2904.86,76.34,other,0.2936429665034775,-0.2677636797034611,other
