participant,exp,task,item,status,TextGridLabel,duration,time_course_segment,sex,f0,f1,f2,f3,in,is_palatal,f1norm,f2norm
p03,carrier,2,ayuda,hit,u,127.26,0,m,109.49,331.03,1952.67,2580.4,83.51,palatal,-1.3506299810200852,2.6360136106483183
p03,carrier,2,ayuda,hit,u,127.26,10,m,109.91,340.85,1561.5,2310.57,83.49,palatal,-1.2690218483024385,1.339258985351483
p03,carrier,2,ayuda,hit,u,127.26,20,m,110.19,345.08,1563.83,2271.38,82.78,palatal,-1.2338688542702958,1.3469830906687146
p03,carrier,2,ayuda,hit,u,127.26,30,m,111.29,356.99,1585.42,2348.63,81.69,palatal,-1.134891984548588,1.4185553798528514
p03,carrier,2,ayuda,hit,u,127.26,40,m,113.59,368.17,1354.11,2207.56,80.94,palatal,-1.0419817071775814,0.6517473107846429
p03,carrier,2,ayuda,hit,u,127.26,50,m,115.92,378.88,1258.39,2389.04,81.2,palatal,-0.9529773180323684,0.33442913011277947
p03,carrier,2,ayuda,hit,u,127.26,60,m,117.12,371.27,1178.32,2408.38,82.23,palatal,-1.0162194656883043,0.0689917426660995
p03,carrier,2,ayuda,hit,u,127.26,70,m,117.89,380.78,1222.97,2402.85,82.65,palatal,-0.9371875571195857,0.21700946902421442
p03,carrier,2,ayuda,hit,u,127.26,80,m,118.35,390.97,1325.48,2454.29,82.23,palatal,-0.8525045762241864,0.5568369523158231
p03,carrier,2,ayuda,hit,u,127.26,90,m,117.2,393.15,1431.49,2481.7,80.45,palatal,-0.8343879031768886,0.9082671689165784
p03,carrier,2,ayuda,hit,u,127.26,100,m,114.76,371.02,1429.03,2616.17,77.09,palatal,-1.0182970658084072,0.9001121049335781
p03,carrier,2,fortuna,hit,u,118.66,0,m,122.02,449.5,1529.24,2732.71,82.3,other,-0.36609683610566923,1.2323149349077476
p03,carrier,2,fortuna,hit,u,118.66,10,m,121.81,557.19,1467.26,2738.26,82.03,other,0.5288501916299052,1.026847103336058
p03,carrier,2,fortuna,hit,u,118.66,20,m,121.49,623.05,1539.5,2834.7,81.74,other,1.0761731672698422,1.2663275188368464
p03,carrier,2,fortuna,hit,u,118.66,30,m,121.22,645,1524.27,2891.18,81.65,other,1.258586457814887,1.215839053608759
p03,carrier,2,fortuna,hit,u,118.66,40,m,120.76,651.22,1525.66,2840.95,81.38,other,1.3102771488030502,1.2204469962658206
p03,carrier,2,fortuna,hit,u,118.66,50,m,120.34,647.81,1526.46,2910.36,80.86,other,1.2819386831648445,1.2230990495936254
p03,carrier,2,fortuna,hit,u,118.66,60,m,120.31,699.1,1437.94,2953.25,80.43,other,1.7081791238051793,0.9296493488720061
p03,carrier,2,fortuna,hit,u,118.66,70,m,120.24,576.78,1332.01,2656.16,79.62,other,0.6916509370411766,0.5784843376040311
p03,carrier,2,fortuna,hit,u,118.66,80,m,119.85,374.31,1248.68,2510.09,78.03,other,-0.9909558482278514,0.3022398328465466
p03,carrier,2,fortuna,hit,u,118.66,90,m,119.67,769.98,1922.2,2886.53,75.34,other,2.2972203098567854,2.5350035295255466
p03,carrier,2,fortuna,hit,u,118.66,100,m,120.03,1315,2550.59,3205.56,72.77,other,6.826554779690962,4.61815826784975
p03,carrier,2,fruta,hit,u,78.87,0,m,122.94,388.88,1282.96,2617.44,76.98,other,-0.8698733132282479,0.41588031794298924
p03,carrier,2,fruta,hit,u,78.87,10,m,120.5,370.55,1170.5,2517.41,78.62,other,-1.0222029540342006,0.04306792138680618
p03,carrier,2,fruta,hit,u,78.87,20,m,119.94,360.04,1127.13,2540.89,78.89,other,-1.1095452630833313,-0.10070651964682012
