participant,exp,task,item,status,TextGridLabel,duration,time_course_segment,sex,f0,f1,f2,f3,in,is_palatal,f1norm,f2norm
p03,carrier,1,chiaba,hit,a,183.81,0,m,117.51,472.1,2192.5,2804.07,80.46,palatal,-1.8345502690554292,2.4311561840707436
p03,carrier,1,chiaba,hit,a,183.81,10,m,116.91,545.1,1896.37,2823.23,81.81,palatal,-1.1167190889802279,1.2283531992393897
p03,carrier,1,chiaba,hit,a,183.81,20,m,116.21,586.9,1740.53,2784.17,82.42,palatal,-0.7056869886084007,0.5953716804600764
p03,carrier,1,chiaba,hit,a,183.81,30,m,116.01,631.48,1663.15,2763.05,82.46,palatal,-0.2673183035706953,0.2810742605220425
p03,carrier,1,chiaba,hit,a,183.81,40,m,116.01,666.34,1600.77,2701.69,82.08,palatal,0.07547066817480502,0.027702936462406645
p03,carrier,1,chiaba,hit,a,183.81,50,m,115.74,694.49,1584.71,2669.09,81.78,palatal,0.35227817117640636,-0.03752860352473235
p03,carrier,1,chiaba,hit,a,183.81,60,m,115.47,707.13,1512.06,2630.39,81.41,palatal,0.4765711316716192,-0.3326139945624453
p03,carrier,1,chiaba,hit,a,183.81,70,m,115.98,690.89,1445.98,2586.49,81.41,palatal,0.31687827736447843,-0.6010137556054188
p03,carrier,1,chiaba,hit,a,183.81,80,m,116.6,669.7,1434.17,2633.33,82.4,palatal,0.10851056906593771,-0.6489829017603448
p03,carrier,1,chiaba,hit,a,183.81,90,m,116.38,617.6,1351.8,2592.31,82.72,palatal,-0.40380456082335,-0.9835484029272603
p03,carrier,1,chiaba,hit,a,183.81,100,m,115.71,575.2,1344.24,2455.59,77.76,palatal,-0.8207366434971652,-1.0142551552499732
p03,carrier,1,chiaba,hit,i,60.13,0,m,121.75,971.03,2688.34,3376.04,73.17,palatal,2.960310437481429,1.3097125597840078
p03,carrier,1,chiaba,hit,i,60.13,10,m,120.44,322.31,2437.95,3198.92,75.83,palatal,-0.5229380358046871,0.5932137922013934
p03,carrier,1,chiaba,hit,i,60.13,20,m,119.58,325.7,2372.5,3233.61,77.38,palatal,-0.5047357107269341,0.40592658289478395
p03,carrier,1,chiaba,hit,i,60.13,30,m,118.92,330.6,2325.86,3229.52,78.29,palatal,-0.47842556533431163,0.27246477323763707
p03,carrier,1,chiaba,hit,i,60.13,40,m,118.65,336.53,2283.64,3184.53,78.88,palatal,-0.44658491999181177,0.15165093096223423
p03,carrier,1,chiaba,hit,i,60.13,50,m,118.4,345.15,2249.25,3026.82,79.2,palatal,-0.40030054177050467,0.0532428770576614
p03,carrier,1,chiaba,hit,i,60.13,60,m,118.17,359.69,2246.31,2967.84,79.31,palatal,-0.322229212380968,0.04482997567704347
p03,carrier,1,chiaba,hit,i,60.13,70,m,117.84,378.44,2265.71,2979.02,79.28,palatal,-0.22155263562348457,0.10034367866479366
p03,carrier,1,chiaba,hit,i,60.13,80,m,117.51,409.92,2237.81,2938.15,79.39,palatal,-0.052523375019453554,0.02050696148137985
p03,carrier,1,chiaba,hit,i,60.13,90,m,117.53,441.87,2209.69,2883.92,79.79,palatal,0.11902951177529823,-0.059959292540038796
p03,carrier,1,chiaba,hit,i,60.13,100,m,117.51,472.1,2192.5,2804.07,80.46,palatal,0.281347000595497,-0.10914901183691633
p03,carrier,1,costonhialo,hit,a,133.11,0,m,108.14,491.3,2173.63,2915.99,77.61,palatal,-1.6457508353918147,2.354511155455718
p03,carrier,1,costonhialo,hit,a,133.11,10,m,108.15,506.48,1976.45,2810.25,77.43,palatal,-1.4964812831515193,1.5536173164355365
