participant,exp,task,item,status,critical_syllable,pre_c,pre_c_voicing,pre_c_poa,glide,response
p03,syllable,1,lakabiaisto,hit,biais,b,voiced,bilabial,i,Tripthong
p03,syllable,1,lakabuaisto,hit,buais,b,voiced,bilabial,u,Tripthong
p03,syllable,1,lakadiaisto,hit,diais,d,voiced,dental,i,Tripthong
p03,syllable,1,lakaduaisto,hit,duais,d,voiced,dental,u,Tripthong
p03,syllable,1,lakafiaisto,hit,fiais,f,voiceless,labiodental,i,Tripthong
p03,syllable,1,lakafuaisto,hit,fuais,f,voiceless,labiodental,u,Tripthong
p03,syllable,1,lakagiaisto,hit,giais,g,voiced,velar,i,Tripthong
p03,syllable,1,lakaguaisto,hit,guais,g,voiced,velar,u,Tripthong
p03,syllable,1,lakakiaisto,hit,kiais,k,voiceless,velar,i,Tripthong
p03,syllable,1,lakakuaisto,hit,kuais,k,voiceless,velar,u,Tripthong
p03,syllable,1,lakapiaisto,hit,piais,p,voiceless,bilabial,i,Tripthong
p03,syllable,1,lakapuaisto,hit,puais,p,voiceless,bilabial,u,Tripthong
p03,syllable,1,lakatiaisto,hit,tiais,t,voiceless,dental,i,Tripthong
p03,syllable,1,lakatuaisto,hit,tuais,t,voiceless,dental,u,Tripthong
p04,syllable,1,lakabiaisto,hit,biais,b,voiced,bilabial,i,Tripthong
p04,syllable,1,lakabuaisto,hit,buais,b,voiced,bilabial,u,Tripthong
p04,syllable,1,lakadiaisto,hit,dias,d,voiced,dental,i,Simplification
p04,syllable,1,lakaduaisto,hit,duais,d,voiced,dental,u,Tripthong
p04,syllable,1,lakafiaisto,hit,fiais,f,voiceless,labiodental,i,Tripthong
p04,syllable,1,lakafuaisto,hit,fuais,f,voiceless,labiodental,u,Tripthong
p04,syllable,1,lakagiaisto,hit,giais,g,voiced,velar,i,Tripthong
p04,syllable,1,lakaguaisto,hit,guais,g,voiced,velar,u,Tripthong
p04,syllable,1,lakakiaisto,hit,kiais,k,voiceless,velar,i,Tripthong
p04,syllable,1,lakakuaisto,hit,kuais,k,voiceless,velar,u,Tripthong
p04,syllable,1,lakapiaisto,hit,piais,p,voiceless,bilabial,i,Tripthong
p04,syllable,1,lakapuaisto,hit,puais,p,voiceless,bilabial,u,Tripthong
p04,syllable,1,lakatiaisto,hit,kiais,t,voiceless,dental,i,Tripthong
p04,syllable,1,lakatuaisto,hit,kuais,t,voiceless,dental,u,Tripthong
p05,syllable,1,lakabiaisto,hit,bi,b,voiced,bilabial,i,Hiatus
p05,syllable,1,lakabuaisto,hit,buais,b,voiced,bilabial,u,Tripthong
p05,syllable,1,lakadiaisto,hit,di,d,voiced,dental,i,Hiatus
p05,syllable,1,lakaduaisto,hit,dais,d,voiced,dental,u,Simplification
p05,syllable,1,lakafiaisto,hit,fi,f,voiceless,labiodental,i,Hiatus
p05,syllable,1,lakafuaisto,hit,fais,f,voiceless,labiodental,u,Simplification
p05,syllable,1,lakagiaisto,hit,ki,g,voiced,velar,i,Hiatus
p05,syllable,1,lakaguaisto,hit,gais,g,voiced,velar,u,Simplification
p05,syllable,1,lakakiaisto,hit,ki,k,voiceless,velar,i,Hiatus
p05,syllable,1,lakakuaisto,hit,kais,k,voiceless,velar,u,Simplification
p05,syllable,1,lakapiaisto,hit,pais,p,voiceless,bilabial,i,Simplification
p05,syllable,1,lakapuaisto,hit,pais,p,voiceless,bilabial,u,Simplification
p05,syllable,1,lakatiaisto,hit,ti,t,voiceless,dental,i,Hiatus
p05,syllable,1,lakatuaisto,hit,tais,t,voiceless,dental,u,Simplification
p06,syllable,1,lakabiaisto,hit,bia,b,voiced,bilabial,i,Hiatus
p06,syllable,1,lakabuaisto,hit,bu,b,voiced,bilabial,u,Hiatus
p06,syllable,1,lakadiaisto,hit,dia,d,voiced,dental,i,Hiatus
p06,syllable,1,lakaduaisto,hit,du,d,voiced,dental,u,Hiatus
p06,syllable,1,lakafiaisto,hit,fia,f,voiceless,labiodental,i,Hiatus
p06,syllable,1,lakafuaisto,hit,fu,f,voiceless,labiodental,u,Hiatus
p06,syllable,1,lakagiaisto,hit,gia,g,voiced,velar,i,Hiatus
p06,syllable,1,lakaguaisto,hit,gu,g,voiced,velar,u,Hiatus
p06,syllable,1,lakakiaisto,hit,kia,k,voiceless,velar,i,Hiatus
p06,syllable,1,lakakuaisto,hit,ku,k,voiceless,velar,u,Hiatus
p06,syllable,1,lakapiaisto,hit,pia,p,voiceless,bilabial,i,Hiatus
p06,syllable,1,lakapuaisto,hit,pu,p,voiceless,bilabial,u,Hiatus
p06,syllable,1,lakatiaisto,hit,pia,t,voiceless,dental,i,Hiatus
p06,syllable,1,lakatuaisto,hit,tu,t,voiceless,dental,u,Hiatus
p07,syllable,1,lakabiaisto,hit,bais,b,voiced,bilabial,i,Simplification
p07,syllable,1,lakabuaisto,hit,buais,b,voiced,bilabial,u,Tripthong
p07,syllable,1,lakadiaisto,hit,dia,d,voiced,dental,i,Hiatus
p07,syllable,1,lakaduaisto,hit,duais,d,voiced,dental,u,Tripthong
p07,syllable,1,lakafiaisto,hit,fiais,f,voiceless,labiodental,i,Tripthong
p07,syllable,1,lakafuaisto,hit,fuais,f,voiceless,labiodental,u,Tripthong
p07,syllable,1,lakagiaisto,hit,gais,g,voiced,velar,i,Simplification
p07,syllable,1,lakaguaisto,hit,guais,g,voiced,velar,u,Tripthong
p07,syllable,1,lakakiaisto,hit,kais,k,voiceless,velar,i,Simplification
p07,syllable,1,lakakuaisto,hit,kuais,k,voiceless,velar,u,Tripthong
p07,syllable,1,lakapiaisto,hit,pia,p,voiceless,bilabial,i,Simplification
p07,syllable,1,lakapuaisto,hit,puais,p,voiceless,bilabial,u,Tripthong
p07,syllable,1,lakatiaisto,hit,tiai,t,voiceless,dental,i,Simplification
p07,syllable,1,lakatuaisto,hit,tuais,t,voiceless,dental,u,Tripthong
p08,syllable,1,lakabiaisto,hit,bi,b,voiced,bilabial,i,Simplification
p08,syllable,1,lakabuaisto,hit,bu,b,voiced,bilabial,u,Hiatus
p08,syllable,1,lakadiaisto,hit,di,d,voiced,dental,i,Hiatus
p08,syllable,1,lakaduaisto,hit,du,d,voiced,dental,u,Hiatus
p08,syllable,1,lakafiaisto,hit,fi,f,voiceless,labiodental,i,Simplification
p08,syllable,1,lakafuaisto,hit,fju,f,voiceless,labiodental,u,Hiatus
p08,syllable,1,lakagiaisto,hit,gi,g,voiced,velar,i,Hiatus
p08,syllable,1,lakaguaisto,hit,gu,g,voiced,velar,u,Hiatus
p08,syllable,1,lakakiaisto,hit,ki,k,voiceless,velar,i,Simplification
p08,syllable,1,lakakuaisto,hit,ku,k,voiceless,velar,u,Hiatus
p08,syllable,1,lakapiaisto,hit,pi,p,voiceless,bilabial,i,Simplification
p08,syllable,1,lakapuaisto,hit,pu,p,voiceless,bilabial,u,Simplification
p08,syllable,1,lakatiaisto,hit,ti,t,voiceless,dental,i,Simplification
p08,syllable,1,lakatuaisto,hit,tu,t,voiceless,dental,u,Simplification
