p05_syllable_1_chiaba_hit,chia,0.54,ba,0.29,NA,0,NA,0,NA,0,ch,0.11,chai
p05_syllable_1_costonhialo_hit,cos,0.35,to,0.28,nhia,0.56,lo,0.32,NA,0,nh,0.27,
p05_syllable_1_crobo_hit,cro,0.46,bo,0.31,NA,0,NA,0,NA,0,cr,0.12,
p05_syllable_1_falotro_hit,fa,0.17,lo,0.45,tro,0.37,NA,0,NA,0,l,0.14,
p05_syllable_1_falubiko_hit,fa,0.23,lu,0.30,bi,0.49,ko,0.39,NA,0,b,0.12,
p05_syllable_1_faluduako_hit,fa,0.19,lu,0.33,ba,0.64,ko,0.30,NA,0,d,0.12,error
p05_syllable_1_falufaisto_hit,fa,0.29,lu,0.23,fais,0.67,to,0.36,NA,0,f,0.20,
p05_syllable_1_falupiro_hit,fa,0.25,lu,0.30,pi,0.69,ro,0.26,NA,0,p,0.19,
p05_syllable_1_falutraigo_hit,fa,0.27,lu,0.29,trai,0.58,go,0.39,NA,0,tr,0.23,
p05_syllable_1_flauro_hit,fa,0.32,lu,0.57,ro,0.22,NA,0,NA,0,NA,0,error
p05_syllable_1_lakabiaisto_hit,la,0.33,ka,0.45,bi,0.45,ais,0.48,to,0.22,b,0.12,extra
p05_syllable_1_lakabuaisto_hit,la,0.30,ka,0.41,buais,0.76,to,0.23,NA,0,b,0.13,
p05_syllable_1_lakadiaisto_hit,la,0.31,ka,0.43,di,0.33,ais,0.56,to,0.22,d,0.10,extra
p05_syllable_1_lakaduaisto_hit,la,0.25,ka,0.28,dais,0.70,to,0.27,NA,0,d,0.15,error
p05_syllable_1_lakafiaisto_hit,la,0.30,ka,0.39,fi,0.44,ais,0.51,to,0.22,f,0.10,extra
p05_syllable_1_lakafuaisto_hit,la,0.28,ka,0.22,fais,0.73,to,0.27,NA,0,f,0.15,error
p05_syllable_1_lakagiaisto_hit,la,0.26,ka,0.30,ki,0.24,ais,0.51,to,0.22,k,0.12,extra
p05_syllable_1_lakaguaisto_hit,la,0.27,ka,0.24,gais,0.58,,0.26,NA,0,g,0.10,error
p05_syllable_1_lakakiaisto_hit,la,0.29,ka,0.37,ki,0.27,ais,0.58,to,0.26,k,0.17,extra
p05_syllable_1_lakakuaisto_hit,la,0.35,ka,0.31,kais,0.62,to,0.29,NA,0,NA,0,error
p05_syllable_1_lakapiaisto_hit,la,0.42,ka,0.42,pais,0.98,to,0.27,NA,0,p,0.13,error
p05_syllable_1_lakapuaisto_hit,la,0.28,ka,0.72,pais,0.70,to,0.25,NA,0,p,0.02,error
p05_syllable_1_lakatiaisto_hit,la,0.32,ka,0.38,ti,0.27,ais,0.63,to,0.23,t,0.04,extra
p05_syllable_1_lakatuaisto_hit,la,0.36,ka,0.34,tais,0.65,to,0.29,NA,0,t,0.10,error
p05_syllable_1_liamo_hit,li,0.27,a,0.29,mo,0.34,NA,0,NA,0,l,0.07,
p05_syllable_1_lifro_hit,li,0.34,fro,0.39,NA,0,NA,0,NA,0,l,0.10,
p05_syllable_1_lliape_hit,liai,0.53,pe,0.26,NA,0,NA,0,NA,0,ll,0.10,
p05_syllable_1_manhiala_hit,ma,0.20,nhia,0.60,la,0.36,NA,0,NA,0,nh,0.26,
p05_syllable_1_matio_hit,ma,0.37,tio,0.46,NA,0,NA,0,NA,0,m,0.08,
p05_syllable_1_mebochiana_hit,me,0.30,cho,0.29,chai,0.52,na,0.24,NA,0,NA,0,wayoff
p05_syllable_1_nhiape_hit,nhia,0.48,pe,0.32,NA,0,NA,0,NA,0,nh,0.16,
p05_syllable_1_pachialo_hit,pan,0.30,chia,0.54,lo,0.43,NA,0,NA,0,ch,0.15,
p05_syllable_1_palufago_hit,pa,0.27,lu,0.22,fa,0.61,go,0.35,NA,0,f,0.21,
p05_syllable_1_palufasti_hit,pa,0.26,lu,0.29,fas,0.67,ti,0.30,NA,0,f,0.21,
p05_syllable_1_palufauro_hit,pa,0.25,lu,0.30,fau,0.60,ro,0.25,NA,0,f,0.19,
p05_syllable_1_palufauto_hit,pa,0.38,lu,0.42,fau,0.49,to,0.35,NA,0,f,0.16,
p05_syllable_1_paluguato_hit,pa,0.26,lu,0.41,gau,0.67,to,0.29,NA,0,g,0.18,
p05_syllable_1_palumaisto_hit,pa,0.25,lu,0.33,mais,0.81,to,0.27,NA,0,m,0.17,
p05_syllable_1_paluparo_hit,pa,0.21,lu,0.35,pa,0.60,ro,0.27,NA,0,p,0.25,
p05_syllable_1_palutarlo_hit,pa,0.21,lu,0.34,tar,0.50,lo,0.38,NA,0,t,0.16,
p05_syllable_1_palutrauco_hit,pa,0.26,lu,0.40,trai,0.73,co,0.32,NA,0,p,0.14,
p05_syllable_1_payielo_hit,pai,0.23,yu,0.21,we,0.33,lo,0.26,NA,0,y,0.07,extra
p05_syllable_1_polafo_hit,po,0.19,lo,0.28,fo,0.42,NA,0,NA,0,l,0.13,
p05_syllable_1_rausto_hit,raus,0.59,to,0.27,NA,0,NA,0,NA,0,r,0.07,
p05_syllable_1_ruyiola_hit,ru,0.27,yio,0.57,la,0.35,NA,0,NA,0,y,0.14,
p05_syllable_1_tuliafo_hit,tu,0.24,lai,0.52,fo,0.30,NA,0,NA,0,l,0.15,
