participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
563bb259be9cac0005aab7ab,63f3cfca20052e4ae7554ebf,6453ca9e121caf8095d8b5d4,2023-05-04_17h10.48.258,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563bb259be9cac0005aab7ab,63f3cfca20052e4ae7554ebf,6453ca9e121caf8095d8b5d4,2023-05-04_17h10.48.258,ga_syllabified_check,2022.2.5,Win32,60.0240096,-0.383101852,-0.104166667,1,0,0,4.281,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
563bb259be9cac0005aab7ab,63f3cfca20052e4ae7554ebf,6453ca9e121caf8095d8b5d4,2023-05-04_17h10.48.258,ga_syllabified_check,2022.2.5,Win32,60.0240096,-0.37962963,-0.108796296,1,0,0,2.4,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
563bb259be9cac0005aab7ab,63f3cfca20052e4ae7554ebf,6453ca9e121caf8095d8b5d4,2023-05-04_17h10.48.258,ga_syllabified_check,2022.2.5,Win32,60.0240096,0.385416667,-0.099537037,1,0,0,8.246,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
563bb259be9cac0005aab7ab,63f3cfca20052e4ae7554ebf,6453ca9e121caf8095d8b5d4,2023-05-04_17h10.48.258,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563bb259be9cac0005aab7ab,63f3cfca20052e4ae7554ebf,6453ca9e121caf8095d8b5d4,2023-05-04_17h10.48.258,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p03_syllable_1_lakafuaisto_hit.wav,p03,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.371527778,-0.108796296,1,0,0,4.765,text_option_1,,0,0,0,11,1
563bb259be9cac0005aab7ab,63f3cfca20052e4ae7554ebf,6453ca9e121caf8095d8b5d4,2023-05-04_17h10.48.258,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p06_syllable_1_palutrauco_hit.wav,p06,palutrauco,hit,pa-lu-tra-u-co,pa-lu-trau-co,pa-lu-tra-u-co, ,0.439814815,-0.104166667,1,0,0,4.948,text_option_2,,0,1,1,131,1
563bb259be9cac0005aab7ab,63f3cfca20052e4ae7554ebf,6453ca9e121caf8095d8b5d4,2023-05-04_17h10.48.258,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p05_syllable_1_palumaisto_hit.wav,p05,palumaisto,hit,pa-lu-mais-to,pa-lu-mais-to,pa-lu-ma-is-to, ,-0.372685185,-0.103009259,1,0,0,2.083,text_option_1,,0,2,2,96,1
563bb259be9cac0005aab7ab,63f3cfca20052e4ae7554ebf,6453ca9e121caf8095d8b5d4,2023-05-04_17h10.48.258,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p06_syllable_1_pachialo_hit.wav,p06,pachialo,hit,pa-shi-a-lo,pa-chia-lo,pa-chi-a-lo, ,0.413194444,-0.096064815,1,0,0,2.116,text_option_2,,0,3,3,126,1
563bb259be9cac0005aab7ab,63f3cfca20052e4ae7554ebf,6453ca9e121caf8095d8b5d4,2023-05-04_17h10.48.258,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p05_syllable_1_ruyiola_hit.wav,p05,ruyiola,hit,ru-yio-la,ru-yio-la,ru-yi-o-la, ,-0.381944444,-0.107638889,1,0,0,1.998,text_option_1,,0,4,4,100,1
