participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
59402f40e9b44100013b1789,63f3cfca20052e4ae7554ebf,6453cd3f07663f6b4ecc61dd,2023-05-04_17h20.59.466,ga_syllabified_check,2022.2.5,Win32,59.70149254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59402f40e9b44100013b1789,63f3cfca20052e4ae7554ebf,6453cd3f07663f6b4ecc61dd,2023-05-04_17h20.59.466,ga_syllabified_check,2022.2.5,Win32,59.70149254,-0.394261763,-0.108053681,1,0,0,3.3843,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
59402f40e9b44100013b1789,63f3cfca20052e4ae7554ebf,6453cd3f07663f6b4ecc61dd,2023-05-04_17h20.59.466,ga_syllabified_check,2022.2.5,Win32,59.70149254,-0.394261763,-0.108053681,1,0,0,0.9174,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
59402f40e9b44100013b1789,63f3cfca20052e4ae7554ebf,6453cd3f07663f6b4ecc61dd,2023-05-04_17h20.59.466,ga_syllabified_check,2022.2.5,Win32,59.70149254,0.364932886,-0.083355692,1,0,0,1.8341,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
59402f40e9b44100013b1789,63f3cfca20052e4ae7554ebf,6453cd3f07663f6b4ecc61dd,2023-05-04_17h20.59.466,ga_syllabified_check,2022.2.5,Win32,59.70149254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59402f40e9b44100013b1789,63f3cfca20052e4ae7554ebf,6453cd3f07663f6b4ecc61dd,2023-05-04_17h20.59.466,ga_syllabified_check,2022.2.5,Win32,59.70149254,,,,,,,,,,,,,,./stim/p07_syllable_1_ruyiola_hit.wav,p07,ruyiola,hit,ru-yio-la,ru-yio-la,ru-yi-o-la, ,-0.385671168,-0.114496628,1,0,0,1.7002,text_option_1,,0,0,0,168,1
59402f40e9b44100013b1789,63f3cfca20052e4ae7554ebf,6453cd3f07663f6b4ecc61dd,2023-05-04_17h20.59.466,ga_syllabified_check,2022.2.5,Win32,59.70149254,,,,,,,,,,,,,,./stim/p05_syllable_1_flauro_hit.wav,p05,flauro,hit,fa-lu-ro,flau-ro,fla-u-ro, ,0.040637535,-0.284161049,1,0,0,1.917,text_option_other,fa-lu-ro,0,1,1,73,1
59402f40e9b44100013b1789,63f3cfca20052e4ae7554ebf,6453cd3f07663f6b4ecc61dd,2023-05-04_17h20.59.466,ga_syllabified_check,2022.2.5,Win32,59.70149254,,,,,,,,,,,,,,./stim/p08_syllable_1_flauro_hit.wav,p08,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.385671168,-0.10697978,1,0,0,1.0167,text_option_1,,0,2,2,175,1
59402f40e9b44100013b1789,63f3cfca20052e4ae7554ebf,6453cd3f07663f6b4ecc61dd,2023-05-04_17h20.59.466,ga_syllabified_check,2022.2.5,Win32,59.70149254,,,,,,,,,,,,,,./stim/p08_syllable_1_manhiala_hit.wav,p08,mañiala,hit,ma-nhia-la,ma-ñia-la,ma-ñi-a-la, ,-0.385671168,-0.10697978,1,0,0,1.5502,text_option_1,,0,3,3,191,1
59402f40e9b44100013b1789,63f3cfca20052e4ae7554ebf,6453cd3f07663f6b4ecc61dd,2023-05-04_17h20.59.466,ga_syllabified_check,2022.2.5,Win32,59.70149254,,,,,,,,,,,,,,./stim/p04_syllable_1_nhiape_hit.wav,p04,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,-0.365268477,-0.117718127,1,0,0,1.2837,text_option_1,,0,4,4,57,1
