participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,-0.416666667,-0.102864583,1,0,0,4.9287,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,-0.388020833,-0.104166667,1,0,0,2.822,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,0.407552083,-0.096354167,1,0,0,3.5614,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p05_syllable_1_flauro_hit.wav,p05,flauro,hit,fa-lu-ro,flau-ro,fla-u-ro, ,0.404947917,-0.104166667,1,0,0,7.621,text_option_2,,0,0,0,73,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p04_syllable_1_lakafuaisto_hit.wav,p04,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,0.0546875,-0.108072917,1,0,0,6.9174,text_option_3,,0,1,1,45,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p05_syllable_1_palumaisto_hit.wav,p05,palumaisto,hit,pa-lu-mais-to,pa-lu-mais-to,pa-lu-ma-is-to, ,-0.364583333,-0.088541667,1,0,0,3.6947,text_option_1,,0,2,2,96,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p05_syllable_1_rausto_hit.wav,p05,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.408854167,-0.098958333,1,0,0,2.2281,text_option_1,,0,3,3,99,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p04_syllable_1_lliape_hit.wav,p04,lliape,hit,lia-pe,llia-pe,lli-a-pe, ,-0.399739583,-0.095052083,1,0,0,2.3659,text_option_1,,0,4,4,54,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p04_syllable_1_lakakuaisto_hit.wav,p04,lakakuaisto,hit,la-ka-kuais-to,la-ka-kuais-to,la-ka-ku-ais-to,la-ka-kua-is-to,-0.356770833,-0.110677083,1,0,0,3.0896,text_option_1,,0,5,5,49,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p05_syllable_1_lakakiaisto_hit.wav,p05,lakakiaisto,hit,la-ka-ki-ais-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,-0.37109375,-0.087239583,1,0,0,6.8215,text_option_1,,0,6,6,82,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p06_syllable_1_lakafuaisto_hit.wav,p06,lakafuaisto,hit,la-ka-fu-a-is,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,0.045572917,-0.106770833,1,0,0,7.3644,text_option_3,,0,7,7,113,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p06_syllable_1_lakapuaisto_hit.wav,p06,lakapuaisto,hit,la-ka-pu-a-is,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,0.033854167,-0.10546875,1,0,0,9.5279,text_option_3,,0,8,8,119,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p08_syllable_1_paluguato_hit.wav,p08,paluguato,hit,pa-lu-gua-to,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.419270833,-0.087239583,1,0,0,4.4204,text_option_1,,0,9,9,197,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p03_syllable_1_rausto_hit.wav,p03,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.381510417,-0.091145833,1,0,0,11.1955,text_option_1,,0,10,10,31,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p03_syllable_1_nhiape_hit.wav,p03,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,-0.403645833,-0.1015625,1,0,0,2.9373,text_option_1,,0,11,11,23,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p05_syllable_1_palufauto_hit.wav,p05,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.34765625,-0.110677083,1,0,0,5.349,text_option_1,,0,12,12,94,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p04_syllable_1_mebochiana_hit.wav,p04,mebochiana,hit,me-bo-chia-na,me-bo-chia-na,me-bo-chi-a-na, ,-0.407552083,-0.080729167,1,0,0,2.8001,text_option_1,,0,13,13,56,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p07_syllable_1_lakadiaisto_hit.wav,p07,lakadiaisto,hit,la-ka-dia-is-to,la-ka-diais-to,la-ka-di-ais-to,la-ka-dia-is-to,0.01953125,-0.096354167,1,0,0,3.5441,text_option_3,,0,14,14,144,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p03_syllable_1_lakafiaisto_hit.wav,p03,lakafiaisto,hit,la-ka-fiais-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,-0.3984375,-0.104166667,1,0,0,4.0362,text_option_1,,0,15,15,10,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p03_syllable_1_palufauto_hit.wav,p03,palufauto,hit,pa-lu-fau,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.360677083,-0.100260417,1,0,0,2.5744,text_option_1,,0,16,16,26,1
5ac2a8065cd10500016219df,63f3cfca20052e4ae7554ebf,6453ca5b220da426d7e073eb,2023-05-04_17h10.25.493,ga_syllabified_check,2022.2.5,Win32,29.89089822,,,,,,,,,,,,,,./stim/p08_syllable_1_chiaba_hit.wav,p08,chiaba,hit,chi-a-ba,chia-ba,chi-a-ba, ,0.403645833,-0.100260417,1,0,0,1.7602,text_option_2,,0,17,17,170,1
