participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5ada203ce34a050001b85276,63f3cfca20052e4ae7554ebf,6453cbd778f964ec0dbb3a30,2023-05-04_17h14.54.895,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ada203ce34a050001b85276,63f3cfca20052e4ae7554ebf,6453cbd778f964ec0dbb3a30,2023-05-04_17h14.54.895,ga_syllabified_check,2022.2.5,Win32,60.0276127,-0.366666667,-0.114814843,1,0,0,4.5297,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ada203ce34a050001b85276,63f3cfca20052e4ae7554ebf,6453cbd778f964ec0dbb3a30,2023-05-04_17h14.54.895,ga_syllabified_check,2022.2.5,Win32,60.0276127,0.373148176,-0.117592621,1,0,0,2.7819,text_option_2_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5ada203ce34a050001b85276,63f3cfca20052e4ae7554ebf,6453cbd778f964ec0dbb3a30,2023-05-04_17h14.54.895,ga_syllabified_check,2022.2.5,Win32,60.0276127,-0.371296268,-0.114814843,1,0,0,3.2304,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ada203ce34a050001b85276,63f3cfca20052e4ae7554ebf,6453cbd778f964ec0dbb3a30,2023-05-04_17h14.54.895,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ada203ce34a050001b85276,63f3cfca20052e4ae7554ebf,6453cbd778f964ec0dbb3a30,2023-05-04_17h14.54.895,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,./stim/p05_syllable_1_palumaisto_hit.wav,p05,palumaisto,hit,pa-lu-mais-to,pa-lu-mais-to,pa-lu-ma-is-to, ,-0.431481467,-0.1,1,0,0,3.3143,text_option_1,,0,0,0,96,1
5ada203ce34a050001b85276,63f3cfca20052e4ae7554ebf,6453cbd778f964ec0dbb3a30,2023-05-04_17h14.54.895,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,./stim/p07_syllable_1_paluguato_hit.wav,p07,paluguato,hit,pa-lu-gua-to,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.323148134,-0.114814843,1,0,0,2.5815,text_option_1,,0,1,1,163,1
5ada203ce34a050001b85276,63f3cfca20052e4ae7554ebf,6453cbd778f964ec0dbb3a30,2023-05-04_17h14.54.895,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,./stim/p08_syllable_1_lakatuaisto_hit.wav,p08,lakatuaisto,hit,la-ka-tu-i-jis,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,0.344444444,-0.118518533,1,0,0,7.8272,text_option_2,,0,2,2,189,1
5ada203ce34a050001b85276,63f3cfca20052e4ae7554ebf,6453cbd778f964ec0dbb3a30,2023-05-04_17h14.54.895,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,./stim/p03_syllable_1_palumaisto_hit.wav,p03,palumaisto,hit,pa-lu-mais-to,pa-lu-mais-to,pa-lu-ma-is-to, ,-0.322222222,-0.10648151,1,0,0,3.0145,text_option_1,,0,3,3,28,1
5ada203ce34a050001b85276,63f3cfca20052e4ae7554ebf,6453cbd778f964ec0dbb3a30,2023-05-04_17h14.54.895,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,./stim/p04_syllable_1_palufauro_hit.wav,p04,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.402777778,-0.117592621,1,0,0,2.8707,text_option_1,,0,4,4,59,1
