participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5b376f54cf5e6a00018309ef,63f3cfca20052e4ae7554ebf,6453c703568e34be7f8be055,2023-05-04_16h54.55.857,ga_syllabified_check,2022.2.5,Win32,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b376f54cf5e6a00018309ef,63f3cfca20052e4ae7554ebf,6453c703568e34be7f8be055,2023-05-04_16h54.55.857,ga_syllabified_check,2022.2.5,Win32,59.99520038,-0.38703703,-0.103703746,1,0,0,3.9163,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5b376f54cf5e6a00018309ef,63f3cfca20052e4ae7554ebf,6453c703568e34be7f8be055,2023-05-04_16h54.55.857,ga_syllabified_check,2022.2.5,Win32,59.99520038,-0.373148141,-0.102777764,1,0,0,3.65,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5b376f54cf5e6a00018309ef,63f3cfca20052e4ae7554ebf,6453c703568e34be7f8be055,2023-05-04_16h54.55.857,ga_syllabified_check,2022.2.5,Win32,59.99520038,0.3648149,-0.090740734,1,0,0,8.417,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5b376f54cf5e6a00018309ef,63f3cfca20052e4ae7554ebf,6453c703568e34be7f8be055,2023-05-04_16h54.55.857,ga_syllabified_check,2022.2.5,Win32,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b376f54cf5e6a00018309ef,63f3cfca20052e4ae7554ebf,6453c703568e34be7f8be055,2023-05-04_16h54.55.857,ga_syllabified_check,2022.2.5,Win32,59.99520038,,,,,,,,,,,,,,./stim/p08_syllable_1_falutraigo_hit.wav,p08,falutraigo,hit,fa-lu-trai-go,fa-lu-trai-go,fa-lu-tra-i-go, ,-0.350925905,-0.108333376,1,0,0,4.901,text_option_1,,0,0,0,174,1
5b376f54cf5e6a00018309ef,63f3cfca20052e4ae7554ebf,6453c703568e34be7f8be055,2023-05-04_16h54.55.857,ga_syllabified_check,2022.2.5,Win32,59.99520038,,,,,,,,,,,,,,./stim/p03_syllable_1_lakafiaisto_hit.wav,p03,lakafiaisto,hit,la-ka-fiais-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,-0.373148141,-0.107407393,1,0,0,2.85,text_option_1,,0,1,1,10,1
5b376f54cf5e6a00018309ef,63f3cfca20052e4ae7554ebf,6453c703568e34be7f8be055,2023-05-04_16h54.55.857,ga_syllabified_check,2022.2.5,Win32,59.99520038,,,,,,,,,,,,,,./stim/p05_syllable_1_lakapiaisto_hit.wav,p05,lakapiaisto,hit,la-ka-pais-to,la-ka-piais-to,la-ka-pi-ais-to,la-ka-pia-is-to,-0.3675926,-0.112963005,1,0,0,5.2673,text_option_1,,0,2,2,84,1
5b376f54cf5e6a00018309ef,63f3cfca20052e4ae7554ebf,6453c703568e34be7f8be055,2023-05-04_16h54.55.857,ga_syllabified_check,2022.2.5,Win32,59.99520038,,,,,,,,,,,,,,./stim/p06_syllable_1_lakabuaisto_hit.wav,p06,lakabuaisto,hit,la-ka-bu-a-is,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,0.36018527,-0.119444459,1,0,0,9.3837,text_option_2,,0,3,3,109,1
5b376f54cf5e6a00018309ef,63f3cfca20052e4ae7554ebf,6453c703568e34be7f8be055,2023-05-04_16h54.55.857,ga_syllabified_check,2022.2.5,Win32,59.99520038,,,,,,,,,,,,,,./stim/p07_syllable_1_flauro_hit.wav,p07,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.401851831,-0.107407393,1,0,0,1.3,text_option_1,,0,4,4,141,1
