participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,-0.380555556,-0.112037037,1,0,0,2.5696,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,-0.405555556,-0.108333333,1,0,0,1.7156,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,-0.393518519,-0.103703704,1,0,0,2.431,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p03_syllable_1_lakatuaisto_hit.wav,p03,lakatuaisto,hit,la-ka-tuais-to,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,-0.381481481,-0.102777778,1,0,0,3.1882,text_option_1,,0,0,0,19,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p03_syllable_1_lakakuaisto_hit.wav,p03,lakakuaisto,hit,la-ka-kuais-to,la-ka-kuais-to,la-ka-ku-ais-to,la-ka-kua-is-to,-0.372222222,-0.107407407,1,0,0,4.7172,text_option_1,,0,1,1,15,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p04_syllable_1_faluduako_hit.wav,p04,faluduako,hit,fa-lu-dua-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.372222222,-0.107407407,1,0,0,1.3294,text_option_1,,0,2,2,36,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p06_syllable_1_palufauro_hit.wav,p06,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.014814815,-0.294444444,1,0,0,5.8339,text_option_other,pa-lo-fao-u-ro,0,3,3,127,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p04_syllable_1_lakabiaisto_hit.wav,p04,lakabiaisto,hit,la-ka-biais-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.346296296,-0.101851852,1,0,0,4.5239,text_option_1,,0,4,4,40,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p08_syllable_1_palufauto_hit.wav,p08,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.325925926,-0.105555556,1,0,0,3.6467,text_option_1,,0,5,5,196,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p05_syllable_1_pachialo_hit.wav,p05,pachialo,hit,pan-chia-lo,pa-chia-lo,pa-chi-a-lo, ,-0.321296296,-0.109259259,1,0,0,2.9725,text_option_1,,0,6,6,92,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p04_syllable_1_lakakuaisto_hit.wav,p04,lakakuaisto,hit,la-ka-kuais-to,la-ka-kuais-to,la-ka-ku-ais-to,la-ka-kua-is-to,-0.389814815,-0.106481481,1,0,0,2.1059,text_option_1,,0,7,7,49,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p08_syllable_1_flauro_hit.wav,p08,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.407407407,-0.096296296,1,0,0,1.1571,text_option_1,,0,8,8,175,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p06_syllable_1_lakadiaisto_hit.wav,p06,lakadiaisto,hit,la-ka-dia-is-to,la-ka-diais-to,la-ka-di-ais-to,la-ka-dia-is-to,0.034259259,-0.102777778,1,0,0,5.6874,text_option_3,,0,9,9,110,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p07_syllable_1_lakakiaisto_hit.wav,p07,lakakiaisto,hit,la-ka-kais-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,0.011111111,-0.299074074,1,0,0,5.7639,text_option_other,la-ka-kais-to,0,10,10,150,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p07_syllable_1_chiaba_hit.wav,p07,chiaba,hit,chia-ba,chia-ba,chi-a-ba, ,-0.407407407,-0.10462963,1,0,0,1.7641,text_option_1,,0,11,11,136,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p04_syllable_1_manhiala_hit.wav,p04,mañiala,hit,ma-nhia-la,ma-ñia-la,ma-ñi-a-la, ,-0.380555556,-0.100925926,1,0,0,2.889,text_option_1,,0,12,12,55,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p08_syllable_1_mebochiana_hit.wav,p08,mebochiana,hit,me-bo-chi-a-na,me-bo-chia-na,me-bo-chi-a-na, ,0.361111111,-0.087962963,1,0,0,2.8681,text_option_2,,0,13,13,192,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p06_syllable_1_lakafuaisto_hit.wav,p06,lakafuaisto,hit,la-ka-fu-a-is,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,0.018518519,-0.305555556,1,0,0,5.5769,text_option_other,la-ka-fu-ais-to,0,14,14,113,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p06_syllable_1_lliape_hit.wav,p06,lliape,hit,lli-lla-pe,llia-pe,lli-a-pe, ,-0.010185185,-0.305555556,1,0,0,7.3473,text_option_other,i-lli-a-pe,0,15,15,122,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p05_syllable_1_faluduako_hit.wav,p05,faluduako,hit,fa-lu-ba-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.006481481,-0.313888889,1,0,0,5.7222,text_option_other,fa-lu-da-ko,0,16,16,70,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p05_syllable_1_lakatiaisto_hit.wav,p05,lakatiaisto,hit,la-ka-ti-ais-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,-0.372222222,-0.087037037,1,0,0,3.7987,text_option_1,,0,17,17,86,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p08_syllable_1_lakaguaisto_hit.wav,p08,lakaguaisto,hit,la-ka-gu-ais-to,la-ka-guais-to,la-ka-gu-ais-to,la-ka-gua-is-to,0.368518519,-0.096296296,1,0,0,4.9864,text_option_2,,0,18,18,183,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p04_syllable_1_falufaisto_hit.wav,p04,falufaisto,hit,fa-lu-fais-to,fa-lu-fais-to,fa-lu-fa-is-to, ,-0.385185185,-0.106481481,1,0,0,3.5069,text_option_1,,0,19,19,37,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p07_syllable_1_manhiala_hit.wav,p07,mañiala,hit,ma-nhia-la,ma-ñia-la,ma-ñi-a-la, ,-0.362962963,-0.103703704,1,0,0,1.8959,text_option_1,,0,20,20,157,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p07_syllable_1_rausto_hit.wav,p07,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.361111111,-0.110185185,1,0,0,2.014,text_option_1,,0,21,21,167,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p05_syllable_1_rausto_hit.wav,p05,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.377777778,-0.107407407,1,0,0,0.5834,text_option_1,,0,22,22,99,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p05_syllable_1_lakapuaisto_hit.wav,p05,lakapuaisto,hit,la-ka-pais-to,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,-0.025925926,-0.296296296,1,0,0,7.0427,text_option_other,la-ka-pais-to,0,23,23,85,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p05_syllable_1_chiaba_hit.wav,p05,chiaba,hit,chia-ba,chia-ba,chi-a-ba, ,-0.032407407,-0.305555556,1,0,0,3.7947,text_option_other,chai-ba,0,24,24,68,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p08_syllable_1_lakabuaisto_hit.wav,p08,lakabuaisto,hit,la-ka-bu-ais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,0.400925926,-0.100925926,1,0,0,3.348,text_option_2,,0,25,25,177,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p03_syllable_1_lakafuaisto_hit.wav,p03,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.337962963,-0.110185185,1,0,0,1.6113,text_option_1,,0,26,26,11,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p03_syllable_1_nhiape_hit.wav,p03,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,-0.37037037,-0.116666667,1,0,0,1.1179,text_option_1,,0,27,27,23,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p07_syllable_1_lakatuaisto_hit.wav,p07,lakatuaisto,hit,la-ka-tuais-to,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,-0.335185185,-0.101851852,1,0,0,2.875,text_option_1,,0,28,28,155,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p04_syllable_1_rausto_hit.wav,p04,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.366666667,-0.105555556,1,0,0,0.528,text_option_1,,0,29,29,65,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p04_syllable_1_palufauro_hit.wav,p04,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.367592593,-0.105555556,1,0,0,2.5977,text_option_1,,0,30,30,59,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p08_syllable_1_chiaba_hit.wav,p08,chiaba,hit,chi-a-ba,chia-ba,chi-a-ba, ,0.381481481,-0.096296296,1,0,0,1.0309,text_option_2,,0,31,31,170,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p07_syllable_1_lakafiaisto_hit.wav,p07,lakafiaisto,hit,la-ka-fiais-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,-0.346296296,-0.103703704,1,0,0,1.9168,text_option_1,,0,32,32,146,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p03_syllable_1_lakaguaisto_hit.wav,p03,lakaguaisto,hit,la-ka-guais-to,la-ka-guais-to,la-ka-gu-ais-to,la-ka-gua-is-to,-0.337962963,-0.107407407,1,0,0,1.6736,text_option_1,,0,33,33,13,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p05_syllable_1_payielo_hit.wav,p05,payielo,hit,pai-yu-we-lo,pa-yie-lo,pa-yi-e-lo, ,0.025,-0.310185185,1,0,0,1.5002,text_option_other,pa-yue-lo,0,34,34,98,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p04_syllable_1_lakapiaisto_hit.wav,p04,lakapiaisto,hit,la-ka-piais-to,la-ka-piais-to,la-ka-pi-ais-to,la-ka-pia-is-to,-0.326851852,-0.109259259,1,0,0,3.8126,text_option_1,,0,35,35,50,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p04_syllable_1_lakafuaisto_hit.wav,p04,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.32962963,-0.107407407,1,0,0,0.889,text_option_1,,0,36,36,45,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p08_syllable_1_faluduako_hit.wav,p08,faluduako,hit,fa-lu-duai-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.023148148,-0.307407407,1,0,0,2.7153,text_option_other,fa-lu-duai-ko,0,37,37,172,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p06_syllable_1_palufauto_hit.wav,p06,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.366666667,-0.102777778,1,0,0,3.2222,text_option_1,,0,38,38,128,1
5baa866b7c0ebe000127a8eb,63f3cfca20052e4ae7554ebf,6453cbd4b6d47ac993dd59f3,2023-05-04_17h14.52.241,ga_syllabified_check,2022.2.5,Win32,143.9263097,,,,,,,,,,,,,,./stim/p08_syllable_1_lakapuaisto_hit.wav,p08,lakapuaisto,hit,la-ka-pu-as-to,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,-0.05,-0.311111111,1,0,0,6.1806,text_option_other,la-ka-pu-as-to,0,39,39,187,1
