participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5bb2a0148f3bd70001e5633f,63f3cfca20052e4ae7554ebf,6453cdbaf259ef00ca36c44e,2023-05-04_17h29.10.790,ga_syllabified_check,2022.2.5,Win32,71.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bb2a0148f3bd70001e5633f,63f3cfca20052e4ae7554ebf,6453cdbaf259ef00ca36c44e,2023-05-04_17h29.10.790,ga_syllabified_check,2022.2.5,Win32,71.42857143,-0.3828125,-0.103515625,1,0,0,5.062,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5bb2a0148f3bd70001e5633f,63f3cfca20052e4ae7554ebf,6453cdbaf259ef00ca36c44e,2023-05-04_17h29.10.790,ga_syllabified_check,2022.2.5,Win32,71.42857143,-0.3828125,-0.1015625,1,0,0,2.781,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5bb2a0148f3bd70001e5633f,63f3cfca20052e4ae7554ebf,6453cdbaf259ef00ca36c44e,2023-05-04_17h29.10.790,ga_syllabified_check,2022.2.5,Win32,71.42857143,0.396484375,-0.100585938,1,0,0,6.471,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5bb2a0148f3bd70001e5633f,63f3cfca20052e4ae7554ebf,6453cdbaf259ef00ca36c44e,2023-05-04_17h29.10.790,ga_syllabified_check,2022.2.5,Win32,71.42857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bb2a0148f3bd70001e5633f,63f3cfca20052e4ae7554ebf,6453cdbaf259ef00ca36c44e,2023-05-04_17h29.10.790,ga_syllabified_check,2022.2.5,Win32,71.42857143,,,,,,,,,,,,,,./stim/p08_syllable_1_lakatiaisto_hit.wav,p08,lakatiaisto,hit,la-ka-ti-as-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,-0.364257813,-0.11328125,1,0,0,8.092,text_option_1,,0,0,0,188,1
5bb2a0148f3bd70001e5633f,63f3cfca20052e4ae7554ebf,6453cdbaf259ef00ca36c44e,2023-05-04_17h29.10.790,ga_syllabified_check,2022.2.5,Win32,71.42857143,,,,,,,,,,,,,,./stim/p06_syllable_1_lakafuaisto_hit.wav,p06,lakafuaisto,hit,la-ka-fu-a-is,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,0.416992188,-0.110351563,1,0,0,5.867,text_option_2,,0,1,1,113,1
5bb2a0148f3bd70001e5633f,63f3cfca20052e4ae7554ebf,6453cdbaf259ef00ca36c44e,2023-05-04_17h29.10.790,ga_syllabified_check,2022.2.5,Win32,71.42857143,,,,,,,,,,,,,,./stim/p06_syllable_1_costonhialo_hit.wav,p06,costoñialo,hit,cos-to-nhia-lo,cos-to-ñia-lo,cos-to-ñi-a-lo, ,-0.392578125,-0.109375,1,0,0,2.696,text_option_1,,0,2,2,103,1
5bb2a0148f3bd70001e5633f,63f3cfca20052e4ae7554ebf,6453cdbaf259ef00ca36c44e,2023-05-04_17h29.10.790,ga_syllabified_check,2022.2.5,Win32,71.42857143,,,,,,,,,,,,,,./stim/p06_syllable_1_lakatiaisto_hit.wav,p06,lakatiaisto,hit,la-ka-pia-is-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,0.004882813,-0.1015625,1,0,0,4.116,text_option_3,,0,3,3,120,1
5bb2a0148f3bd70001e5633f,63f3cfca20052e4ae7554ebf,6453cdbaf259ef00ca36c44e,2023-05-04_17h29.10.790,ga_syllabified_check,2022.2.5,Win32,71.42857143,,,,,,,,,,,,,,./stim/p05_syllable_1_chiaba_hit.wav,p05,chiaba,hit,chia-ba,chia-ba,chi-a-ba, ,-0.43359375,-0.095703125,1,0,0,2.05,text_option_1,,0,4,4,68,1
5bb2a0148f3bd70001e5633f,63f3cfca20052e4ae7554ebf,6453cdbaf259ef00ca36c44e,2023-05-04_17h29.10.790,ga_syllabified_check,2022.2.5,Win32,71.42857143,,,,,,,,,,,,,,./stim/p07_syllable_1_pachialo_hit.wav,p07,pachialo,hit,pa-cha-lo,pa-chia-lo,pa-chi-a-lo, ,-0.43359375,-0.095703125,1,0,0,1.473,text_option_1,,0,5,5,160,1
