participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,0.009114583,-0.309895833,1,0,0,4.6158,text_option_other_practice,le amo,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,-0.385416667,-0.096354167,1,0,0,2.3167,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,-0.381510417,-0.10546875,1,0,0,3.4164,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p07_syllable_1_lakagiaisto_hit.wav,p07,lakagiaisto,hit,la-ka-gais-to,la-ka-giais-to,la-ka-gi-ais-to,la-ka-gia-is-to,-0.361979167,-0.1015625,1,0,0,4.285,text_option_1,,0,0,0,148,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p08_syllable_1_flauro_hit.wav,p08,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.430989583,-0.1015625,1,0,0,1.1506,text_option_1,,0,1,1,175,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p06_syllable_1_lakaduaisto_hit.wav,p06,lakaduaisto,hit,la-ka-du-a-is,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,0.459635417,-0.110677083,1,0,0,3.7992,text_option_2,,0,2,2,111,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p06_syllable_1_lakadiaisto_hit.wav,p06,lakadiaisto,hit,la-ka-dia-is-to,la-ka-diais-to,la-ka-di-ais-to,la-ka-dia-is-to,0.0546875,-0.096354167,1,0,0,3.5492,text_option_3,,0,3,3,110,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p08_syllable_1_palutrauco_hit.wav,p08,palutrauco,hit,pa-lu-trau-ko,pa-lu-trau-co,pa-lu-tra-u-co, ,-0.4375,-0.115885417,1,0,0,3.3973,text_option_1,,0,4,4,199,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p08_syllable_1_palufauto_hit.wav,p08,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.31640625,-0.091145833,1,0,0,3.3319,text_option_1,,0,5,5,196,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p04_syllable_1_falufaisto_hit.wav,p04,falufaisto,hit,fa-lu-fais-to,fa-lu-fais-to,fa-lu-fa-is-to, ,-0.337239583,-0.111979167,1,0,0,1.5999,text_option_1,,0,6,6,37,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p08_syllable_1_lakabuaisto_hit.wav,p08,lakabuaisto,hit,la-ka-bu-ais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,-0.33984375,-0.106770833,1,0,0,3.5834,text_option_1,,0,7,7,177,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p07_syllable_1_lakaduaisto_hit.wav,p07,lakaduaisto,hit,la-ka-duais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.391927083,-0.08984375,1,0,0,3.366,text_option_1,,0,8,8,145,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p08_syllable_1_palumaisto_hit.wav,p08,palumaisto,hit,pa-lu-mais-to,pa-lu-mais-to,pa-lu-ma-is-to, ,-0.391927083,-0.08984375,1,0,0,3.0497,text_option_1,,0,9,9,198,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p05_syllable_1_palufauro_hit.wav,p05,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.34765625,-0.11328125,1,0,0,1.2833,text_option_1,,0,10,10,93,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p03_syllable_1_palumaisto_hit.wav,p03,palumaisto,hit,pa-lu-mais-to,pa-lu-mais-to,pa-lu-ma-is-to, ,-0.33203125,-0.106770833,1,0,0,1.9325,text_option_1,,0,11,11,28,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p07_syllable_1_rausto_hit.wav,p07,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.38671875,-0.088541667,1,0,0,1.5331,text_option_1,,0,12,12,167,1
5bef1e56c19fcd0001cdf4c7,63f3cfca20052e4ae7554ebf,6453cc782d5b5b11b2d8b5cd,2023-05-04_17h18.09.122,ga_syllabified_check,2022.2.5,Win32,60.40471157,,,,,,,,,,,,,,./stim/p07_syllable_1_pachialo_hit.wav,p07,pachialo,hit,pa-cha-lo,pa-chia-lo,pa-chi-a-lo, ,-0.37109375,-0.096354167,1,0,0,2.1327,text_option_1,,0,13,13,160,1
