participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5befe2ef7c38740001698b0e,63f3cfca20052e4ae7554ebf,6453cd67f2b29a4b012a8ec0,2023-05-04_17h21.36.704,ga_syllabified_check,2022.2.5,Win32,6.666888896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5befe2ef7c38740001698b0e,63f3cfca20052e4ae7554ebf,6453cd67f2b29a4b012a8ec0,2023-05-04_17h21.36.704,ga_syllabified_check,2022.2.5,Win32,6.666888896,-0.380512821,-0.1,1,0,0,2.9373,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5befe2ef7c38740001698b0e,63f3cfca20052e4ae7554ebf,6453cd67f2b29a4b012a8ec0,2023-05-04_17h21.36.704,ga_syllabified_check,2022.2.5,Win32,6.666888896,-0.368205128,-0.101025641,1,0,0,1.5839,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5befe2ef7c38740001698b0e,63f3cfca20052e4ae7554ebf,6453cd67f2b29a4b012a8ec0,2023-05-04_17h21.36.704,ga_syllabified_check,2022.2.5,Win32,6.666888896,-0.373333333,-0.101025641,1,0,0,6.4365,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5befe2ef7c38740001698b0e,63f3cfca20052e4ae7554ebf,6453cd67f2b29a4b012a8ec0,2023-05-04_17h21.36.704,ga_syllabified_check,2022.2.5,Win32,6.666888896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5befe2ef7c38740001698b0e,63f3cfca20052e4ae7554ebf,6453cd67f2b29a4b012a8ec0,2023-05-04_17h21.36.704,ga_syllabified_check,2022.2.5,Win32,6.666888896,,,,,,,,,,,,,,./stim/p04_syllable_1_lakabiaisto_hit.wav,p04,lakabiaisto,hit,la-ka-biais-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.089230769,-0.309230769,1,0,0,8.0953,text_option_other,la-ka,0,0,0,40,1
5befe2ef7c38740001698b0e,63f3cfca20052e4ae7554ebf,6453cd67f2b29a4b012a8ec0,2023-05-04_17h21.36.704,ga_syllabified_check,2022.2.5,Win32,6.666888896,,,,,,,,,,,,,,./stim/p08_syllable_1_manhiala_hit.wav,p08,mañiala,hit,ma-nhia-la,ma-ñia-la,ma-ñi-a-la, ,-0.354871795,-0.094871795,1,0,0,4.0337,text_option_1,,0,1,1,191,1
5befe2ef7c38740001698b0e,63f3cfca20052e4ae7554ebf,6453cd67f2b29a4b012a8ec0,2023-05-04_17h21.36.704,ga_syllabified_check,2022.2.5,Win32,6.666888896,,,,,,,,,,,,,,./stim/p07_syllable_1_payielo_hit.wav,p07,payielo,hit,pa-yie-lo,pa-yie-lo,pa-yi-e-lo, ,-0.4,-0.095897436,1,0,0,4.2747,text_option_1,,0,2,2,166,1
5befe2ef7c38740001698b0e,63f3cfca20052e4ae7554ebf,6453cd67f2b29a4b012a8ec0,2023-05-04_17h21.36.704,ga_syllabified_check,2022.2.5,Win32,6.666888896,,,,,,,,,,,,,,./stim/p06_syllable_1_tuliafo_hit.wav,p06,tuliafo,hit,tu-li-a-fo,tu-lia-fo,tu-li-a-fo, ,0.42974359,-0.102051282,1,0,0,1.8603,text_option_2,,0,3,3,135,1
5befe2ef7c38740001698b0e,63f3cfca20052e4ae7554ebf,6453cd67f2b29a4b012a8ec0,2023-05-04_17h21.36.704,ga_syllabified_check,2022.2.5,Win32,6.666888896,,,,,,,,,,,,,,./stim/p04_syllable_1_rausto_hit.wav,p04,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.411282051,-0.107179487,1,0,0,1.4582,text_option_1,,0,4,4,65,1
5befe2ef7c38740001698b0e,63f3cfca20052e4ae7554ebf,6453cd67f2b29a4b012a8ec0,2023-05-04_17h21.36.704,ga_syllabified_check,2022.2.5,Win32,6.666888896,,,,,,,,,,,,,,./stim/p04_syllable_1_lakaduaisto_hit.wav,p04,lakaduaisto,hit,la-ka-duais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.379487179,-0.106153846,1,0,0,5.5083,text_option_1,,0,5,5,43,1
