participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5bf9dae56ecc0c00017ce46e,63f3cfca20052e4ae7554ebf,6453ce3f188007b096724f8c,2023-05-04_17h28.41.522,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bf9dae56ecc0c00017ce46e,63f3cfca20052e4ae7554ebf,6453ce3f188007b096724f8c,2023-05-04_17h28.41.522,ga_syllabified_check,2022.2.5,Win32,60.0240096,-0.413011696,-0.104532164,1,0,0,3.586,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5bf9dae56ecc0c00017ce46e,63f3cfca20052e4ae7554ebf,6453ce3f188007b096724f8c,2023-05-04_17h28.41.522,ga_syllabified_check,2022.2.5,Win32,60.0240096,-0.413011696,-0.104532164,1,0,0,2.285,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5bf9dae56ecc0c00017ce46e,63f3cfca20052e4ae7554ebf,6453ce3f188007b096724f8c,2023-05-04_17h28.41.522,ga_syllabified_check,2022.2.5,Win32,60.0240096,-0.413011696,-0.104532164,1,0,0,1.951,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5bf9dae56ecc0c00017ce46e,63f3cfca20052e4ae7554ebf,6453ce3f188007b096724f8c,2023-05-04_17h28.41.522,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bf9dae56ecc0c00017ce46e,63f3cfca20052e4ae7554ebf,6453ce3f188007b096724f8c,2023-05-04_17h28.41.522,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p07_syllable_1_mebochiana_hit.wav,p07,mebochiana,hit,me-bo-chia-na,me-bo-chia-na,me-bo-chi-a-na, ,0.415849057,-0.117358491,1,0,0,3.336,text_option_2,,0,0,0,158,1
5bf9dae56ecc0c00017ce46e,63f3cfca20052e4ae7554ebf,6453ce3f188007b096724f8c,2023-05-04_17h28.41.522,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p07_syllable_1_lakafiaisto_hit.wav,p07,lakafiaisto,hit,la-ka-fiais-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,-0.350943396,-0.112830189,1,0,0,4.304,text_option_1,,0,1,1,146,1
5bf9dae56ecc0c00017ce46e,63f3cfca20052e4ae7554ebf,6453ce3f188007b096724f8c,2023-05-04_17h28.41.522,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p04_syllable_1_lakatuaisto_hit.wav,p04,lakatuaisto,hit,la-ka-kuais-to,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,-0.368301887,-0.106037736,1,0,0,3.02,text_option_1,,0,2,2,53,1
5bf9dae56ecc0c00017ce46e,63f3cfca20052e4ae7554ebf,6453ce3f188007b096724f8c,2023-05-04_17h28.41.522,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p03_syllable_1_costonhialo_hit.wav,p03,costoñialo,hit,cos-to-nhia-lo,cos-to-ñia-lo,cos-to-ñi-a-lo, ,-0.368301887,-0.106037736,1,0,0,3.97,text_option_1,,0,3,3,1,1
5bf9dae56ecc0c00017ce46e,63f3cfca20052e4ae7554ebf,6453ce3f188007b096724f8c,2023-05-04_17h28.41.522,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p06_syllable_1_lakafiaisto_hit.wav,p06,lakafiaisto,hit,la-ka-fia-is-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,0.038490566,-0.099245283,1,0,0,6.074,text_option_3,,0,4,4,112,1
