participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,-0.398148148,-0.099074116,1,0,0,4.7901,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,-0.380555541,-0.10092594,1,0,0,5.6586,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,-0.400000007,-0.101851852,1,0,0,4.0011,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p08_syllable_1_lakabuaisto_hit.wav,p08,lakabuaisto,hit,la-ka-bu-ais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,-0.317592586,-0.110185199,1,0,0,10.4081,text_option_1,,0,0,0,177,1
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p08_syllable_1_rausto_hit.wav,p08,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.37037037,-0.103703746,1,0,0,3.813,text_option_1,,0,1,1,201,1
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p07_syllable_1_lakapuaisto_hit.wav,p07,lakapuaisto,hit,la-ka-puais-to,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,-0.329629616,-0.100000028,1,0,0,4.3796,text_option_1,,0,2,2,153,1
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p06_syllable_1_palutrauco_hit.wav,p06,palutrauco,hit,pa-lu-tra-u-co,pa-lu-trau-co,pa-lu-tra-u-co, ,0.374074159,-0.107407393,1,0,0,5.2096,text_option_2,,0,3,3,131,1
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p04_syllable_1_lakapiaisto_hit.wav,p04,lakapiaisto,hit,la-ka-piais-to,la-ka-piais-to,la-ka-pi-ais-to,la-ka-pia-is-to,-0.299999979,-0.106481481,1,0,0,2.9946,text_option_1,,0,4,4,50,1
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p06_syllable_1_palufauto_hit.wav,p06,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.3675926,-0.102777764,1,0,0,4.3584,text_option_1,,0,5,5,128,1
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p06_syllable_1_mebochiana_hit.wav,p06,mebochiana,hit,me-bo-shi-a-na,me-bo-chia-na,me-bo-chi-a-na, ,0.413888861,-0.095370399,1,0,0,9.4355,text_option_2,,0,6,6,124,1
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p08_syllable_1_lakakuaisto_hit.wav,p08,lakakuaisto,hit,la-ka-ku-ais-to,la-ka-kuais-to,la-ka-ku-ais-to,la-ka-kua-is-to,0.442592621,-0.101851852,1,0,0,4.3716,text_option_2,,0,7,7,185,1
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p07_syllable_1_lakadiaisto_hit.wav,p07,lakadiaisto,hit,la-ka-dia-is-to,la-ka-diais-to,la-ka-di-ais-to,la-ka-dia-is-to,0.060185185,-0.109259288,1,0,0,3.703,text_option_3,,0,8,8,144,1
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p07_syllable_1_lakatiaisto_hit.wav,p07,lakatiaisto,hit,la-ka-tiai-sto,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,-0.355555534,-0.107407393,1,0,0,9.2264,text_option_1,,0,9,9,154,1
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p03_syllable_1_lakafiaisto_hit.wav,p03,lakafiaisto,hit,la-ka-fiais-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,-0.338888875,-0.108333376,1,0,0,2.8153,text_option_1,,0,10,10,10,1
5ca65510a0b6540012283c32,63f3cfca20052e4ae7554ebf,6453cbda2bcd6131c08316f8,2023-05-04_17h24.22.237,ga_syllabified_check,2022.2.5,Win32,12.00436959,,,,,,,,,,,,,,./stim/p07_syllable_1_payielo_hit.wav,p07,payielo,hit,pa-yie-lo,pa-yie-lo,pa-yi-e-lo, ,-0.3824074,-0.104629658,1,0,0,2.2156,text_option_1,,0,11,11,166,1
