participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5cb63520029f810015b238f8,63f3cfca20052e4ae7554ebf,6453ce136c5c72538d820acd,2023-05-04_17h25.12.465,ga_syllabified_check,2022.2.5,Win32,60.11060351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cb63520029f810015b238f8,63f3cfca20052e4ae7554ebf,6453ce136c5c72538d820acd,2023-05-04_17h25.12.465,ga_syllabified_check,2022.2.5,Win32,60.11060351,-0.397395833,-0.109259288,1,0,0,4.8851,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5cb63520029f810015b238f8,63f3cfca20052e4ae7554ebf,6453ce136c5c72538d820acd,2023-05-04_17h25.12.465,ga_syllabified_check,2022.2.5,Win32,60.11060351,-0.386284733,-0.102777799,1,0,0,1.951,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5cb63520029f810015b238f8,63f3cfca20052e4ae7554ebf,6453ce136c5c72538d820acd,2023-05-04_17h25.12.465,ga_syllabified_check,2022.2.5,Win32,60.11060351,0.422974523,-0.112963041,1,0,0,3.5347,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5cb63520029f810015b238f8,63f3cfca20052e4ae7554ebf,6453ce136c5c72538d820acd,2023-05-04_17h25.12.465,ga_syllabified_check,2022.2.5,Win32,60.11060351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cb63520029f810015b238f8,63f3cfca20052e4ae7554ebf,6453ce136c5c72538d820acd,2023-05-04_17h25.12.465,ga_syllabified_check,2022.2.5,Win32,60.11060351,,,,,,,,,,,,,,./stim/p08_syllable_1_palutrauco_hit.wav,p08,palutrauco,hit,pa-lu-trau-ko,pa-lu-trau-co,pa-lu-tra-u-co, ,-0.311284701,-0.103703753,1,0,0,3.8851,text_option_1,,0,0,0,199,1
5cb63520029f810015b238f8,63f3cfca20052e4ae7554ebf,6453ce136c5c72538d820acd,2023-05-04_17h25.12.465,ga_syllabified_check,2022.2.5,Win32,60.11060351,,,,,,,,,,,,,,./stim/p08_syllable_1_faluduako_hit.wav,p08,faluduako,hit,fa-lu-duai-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,0.015567207,-0.3,1,0,0,3.5011,text_option_other,fa-lu-duai-ko,0,1,1,172,1
5cb63520029f810015b238f8,63f3cfca20052e4ae7554ebf,6453ce136c5c72538d820acd,2023-05-04_17h25.12.465,ga_syllabified_check,2022.2.5,Win32,60.11060351,,,,,,,,,,,,,,./stim/p06_syllable_1_flauro_hit.wav,p06,flauro,hit,fla-u-ro,flau-ro,fla-u-ro, ,0.422048569,-0.105555534,1,0,0,2.2014,text_option_2,,0,2,2,107,1
5cb63520029f810015b238f8,63f3cfca20052e4ae7554ebf,6453ce136c5c72538d820acd,2023-05-04_17h25.12.465,ga_syllabified_check,2022.2.5,Win32,60.11060351,,,,,,,,,,,,,,./stim/p08_syllable_1_lakakiaisto_hit.wav,p08,lakakiaisto,hit,la-ka-ki-jas-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,0.054456011,-0.29629631,1,0,0,4.8517,text_option_other,la-ka-kias-to,0,3,3,184,1
5cb63520029f810015b238f8,63f3cfca20052e4ae7554ebf,6453ce136c5c72538d820acd,2023-05-04_17h25.12.465,ga_syllabified_check,2022.2.5,Win32,60.11060351,,,,,,,,,,,,,,./stim/p08_syllable_1_rausto_hit.wav,p08,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.377951399,-0.089814822,1,0,0,1.5174,text_option_1,,0,4,4,201,1
