participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5ce7bd64a6f1d500164b6da6,63f3cfca20052e4ae7554ebf,6453cb8a04a75604074135f6,2023-05-04_17h15.00.324,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ce7bd64a6f1d500164b6da6,63f3cfca20052e4ae7554ebf,6453cb8a04a75604074135f6,2023-05-04_17h15.00.324,ga_syllabified_check,2022.2.5,Win32,60.0240096,-0.362037037,-0.085185185,1,0,0,4.533,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ce7bd64a6f1d500164b6da6,63f3cfca20052e4ae7554ebf,6453cb8a04a75604074135f6,2023-05-04_17h15.00.324,ga_syllabified_check,2022.2.5,Win32,60.0240096,-0.386111111,-0.110185185,1,0,0,1.933,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5ce7bd64a6f1d500164b6da6,63f3cfca20052e4ae7554ebf,6453cb8a04a75604074135f6,2023-05-04_17h15.00.324,ga_syllabified_check,2022.2.5,Win32,60.0240096,-0.361111111,-0.111111111,1,0,0,3.217,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ce7bd64a6f1d500164b6da6,63f3cfca20052e4ae7554ebf,6453cb8a04a75604074135f6,2023-05-04_17h15.00.324,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ce7bd64a6f1d500164b6da6,63f3cfca20052e4ae7554ebf,6453cb8a04a75604074135f6,2023-05-04_17h15.00.324,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p08_syllable_1_nhiape_hit.wav,p08,ñiape,hit,ni-a-pe,ñia-pe,ñi-a-pe, ,0.397222222,-0.112962963,1,0,0,3.517,text_option_2,,0,0,0,193,1
5ce7bd64a6f1d500164b6da6,63f3cfca20052e4ae7554ebf,6453cb8a04a75604074135f6,2023-05-04_17h15.00.324,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p08_syllable_1_lliape_hit.wav,p08,lliape,hit,li-a-pe,llia-pe,lli-a-pe, ,0.426851852,-0.112037037,1,0,0,1.866,text_option_2,,0,1,1,190,1
5ce7bd64a6f1d500164b6da6,63f3cfca20052e4ae7554ebf,6453cb8a04a75604074135f6,2023-05-04_17h15.00.324,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p04_syllable_1_falufaisto_hit.wav,p04,falufaisto,hit,fa-lu-fais-to,fa-lu-fais-to,fa-lu-fa-is-to, ,-0.37037037,-0.118518519,1,0,0,2.868,text_option_1,,0,2,2,37,1
5ce7bd64a6f1d500164b6da6,63f3cfca20052e4ae7554ebf,6453cb8a04a75604074135f6,2023-05-04_17h15.00.324,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p03_syllable_1_lakadiaisto_hit.wav,p03,lakadiaisto,hit,la-ka-diais-to,la-ka-diais-to,la-ka-di-ais-to,la-ka-dia-is-to,-0.368518519,-0.093518519,1,0,0,3.517,text_option_1,,0,3,3,8,1
5ce7bd64a6f1d500164b6da6,63f3cfca20052e4ae7554ebf,6453cb8a04a75604074135f6,2023-05-04_17h15.00.324,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p06_syllable_1_tuliafo_hit.wav,p06,tuliafo,hit,tu-li-a-fo,tu-lia-fo,tu-li-a-fo, ,0.431481481,-0.110185185,1,0,0,2.467,text_option_2,,0,4,4,135,1
