participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,-0.39453125,-0.110677083,1,0,0,8.6944,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,-0.39453125,-0.110677083,1,0,0,4.666,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,-0.41015625,-0.10546875,1,0,0,12.5894,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p03_syllable_1_paluguato_hit.wav,p03,paluguato,hit,pa-lu-gua,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.42578125,-0.10546875,1,0,0,3.1564,text_option_1,,0,0,0,27,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p05_syllable_1_nhiape_hit.wav,p05,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,-0.42578125,-0.10546875,1,0,0,2.1889,text_option_1,,0,1,1,91,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p04_syllable_1_chiaba_hit.wav,p04,chiaba,hit,chia-ba,chia-ba,chi-a-ba, ,-0.42578125,-0.10546875,1,0,0,1.1046,text_option_1,,0,2,2,34,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p04_syllable_1_lakafuaisto_hit.wav,p04,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.42578125,-0.10546875,1,0,0,1.4626,text_option_1,,0,3,3,45,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p04_syllable_1_flauro_hit.wav,p04,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.42578125,-0.10546875,1,0,0,0.7014,text_option_1,,0,4,4,39,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p03_syllable_1_lakafuaisto_hit.wav,p03,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.42578125,-0.10546875,1,0,0,3.472,text_option_1,,0,5,5,11,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p08_syllable_1_lakaduaisto_hit.wav,p08,lakaduaisto,hit,la-ka-du-ais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,0.455729167,-0.115885417,1,0,0,3.5734,text_option_2,,0,6,6,179,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p06_syllable_1_lakagiaisto_hit.wav,p06,lakagiaisto,hit,la-ka-gia-is-to,la-ka-giais-to,la-ka-gi-ais-to,la-ka-gia-is-to,0.03515625,-0.122395833,1,0,0,4.6888,text_option_3,,0,7,7,114,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p05_syllable_1_lakafuaisto_hit.wav,p05,lakafuaisto,hit,la-ka-fais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.013020833,-0.298177083,1,0,0,2.987,text_option_other,laka-fais-to,0,8,8,79,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p04_syllable_1_lakabuaisto_hit.wav,p04,lakabuaisto,hit,la-ka-buais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,-0.40625,-0.096354167,1,0,0,4.9284,text_option_1,,0,9,9,41,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p06_syllable_1_lakakiaisto_hit.wav,p06,lakakiaisto,hit,la-ka-kia-is-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,0.036458333,-0.1171875,1,0,0,6.2815,text_option_3,,0,10,10,116,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p05_syllable_1_lliape_hit.wav,p05,lliape,hit,liai-pe,llia-pe,lli-a-pe, ,0.0078125,-0.30078125,1,0,0,3.7982,text_option_other,lliai-pe,0,11,11,88,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p04_syllable_1_ruyiola_hit.wav,p04,ruyiola,hit,ru-yio-la,ru-yio-la,ru-yi-o-la, ,-0.37109375,-0.115885417,1,0,0,1.5323,text_option_1,,0,12,12,66,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p06_syllable_1_lakaguaisto_hit.wav,p06,lakaguaisto,hit,la-ka-gu-a-is,la-ka-guais-to,la-ka-gu-ais-to,la-ka-gua-is-to,0.044270833,-0.3046875,1,0,0,6.2458,text_option_other,la-ka-gu-a-is-to,0,13,13,115,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p08_syllable_1_lakafiaisto_hit.wav,p08,lakafiaisto,hit,la-ka-fi-as-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,0.055989583,-0.295572917,1,0,0,7.5593,text_option_other,la-ka-fias-to,0,14,14,180,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p05_syllable_1_palufauto_hit.wav,p05,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.38671875,-0.114583333,1,0,0,2.0075,text_option_1,,0,15,15,94,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p03_syllable_1_lakakiaisto_hit.wav,p03,lakakiaisto,hit,la-ka-kiais-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,-0.450520833,-0.09375,1,0,0,2.1402,text_option_1,,0,16,16,14,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p04_syllable_1_nhiape_hit.wav,p04,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,-0.38671875,-0.100260417,1,0,0,1.9952,text_option_1,,0,17,17,57,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p05_syllable_1_lakabuaisto_hit.wav,p05,lakabuaisto,hit,la-ka-buais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,-0.34765625,-0.108072917,1,0,0,1.8548,text_option_1,,0,18,18,75,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p07_syllable_1_palufauto_hit.wav,p07,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.373697917,-0.088541667,1,0,0,2.0698,text_option_1,,0,19,19,162,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p03_syllable_1_lakabuaisto_hit.wav,p03,lakabuaisto,hit,la-ka-buais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,-0.33984375,-0.104166667,1,0,0,1.9021,text_option_1,,0,20,20,7,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p03_syllable_1_ruyiola_hit.wav,p03,ruyiola,hit,ru-yio-la,ru-yio-la,ru-yi-o-la, ,-0.41015625,-0.11328125,1,0,0,0.9443,text_option_1,,0,21,21,32,1
5d1547d9db7eb7001af1a436,63f3cfca20052e4ae7554ebf,6453cd621d3994c973661a52,2023-05-04_17h22.23.235,ga_syllabified_check,2022.2.5,Win32,20.00640205,,,,,,,,,,,,,,./stim/p08_syllable_1_nhiape_hit.wav,p08,ñiape,hit,ni-a-pe,ñia-pe,ñi-a-pe, ,-0.026041667,-0.303385417,1,0,0,2.3989,text_option_other,ni-a-pe,0,22,22,193,1
