participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5d5a7d896c04b2001a1edff8,63f3cfca20052e4ae7554ebf,6453ca62ea5aec566f0ac32d,2023-05-04_17h09.24.236,ga_syllabified_check,2022.2.5,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5a7d896c04b2001a1edff8,63f3cfca20052e4ae7554ebf,6453ca62ea5aec566f0ac32d,2023-05-04_17h09.24.236,ga_syllabified_check,2022.2.5,Win32,60.07810153,-0.393229167,-0.1015625,1,0,0,4.6921,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5d5a7d896c04b2001a1edff8,63f3cfca20052e4ae7554ebf,6453ca62ea5aec566f0ac32d,2023-05-04_17h09.24.236,ga_syllabified_check,2022.2.5,Win32,60.07810153,-0.430989583,-0.114583333,1,0,0,3.2196,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5d5a7d896c04b2001a1edff8,63f3cfca20052e4ae7554ebf,6453ca62ea5aec566f0ac32d,2023-05-04_17h09.24.236,ga_syllabified_check,2022.2.5,Win32,60.07810153,-0.43359375,-0.109375,1,0,0,10.9465,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5d5a7d896c04b2001a1edff8,63f3cfca20052e4ae7554ebf,6453ca62ea5aec566f0ac32d,2023-05-04_17h09.24.236,ga_syllabified_check,2022.2.5,Win32,60.07810153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5a7d896c04b2001a1edff8,63f3cfca20052e4ae7554ebf,6453ca62ea5aec566f0ac32d,2023-05-04_17h09.24.236,ga_syllabified_check,2022.2.5,Win32,60.07810153,,,,,,,,,,,,,,./stim/p05_syllable_1_faluduako_hit.wav,p05,faluduako,hit,fa-lu-ba-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,0.477864583,-0.109375,1,0,0,8.1484,text_option_2,,0,0,0,70,1
5d5a7d896c04b2001a1edff8,63f3cfca20052e4ae7554ebf,6453ca62ea5aec566f0ac32d,2023-05-04_17h09.24.236,ga_syllabified_check,2022.2.5,Win32,60.07810153,,,,,,,,,,,,,,./stim/p07_syllable_1_lakadiaisto_hit.wav,p07,lakadiaisto,hit,la-ka-dia-is-to,la-ka-diais-to,la-ka-di-ais-to,la-ka-dia-is-to,0.05859375,-0.102864583,1,0,0,3.8153,text_option_3,,0,1,1,144,1
5d5a7d896c04b2001a1edff8,63f3cfca20052e4ae7554ebf,6453ca62ea5aec566f0ac32d,2023-05-04_17h09.24.236,ga_syllabified_check,2022.2.5,Win32,60.07810153,,,,,,,,,,,,,,./stim/p04_syllable_1_tuliafo_hit.wav,p04,tuliafo,hit,tu-lia-fo,tu-lia-fo,tu-li-a-fo, ,-0.399739583,-0.108072917,1,0,0,2.1991,text_option_1,,0,2,2,67,1
5d5a7d896c04b2001a1edff8,63f3cfca20052e4ae7554ebf,6453ca62ea5aec566f0ac32d,2023-05-04_17h09.24.236,ga_syllabified_check,2022.2.5,Win32,60.07810153,,,,,,,,,,,,,,./stim/p08_syllable_1_falutraigo_hit.wav,p08,falutraigo,hit,fa-lu-trai-go,fa-lu-trai-go,fa-lu-tra-i-go, ,-0.354166667,-0.100260417,1,0,0,4.7175,text_option_1,,0,3,3,174,1
5d5a7d896c04b2001a1edff8,63f3cfca20052e4ae7554ebf,6453ca62ea5aec566f0ac32d,2023-05-04_17h09.24.236,ga_syllabified_check,2022.2.5,Win32,60.07810153,,,,,,,,,,,,,,./stim/p05_syllable_1_nhiape_hit.wav,p05,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,-0.404947917,-0.106770833,1,0,0,1.6589,text_option_1,,0,4,4,91,1
