participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,-0.392592593,-0.109259259,1,0,0,2.1503,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,-0.392592593,-0.109259259,1,0,0,1.2833,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,0.414814815,-0.12037037,1,0,0,4.0672,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p06_syllable_1_manhiala_hit.wav,p06,mañiala,hit,ma-nhi-a-la,ma-ñia-la,ma-ñi-a-la, ,0.410185185,-0.096296296,1,0,0,3.0841,text_option_2,,0,0,0,123,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p07_syllable_1_faluduako_hit.wav,p07,faluduako,hit,fa-lu-dua-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.384259259,-0.097222222,1,0,0,3.534,text_option_1,,0,1,1,138,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p05_syllable_1_palufauto_hit.wav,p05,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.384259259,-0.097222222,1,0,0,3.1342,text_option_1,,0,2,2,94,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p03_syllable_1_lakabiaisto_hit.wav,p03,lakabiaisto,hit,la-ka-biais-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.406481481,-0.105555556,1,0,0,4.4009,text_option_1,,0,3,3,6,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p07_syllable_1_tuliafo_hit.wav,p07,tuliafo,hit,tu-lia-fo,tu-lia-fo,tu-li-a-fo, ,-0.406481481,-0.105555556,1,0,0,2.0538,text_option_1,,0,4,4,169,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p06_syllable_1_lakatiaisto_hit.wav,p06,lakatiaisto,hit,la-ka-pia-is-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,-0.006481481,-0.099074074,1,0,0,5.6011,text_option_3,,0,5,5,120,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p06_syllable_1_palufauro_hit.wav,p06,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,0.416666667,-0.102777778,1,0,0,5.2005,text_option_2,,0,6,6,127,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p08_syllable_1_lakatuaisto_hit.wav,p08,lakatuaisto,hit,la-ka-tu-i-jis,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,-0.007407407,-0.1,1,0,0,6.3847,text_option_3,,0,7,7,189,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p08_syllable_1_lliape_hit.wav,p08,lliape,hit,li-a-pe,llia-pe,lli-a-pe, ,-0.397222222,-0.087037037,1,0,0,2.3972,text_option_1,,0,8,8,190,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p08_syllable_1_palufauro_hit.wav,p08,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.407407407,-0.107407407,1,0,0,3.8669,text_option_1,,0,9,9,195,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p08_syllable_1_lakafiaisto_hit.wav,p08,lakafiaisto,hit,la-ka-fi-as-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,-0.356481481,-0.10462963,1,0,0,4.6672,text_option_1,,0,10,10,180,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p07_syllable_1_lakatiaisto_hit.wav,p07,lakatiaisto,hit,la-ka-tiai-sto,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,-0.387037037,-0.107407407,1,0,0,4.6838,text_option_1,,0,11,11,154,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p05_syllable_1_paluguato_hit.wav,p05,paluguato,hit,pa-lu-gau-to,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.428703704,-0.094444444,1,0,0,2.7337,text_option_1,,0,12,12,95,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p05_syllable_1_palufauro_hit.wav,p05,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.377777778,-0.097222222,1,0,0,2.3502,text_option_1,,0,13,13,93,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p05_syllable_1_lakabiaisto_hit.wav,p05,lakabiaisto,hit,la-ka-bi-ais-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.037037037,-0.100925926,1,0,0,5.7676,text_option_3,,0,14,14,74,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p07_syllable_1_falufaisto_hit.wav,p07,falufaisto,hit,fa-lu-fais-to,fa-lu-fais-to,fa-lu-fa-is-to, ,-0.396296296,-0.09537037,1,0,0,2.8206,text_option_1,,0,15,15,139,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p03_syllable_1_ruyiola_hit.wav,p03,ruyiola,hit,ru-yio-la,ru-yio-la,ru-yi-o-la, ,-0.396296296,-0.10462963,1,0,0,1.6843,text_option_1,,0,16,16,32,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p05_syllable_1_pachialo_hit.wav,p05,pachialo,hit,pan-chia-lo,pa-chia-lo,pa-chi-a-lo, ,-0.397222222,-0.097222222,1,0,0,1.5675,text_option_1,,0,17,17,92,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p03_syllable_1_palufauto_hit.wav,p03,palufauto,hit,pa-lu-fau,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.390740741,-0.10462963,1,0,0,3.1,text_option_1,,0,18,18,26,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p03_syllable_1_lakaduaisto_hit.wav,p03,lakaduaisto,hit,la-ka-duais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.393518519,-0.096296296,1,0,0,2.6837,text_option_1,,0,19,19,9,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p05_syllable_1_lakapuaisto_hit.wav,p05,lakapuaisto,hit,la-ka-pais-to,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,-0.342592593,-0.103703704,1,0,0,6.2342,text_option_1,,0,20,20,85,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p07_syllable_1_lakafuaisto_hit.wav,p07,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.365740741,-0.099074074,1,0,0,3.134,text_option_1,,0,21,21,147,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p04_syllable_1_mebochiana_hit.wav,p04,mebochiana,hit,me-bo-chia-na,me-bo-chia-na,me-bo-chi-a-na, ,-0.375,-0.09537037,1,0,0,2.9175,text_option_1,,0,22,22,56,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p04_syllable_1_lakakiaisto_hit.wav,p04,lakakiaisto,hit,la-ka-kiais-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,-0.340740741,-0.099074074,1,0,0,2.3171,text_option_1,,0,23,23,48,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p07_syllable_1_lakakuaisto_hit.wav,p07,lakakuaisto,hit,la-ka-kuais-to,la-ka-kuais-to,la-ka-ku-ais-to,la-ka-kua-is-to,-0.390740741,-0.099074074,1,0,0,3.1203,text_option_1,,0,24,24,151,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p04_syllable_1_palutrauco_hit.wav,p04,palutrauco,hit,pa-lu-trau-co,pa-lu-trau-co,pa-lu-tra-u-co, ,-0.405555556,-0.101851852,1,0,0,2.1666,text_option_1,,0,25,25,63,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p06_syllable_1_falutraigo_hit.wav,p06,falutraigo,hit,fa-lu-tra-i-go,fa-lu-trai-go,fa-lu-tra-i-go, ,0.400925926,-0.105555556,1,0,0,4.8344,text_option_2,,0,26,26,106,1
5e13814a1e2e589ca3a4aec2,63f3cfca20052e4ae7554ebf,6453cbc5ffd1e27fda820a93,2023-05-04_17h15.31.063,ga_syllabified_check,2022.2.5,Win32,60.26637739,,,,,,,,,,,,,,./stim/p03_syllable_1_flauro_hit.wav,p03,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.402777778,-0.100925926,1,0,0,1.2833,text_option_1,,0,27,27,5,1
