participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,-0.009605123,-0.303628602,1,0,0,3.25,text_option_other_practice,liamo,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,-0.388473853,-0.099786553,1,0,0,2.2002,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,0.37886873,-0.092315902,1,0,0,1.85,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p07_syllable_1_lakapuaisto_hit.wav,p07,lakapuaisto,hit,la-ka-puais-to,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,-0.302027748,-0.098719317,1,0,0,3.3678,text_option_1,,0,0,0,153,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p04_syllable_1_manhiala_hit.wav,p04,mañiala,hit,ma-nhia-la,ma-ñia-la,ma-ñi-a-la, ,-0.389541089,-0.093383138,1,0,0,1.8999,text_option_1,,0,1,1,55,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p06_syllable_1_lakakiaisto_hit.wav,p06,lakakiaisto,hit,la-ka-kia-is-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,-0.016008538,-0.100853789,1,0,0,5.75,text_option_3,,0,2,2,116,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p06_syllable_1_falufaisto_hit.wav,p06,falufaisto,hit,fa-lu-fa-is-to,fa-lu-fais-to,fa-lu-fa-is-to, ,0.379935966,-0.111526147,1,0,0,2.7334,text_option_2,,0,3,3,105,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p05_syllable_1_nhiape_hit.wav,p05,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,-0.388473853,-0.10298826,1,0,0,1.4164,text_option_1,,0,4,4,91,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p07_syllable_1_lakafuaisto_hit.wav,p07,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.353255069,-0.101921025,1,0,0,3.3332,text_option_1,,0,5,5,147,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p07_syllable_1_pachialo_hit.wav,p07,pachialo,hit,pa-cha-lo,pa-chia-lo,pa-chi-a-lo, ,-0.340448239,-0.095517609,1,0,0,1.5499,text_option_1,,0,6,6,160,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p05_syllable_1_lakaduaisto_hit.wav,p05,lakaduaisto,hit,la-ka-dais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.026680896,-0.306830309,1,0,0,3.5,text_option_other,la-ka-dais-to,0,7,7,77,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p05_syllable_1_tuliafo_hit.wav,p05,tuliafo,hit,tu-lai-fo,tu-lia-fo,tu-li-a-fo, ,-0.002134472,-0.296157951,1,0,0,3.8999,text_option_other,tu-lai-fo,0,8,8,101,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p03_syllable_1_lakakuaisto_hit.wav,p03,lakakuaisto,hit,la-ka-kuais-to,la-ka-kuais-to,la-ka-ku-ais-to,la-ka-kua-is-to,-0.355389541,-0.10298826,1,0,0,1.5001,text_option_1,,0,9,9,15,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p03_syllable_1_pachialo_hit.wav,p03,pachialo,hit,pa-chia-lo,pa-chia-lo,pa-chi-a-lo, ,-0.355389541,-0.10298826,1,0,0,1.0168,text_option_1,,0,10,10,24,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p06_syllable_1_lakatiaisto_hit.wav,p06,lakatiaisto,hit,la-ka-pia-is-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,0.080042689,-0.104055496,1,0,0,3.1335,text_option_3,,0,11,11,120,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p08_syllable_1_lakatiaisto_hit.wav,p08,lakatiaisto,hit,la-ka-ti-as-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,0.080042689,-0.104055496,1,0,0,0.0336,text_option_3,,0,12,12,188,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p08_syllable_1_chiaba_hit.wav,p08,chiaba,hit,chi-a-ba,chia-ba,chi-a-ba, ,0.399146211,-0.094450374,1,0,0,0.8166,text_option_2,,0,13,13,170,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p06_syllable_1_lakapiaisto_hit.wav,p06,lakapiaisto,hit,la-ka-pia-is-to,la-ka-piais-to,la-ka-pi-ais-to,la-ka-pia-is-to,0.052294557,-0.114727855,1,0,0,4.9492,text_option_3,,0,14,14,118,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p08_syllable_1_lakatuaisto_hit.wav,p08,lakatuaisto,hit,la-ka-tu-i-jis,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,0.06189968,-0.310032017,1,0,0,4.1341,text_option_other,la-ka-tuis-to,0,15,15,189,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p08_syllable_1_nhiape_hit.wav,p08,ñiape,hit,ni-a-pe,ñia-pe,ñi-a-pe, ,0.390608324,-0.10298826,1,0,0,2.7444,text_option_2,,0,16,16,193,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p06_syllable_1_lakafiaisto_hit.wav,p06,lakafiaisto,hit,la-ka-fia-is-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,0.040554963,-0.100853789,1,0,0,3.2,text_option_3,,0,17,17,112,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p05_syllable_1_lakabuaisto_hit.wav,p05,lakabuaisto,hit,la-ka-buais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,-0.357524013,-0.09018143,1,0,0,1.826,text_option_1,,0,18,18,75,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p07_syllable_1_palufauro_hit.wav,p07,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.330843116,-0.10298826,1,0,0,1.6471,text_option_1,,0,19,19,161,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p08_syllable_1_flauro_hit.wav,p08,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.398078975,-0.091248666,1,0,0,1.5833,text_option_1,,0,20,20,175,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p08_syllable_1_lliape_hit.wav,p08,lliape,hit,li-a-pe,llia-pe,lli-a-pe, ,0.374599787,-0.10832444,1,0,0,0.8842,text_option_2,,0,21,21,190,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p08_syllable_1_lakapuaisto_hit.wav,p08,lakapuaisto,hit,la-ka-pu-as-to,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,0.37886873,-0.092315902,1,0,0,3.4404,text_option_2,,0,22,22,187,1
5e945bd5f0329801e7cebca0,63f3cfca20052e4ae7554ebf,6453cb6c75003cb60abb95aa,2023-05-04_17h12.54.756,ga_syllabified_check,2022.2.5,Win32,59.53798523,,,,,,,,,,,,,,./stim/p08_syllable_1_falutraigo_hit.wav,p08,falutraigo,hit,fa-lu-trai-go,fa-lu-trai-go,fa-lu-tra-i-go, ,-0.376734258,-0.109391676,1,0,0,2.3164,text_option_1,,0,23,23,174,1
