participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,-0.396990741,-0.099537037,1,0,0,1.985,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,-0.392361111,-0.087962963,1,0,0,2.298,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,0.390046296,-0.100694444,1,0,0,2.084,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p04_syllable_1_faluduako_hit.wav,p04,faluduako,hit,fa-lu-dua-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,0.358796296,-0.114583333,1,0,0,2.05,text_option_2,,0,0,0,36,1
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p05_syllable_1_lakatiaisto_hit.wav,p05,lakatiaisto,hit,la-ka-ti-ais-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,-0.368055556,-0.103009259,1,0,0,3.438,text_option_1,,0,1,1,86,1
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p05_syllable_1_payielo_hit.wav,p05,payielo,hit,pai-yu-we-lo,pa-yie-lo,pa-yi-e-lo, ,-0.436342593,-0.104166667,1,0,0,1.5,text_option_1,,0,2,2,98,1
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p03_syllable_1_pachialo_hit.wav,p03,pachialo,hit,pa-chia-lo,pa-chia-lo,pa-chi-a-lo, ,-0.361111111,-0.104166667,1,0,0,2.266,text_option_1,,0,3,3,24,1
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p03_syllable_1_lakaguaisto_hit.wav,p03,lakaguaisto,hit,la-ka-guais-to,la-ka-guais-to,la-ka-gu-ais-to,la-ka-gua-is-to,-0.336805556,-0.116898148,1,0,0,4.25,text_option_1,,0,4,4,13,1
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p08_syllable_1_lakaduaisto_hit.wav,p08,lakaduaisto,hit,la-ka-du-ais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,0.425925926,-0.090277778,1,0,0,6.349,text_option_2,,0,5,5,179,1
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p05_syllable_1_paluguato_hit.wav,p05,paluguato,hit,pa-lu-gau-to,pa-lu-gua-to,pa-lu-gu-a-to, ,0.424768519,-0.105324074,1,0,0,2.567,text_option_2,,0,6,6,95,1
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p07_syllable_1_chiaba_hit.wav,p07,chiaba,hit,chia-ba,chia-ba,chi-a-ba, ,-0.405092593,-0.097222222,1,0,0,1.269,text_option_1,,0,7,7,136,1
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p08_syllable_1_costonhialo_hit.wav,p08,costoñialo,hit,cos-to-nhia-lo,cos-to-ñia-lo,cos-to-ñi-a-lo, ,0.34837963,-0.108796296,1,0,0,5.034,text_option_2,,0,8,8,171,1
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p03_syllable_1_lakapuaisto_hit.wav,p03,lakapuaisto,hit,la-ka-puais-to,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,-0.377314815,-0.106481481,1,0,0,3.416,text_option_1,,0,9,9,17,1
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p05_syllable_1_lakapiaisto_hit.wav,p05,lakapiaisto,hit,la-ka-pais-to,la-ka-piais-to,la-ka-pi-ais-to,la-ka-pia-is-to,-0.390046296,-0.104166667,1,0,0,3.716,text_option_1,,0,10,10,84,1
5ecee03e0e92803029b7ad82,63f3cfca20052e4ae7554ebf,6453ce14af80da1c6dc1254d,2023-05-04_17h25.11.678,ga_syllabified_check,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,./stim/p07_syllable_1_lakatuaisto_hit.wav,p07,lakatuaisto,hit,la-ka-tuais-to,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,-0.368055556,-0.09375,1,0,0,4.966,text_option_1,,0,11,11,155,1
