participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5edc3d681a69d49159555f91,63f3cfca20052e4ae7554ebf,6453c8bcf8c4b545c8bf14ef,2023-05-04_17h01.52.960,ga_syllabified_check,2022.2.5,Win32,60.88280061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5edc3d681a69d49159555f91,63f3cfca20052e4ae7554ebf,6453c8bcf8c4b545c8bf14ef,2023-05-04_17h01.52.960,ga_syllabified_check,2022.2.5,Win32,60.88280061,-0.412210655,-0.1,1,0,0,2.3663,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5edc3d681a69d49159555f91,63f3cfca20052e4ae7554ebf,6453c8bcf8c4b545c8bf14ef,2023-05-04_17h01.52.960,ga_syllabified_check,2022.2.5,Win32,60.88280061,-0.3890625,-0.108333397,1,0,0,0.8999,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5edc3d681a69d49159555f91,63f3cfca20052e4ae7554ebf,6453c8bcf8c4b545c8bf14ef,2023-05-04_17h01.52.960,ga_syllabified_check,2022.2.5,Win32,60.88280061,-0.3890625,-0.108333397,1,0,0,2.3009,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5edc3d681a69d49159555f91,63f3cfca20052e4ae7554ebf,6453c8bcf8c4b545c8bf14ef,2023-05-04_17h01.52.960,ga_syllabified_check,2022.2.5,Win32,60.88280061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5edc3d681a69d49159555f91,63f3cfca20052e4ae7554ebf,6453c8bcf8c4b545c8bf14ef,2023-05-04_17h01.52.960,ga_syllabified_check,2022.2.5,Win32,60.88280061,,,,,,,,,,,,,,./stim/p07_syllable_1_chiaba_hit.wav,p07,chiaba,hit,chia-ba,chia-ba,chi-a-ba, ,-0.418692112,-0.090740776,1,0,0,1.3627,text_option_1,,0,0,0,136,1
5edc3d681a69d49159555f91,63f3cfca20052e4ae7554ebf,6453c8bcf8c4b545c8bf14ef,2023-05-04_17h01.52.960,ga_syllabified_check,2022.2.5,Win32,60.88280061,,,,,,,,,,,,,,./stim/p04_syllable_1_faluduako_hit.wav,p04,faluduako,hit,fa-lu-dua-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.452951368,-0.09629631,1,0,0,2.6826,text_option_1,,0,1,1,36,1
5edc3d681a69d49159555f91,63f3cfca20052e4ae7554ebf,6453c8bcf8c4b545c8bf14ef,2023-05-04_17h01.52.960,ga_syllabified_check,2022.2.5,Win32,60.88280061,,,,,,,,,,,,,,./stim/p05_syllable_1_rausto_hit.wav,p05,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.377025445,-0.107407443,1,0,0,1.6843,text_option_1,,0,2,2,99,1
5edc3d681a69d49159555f91,63f3cfca20052e4ae7554ebf,6453c8bcf8c4b545c8bf14ef,2023-05-04_17h01.52.960,ga_syllabified_check,2022.2.5,Win32,60.88280061,,,,,,,,,,,,,,./stim/p05_syllable_1_tuliafo_hit.wav,p05,tuliafo,hit,tu-lai-fo,tu-lia-fo,tu-li-a-fo, ,0.026678276,-0.308333333,1,0,0,3.9331,text_option_other,tulaifo,0,3,3,101,1
5edc3d681a69d49159555f91,63f3cfca20052e4ae7554ebf,6453c8bcf8c4b545c8bf14ef,2023-05-04_17h01.52.960,ga_syllabified_check,2022.2.5,Win32,60.88280061,,,,,,,,,,,,,,./stim/p03_syllable_1_lakabuaisto_hit.wav,p03,lakabuaisto,hit,la-ka-buais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,-0.377951399,-0.097222201,1,0,0,3.2838,text_option_1,,0,4,4,7,1
5edc3d681a69d49159555f91,63f3cfca20052e4ae7554ebf,6453c8bcf8c4b545c8bf14ef,2023-05-04_17h01.52.960,ga_syllabified_check,2022.2.5,Win32,60.88280061,,,,,,,,,,,,,,./stim/p04_syllable_1_nhiape_hit.wav,p04,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,-0.409432856,-0.105555534,1,0,0,1.4254,text_option_1,,0,5,5,57,1
