participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5ef5f63c7aa58727ac4f8588,63f3cfca20052e4ae7554ebf,6453d22f1c1fcffb56f95060,2023-05-04_17h56.16.764,ga_syllabified_check,2022.2.5,Win32,60.09615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ef5f63c7aa58727ac4f8588,63f3cfca20052e4ae7554ebf,6453d22f1c1fcffb56f95060,2023-05-04_17h56.16.764,ga_syllabified_check,2022.2.5,Win32,60.09615385,-0.38703703,-0.101851852,1,0,0,3.3161,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ef5f63c7aa58727ac4f8588,63f3cfca20052e4ae7554ebf,6453d22f1c1fcffb56f95060,2023-05-04_17h56.16.764,ga_syllabified_check,2022.2.5,Win32,60.09615385,-0.384259259,-0.103703746,1,0,0,1.7823,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5ef5f63c7aa58727ac4f8588,63f3cfca20052e4ae7554ebf,6453d22f1c1fcffb56f95060,2023-05-04_17h56.16.764,ga_syllabified_check,2022.2.5,Win32,60.09615385,0.393518519,-0.104629658,1,0,0,3.1988,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5ef5f63c7aa58727ac4f8588,63f3cfca20052e4ae7554ebf,6453d22f1c1fcffb56f95060,2023-05-04_17h56.16.764,ga_syllabified_check,2022.2.5,Win32,60.09615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ef5f63c7aa58727ac4f8588,63f3cfca20052e4ae7554ebf,6453d22f1c1fcffb56f95060,2023-05-04_17h56.16.764,ga_syllabified_check,2022.2.5,Win32,60.09615385,,,,,,,,,,,,,,./stim/p05_syllable_1_lakakuaisto_hit.wav,p05,lakakuaisto,hit,la-ka-kais-to,la-ka-kuais-to,la-ka-ku-ais-to,la-ka-kua-is-to,-0.387962942,-0.098148134,1,0,0,5.3147,text_option_1,,0,0,0,83,1
5ef5f63c7aa58727ac4f8588,63f3cfca20052e4ae7554ebf,6453d22f1c1fcffb56f95060,2023-05-04_17h56.16.764,ga_syllabified_check,2022.2.5,Win32,60.09615385,,,,,,,,,,,,,,./stim/p03_syllable_1_lakaguaisto_hit.wav,p03,lakaguaisto,hit,la-ka-guais-to,la-ka-guais-to,la-ka-gu-ais-to,la-ka-gua-is-to,-0.368518511,-0.101851852,1,0,0,3.1158,text_option_1,,0,1,1,13,1
5ef5f63c7aa58727ac4f8588,63f3cfca20052e4ae7554ebf,6453d22f1c1fcffb56f95060,2023-05-04_17h56.16.764,ga_syllabified_check,2022.2.5,Win32,60.09615385,,,,,,,,,,,,,,./stim/p03_syllable_1_faluduako_hit.wav,p03,faluduako,hit,fa-lu-dua-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.362037023,-0.104629658,1,0,0,2.2658,text_option_1,,0,2,2,2,1
5ef5f63c7aa58727ac4f8588,63f3cfca20052e4ae7554ebf,6453d22f1c1fcffb56f95060,2023-05-04_17h56.16.764,ga_syllabified_check,2022.2.5,Win32,60.09615385,,,,,,,,,,,,,,./stim/p08_syllable_1_lakatuaisto_hit.wav,p08,lakatuaisto,hit,la-ka-tu-i-jis,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,0.054629644,-0.306481467,1,0,0,8.5426,text_option_other,la-ka-tuis-to,0,3,3,189,1
5ef5f63c7aa58727ac4f8588,63f3cfca20052e4ae7554ebf,6453d22f1c1fcffb56f95060,2023-05-04_17h56.16.764,ga_syllabified_check,2022.2.5,Win32,60.09615385,,,,,,,,,,,,,,./stim/p04_syllable_1_lakatiaisto_hit.wav,p04,lakatiaisto,hit,la-ka-kiais-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,-0.353703711,-0.10555557,1,0,0,3.6319,text_option_1,,0,4,4,52,1
