participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5f1ff0f7027b2823badd501b,63f3cfca20052e4ae7554ebf,6453c8cb7516ae8532f95087,2023-05-04_17h07.17.939,ga_syllabified_check,2022.2.5,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f1ff0f7027b2823badd501b,63f3cfca20052e4ae7554ebf,6453c8cb7516ae8532f95087,2023-05-04_17h07.17.939,ga_syllabified_check,2022.2.5,Win32,60.23370678,-0.384259271,-0.108333333,1,0,0,9.3804,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f1ff0f7027b2823badd501b,63f3cfca20052e4ae7554ebf,6453c8cb7516ae8532f95087,2023-05-04_17h07.17.939,ga_syllabified_check,2022.2.5,Win32,60.23370678,-0.387962986,-0.103703681,1,0,0,7.9471,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5f1ff0f7027b2823badd501b,63f3cfca20052e4ae7554ebf,6453c8cb7516ae8532f95087,2023-05-04_17h07.17.939,ga_syllabified_check,2022.2.5,Win32,60.23370678,0.001851874,-0.302777846,1,0,0,5.2648,text_option_other_practice,i-lia-mo,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f1ff0f7027b2823badd501b,63f3cfca20052e4ae7554ebf,6453c8cb7516ae8532f95087,2023-05-04_17h07.17.939,ga_syllabified_check,2022.2.5,Win32,60.23370678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f1ff0f7027b2823badd501b,63f3cfca20052e4ae7554ebf,6453c8cb7516ae8532f95087,2023-05-04_17h07.17.939,ga_syllabified_check,2022.2.5,Win32,60.23370678,,,,,,,,,,,,,,./stim/p04_syllable_1_lakafiaisto_hit.wav,p04,lakafiaisto,hit,la-ka-fiais-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,0.004629652,-0.300925903,1,0,0,5.1323,text_option_other,la-ka-fiais,0,0,0,44,1
5f1ff0f7027b2823badd501b,63f3cfca20052e4ae7554ebf,6453c8cb7516ae8532f95087,2023-05-04_17h07.17.939,ga_syllabified_check,2022.2.5,Win32,60.23370678,,,,,,,,,,,,,,./stim/p07_syllable_1_lakafiaisto_hit.wav,p07,lakafiaisto,hit,la-ka-fiais-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,-0.385185208,-0.103703681,1,0,0,6.8554,text_option_1,,0,1,1,146,1
5f1ff0f7027b2823badd501b,63f3cfca20052e4ae7554ebf,6453c8cb7516ae8532f95087,2023-05-04_17h07.17.939,ga_syllabified_check,2022.2.5,Win32,60.23370678,,,,,,,,,,,,,,./stim/p08_syllable_1_pachialo_hit.wav,p08,pachialo,hit,pa-chi-ja-lo,pa-chia-lo,pa-chi-a-lo, ,0.399074029,-0.098148126,1,0,0,4.865,text_option_2,,0,2,2,194,1
5f1ff0f7027b2823badd501b,63f3cfca20052e4ae7554ebf,6453c8cb7516ae8532f95087,2023-05-04_17h07.17.939,ga_syllabified_check,2022.2.5,Win32,60.23370678,,,,,,,,,,,,,,./stim/p06_syllable_1_lakapuaisto_hit.wav,p06,lakapuaisto,hit,la-ka-pu-a-is,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,0.004629652,-0.305555623,1,0,0,8.8636,text_option_other,la-ka-pu-a-isto,0,3,3,119,1
5f1ff0f7027b2823badd501b,63f3cfca20052e4ae7554ebf,6453c8cb7516ae8532f95087,2023-05-04_17h07.17.939,ga_syllabified_check,2022.2.5,Win32,60.23370678,,,,,,,,,,,,,,./stim/p04_syllable_1_nhiape_hit.wav,p04,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,0.002777846,-0.301851874,1,0,0,4.3654,text_option_other,ñia,0,4,4,57,1
