participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5f22e7ae938d2d018633624a,63f3cfca20052e4ae7554ebf,6453c927dfb8ae149e5db2ca,2023-05-04_17h03.51.974,ga_syllabified_check,2022.2.5,Win32,29.79205148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f22e7ae938d2d018633624a,63f3cfca20052e4ae7554ebf,6453c927dfb8ae149e5db2ca,2023-05-04_17h03.51.974,ga_syllabified_check,2022.2.5,Win32,29.79205148,-0.420572917,-0.09375,1,0,0,2.0694,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f22e7ae938d2d018633624a,63f3cfca20052e4ae7554ebf,6453c927dfb8ae149e5db2ca,2023-05-04_17h03.51.974,ga_syllabified_check,2022.2.5,Win32,29.79205148,0.4140625,-0.110677083,1,0,0,2.8841,text_option_2_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5f22e7ae938d2d018633624a,63f3cfca20052e4ae7554ebf,6453c927dfb8ae149e5db2ca,2023-05-04_17h03.51.974,ga_syllabified_check,2022.2.5,Win32,29.79205148,0.4140625,-0.110677083,1,0,0,2.0869,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f22e7ae938d2d018633624a,63f3cfca20052e4ae7554ebf,6453c927dfb8ae149e5db2ca,2023-05-04_17h03.51.974,ga_syllabified_check,2022.2.5,Win32,29.79205148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f22e7ae938d2d018633624a,63f3cfca20052e4ae7554ebf,6453c927dfb8ae149e5db2ca,2023-05-04_17h03.51.974,ga_syllabified_check,2022.2.5,Win32,29.79205148,,,,,,,,,,,,,,./stim/p07_syllable_1_lakaduaisto_hit.wav,p07,lakaduaisto,hit,la-ka-duais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.376302083,-0.110677083,1,0,0,2.2189,text_option_1,,0,0,0,145,1
5f22e7ae938d2d018633624a,63f3cfca20052e4ae7554ebf,6453c927dfb8ae149e5db2ca,2023-05-04_17h03.51.974,ga_syllabified_check,2022.2.5,Win32,29.79205148,,,,,,,,,,,,,,./stim/p07_syllable_1_falutraigo_hit.wav,p07,falutraigo,hit,fa-lu-trai-go,fa-lu-trai-go,fa-lu-tra-i-go, ,-0.37890625,-0.108072917,1,0,0,3.0311,text_option_1,,0,1,1,140,1
5f22e7ae938d2d018633624a,63f3cfca20052e4ae7554ebf,6453c927dfb8ae149e5db2ca,2023-05-04_17h03.51.974,ga_syllabified_check,2022.2.5,Win32,29.79205148,,,,,,,,,,,,,,./stim/p04_syllable_1_tuliafo_hit.wav,p04,tuliafo,hit,tu-lia-fo,tu-lia-fo,tu-li-a-fo, ,-0.36328125,-0.100260417,1,0,0,1.8863,text_option_1,,0,2,2,67,1
5f22e7ae938d2d018633624a,63f3cfca20052e4ae7554ebf,6453c927dfb8ae149e5db2ca,2023-05-04_17h03.51.974,ga_syllabified_check,2022.2.5,Win32,29.79205148,,,,,,,,,,,,,,./stim/p03_syllable_1_manhiala_hit.wav,p03,mañiala,hit,ma-nhia-la,ma-ñia-la,ma-ñi-a-la, ,-0.372395833,-0.115885417,1,0,0,2.5321,text_option_1,,0,3,3,21,1
5f22e7ae938d2d018633624a,63f3cfca20052e4ae7554ebf,6453c927dfb8ae149e5db2ca,2023-05-04_17h03.51.974,ga_syllabified_check,2022.2.5,Win32,29.79205148,,,,,,,,,,,,,,./stim/p04_syllable_1_palufauto_hit.wav,p04,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.375,-0.115885417,1,0,0,3.79,text_option_1,,0,4,4,60,1
