participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5f3c8a006375d854f90d73a7,63f3cfca20052e4ae7554ebf,6453c890a1f7a57a5c1b3dc7,2023-05-04_17h00.49.945,ga_syllabified_check,2022.2.5,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f3c8a006375d854f90d73a7,63f3cfca20052e4ae7554ebf,6453c890a1f7a57a5c1b3dc7,2023-05-04_17h00.49.945,ga_syllabified_check,2022.2.5,Win32,58.82352941,-0.418518526,-0.10555557,1,0,0,3.283,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f3c8a006375d854f90d73a7,63f3cfca20052e4ae7554ebf,6453c890a1f7a57a5c1b3dc7,2023-05-04_17h00.49.945,ga_syllabified_check,2022.2.5,Win32,58.82352941,-0.359259252,-0.101851852,1,0,0,1.566,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5f3c8a006375d854f90d73a7,63f3cfca20052e4ae7554ebf,6453c890a1f7a57a5c1b3dc7,2023-05-04_17h00.49.945,ga_syllabified_check,2022.2.5,Win32,58.82352941,0.015740783,-0.297222208,1,0,0,5.033,text_option_other_practice,yi-amo,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f3c8a006375d854f90d73a7,63f3cfca20052e4ae7554ebf,6453c890a1f7a57a5c1b3dc7,2023-05-04_17h00.49.945,ga_syllabified_check,2022.2.5,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f3c8a006375d854f90d73a7,63f3cfca20052e4ae7554ebf,6453c890a1f7a57a5c1b3dc7,2023-05-04_17h00.49.945,ga_syllabified_check,2022.2.5,Win32,58.82352941,,,,,,,,,,,,,,./stim/p05_syllable_1_paluguato_hit.wav,p05,paluguato,hit,pa-lu-gau-to,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.068518533,-0.308333362,1,0,0,4.934,text_option_other,pa-lu-cau-to,0,0,0,95,1
5f3c8a006375d854f90d73a7,63f3cfca20052e4ae7554ebf,6453c890a1f7a57a5c1b3dc7,2023-05-04_17h00.49.945,ga_syllabified_check,2022.2.5,Win32,58.82352941,,,,,,,,,,,,,,./stim/p03_syllable_1_paluguato_hit.wav,p03,paluguato,hit,pa-lu-gua,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.380555541,-0.100000028,1,0,0,3.45,text_option_1,,0,1,1,27,1
5f3c8a006375d854f90d73a7,63f3cfca20052e4ae7554ebf,6453c890a1f7a57a5c1b3dc7,2023-05-04_17h00.49.945,ga_syllabified_check,2022.2.5,Win32,58.82352941,,,,,,,,,,,,,,./stim/p03_syllable_1_lakadiaisto_hit.wav,p03,lakadiaisto,hit,la-ka-diais-to,la-ka-diais-to,la-ka-di-ais-to,la-ka-dia-is-to,-0.392592571,-0.107407393,1,0,0,10.965,text_option_1,,0,2,2,8,1
5f3c8a006375d854f90d73a7,63f3cfca20052e4ae7554ebf,6453c890a1f7a57a5c1b3dc7,2023-05-04_17h00.49.945,ga_syllabified_check,2022.2.5,Win32,58.82352941,,,,,,,,,,,,,,./stim/p03_syllable_1_lakaduaisto_hit.wav,p03,lakaduaisto,hit,la-ka-duais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.369444423,-0.101851852,1,0,0,4.749,text_option_1,,0,3,3,9,1
5f3c8a006375d854f90d73a7,63f3cfca20052e4ae7554ebf,6453c890a1f7a57a5c1b3dc7,2023-05-04_17h00.49.945,ga_syllabified_check,2022.2.5,Win32,58.82352941,,,,,,,,,,,,,,./stim/p05_syllable_1_mebochiana_hit.wav,p05,mebochiana,hit,me-cho-chai-na,me-bo-chia-na,me-bo-chi-a-na, ,0.05277782,-0.308333362,1,0,0,1.483,text_option_other,me-cho-chai-na,0,4,4,90,1
