participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5f5aa7a073b8271a0ab0947c,63f3cfca20052e4ae7554ebf,6453cc0a001b050e56deb016,2023-05-04_17h16.15.873,ga_syllabified_check,2022.2.5,Win32,144.0714594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f5aa7a073b8271a0ab0947c,63f3cfca20052e4ae7554ebf,6453cc0a001b050e56deb016,2023-05-04_17h16.15.873,ga_syllabified_check,2022.2.5,Win32,144.0714594,-0.398078975,-0.105122732,1,0,0,1.6734,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f5aa7a073b8271a0ab0947c,63f3cfca20052e4ae7554ebf,6453cc0a001b050e56deb016,2023-05-04_17h16.15.873,ga_syllabified_check,2022.2.5,Win32,144.0714594,-0.376734258,-0.105122732,1,0,0,1.1198,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5f5aa7a073b8271a0ab0947c,63f3cfca20052e4ae7554ebf,6453cc0a001b050e56deb016,2023-05-04_17h16.15.873,ga_syllabified_check,2022.2.5,Win32,144.0714594,-0.383137673,-0.104055496,1,0,0,1.9375,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f5aa7a073b8271a0ab0947c,63f3cfca20052e4ae7554ebf,6453cc0a001b050e56deb016,2023-05-04_17h16.15.873,ga_syllabified_check,2022.2.5,Win32,144.0714594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f5aa7a073b8271a0ab0947c,63f3cfca20052e4ae7554ebf,6453cc0a001b050e56deb016,2023-05-04_17h16.15.873,ga_syllabified_check,2022.2.5,Win32,144.0714594,,,,,,,,,,,,,,./stim/p03_syllable_1_palufauto_hit.wav,p03,palufauto,hit,pa-lu-fau,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.308431163,-0.110458911,1,0,0,1.8433,text_option_1,,0,0,0,26,1
5f5aa7a073b8271a0ab0947c,63f3cfca20052e4ae7554ebf,6453cc0a001b050e56deb016,2023-05-04_17h16.15.873,ga_syllabified_check,2022.2.5,Win32,144.0714594,,,,,,,,,,,,,,./stim/p07_syllable_1_lliape_hit.wav,p07,lliape,hit,lliai-pe,llia-pe,lli-a-pe, ,-0.369263607,-0.112593383,1,0,0,1.3889,text_option_1,,0,1,1,156,1
5f5aa7a073b8271a0ab0947c,63f3cfca20052e4ae7554ebf,6453cc0a001b050e56deb016,2023-05-04_17h16.15.873,ga_syllabified_check,2022.2.5,Win32,144.0714594,,,,,,,,,,,,,,./stim/p07_syllable_1_lakapiaisto_hit.wav,p07,lakapiaisto,hit,la-ka-pia-sto,la-ka-piais-to,la-ka-pi-ais-to,la-ka-pia-is-to,-0.384204909,-0.088046958,1,0,0,5.2058,text_option_1,,0,2,2,152,1
5f5aa7a073b8271a0ab0947c,63f3cfca20052e4ae7554ebf,6453cc0a001b050e56deb016,2023-05-04_17h16.15.873,ga_syllabified_check,2022.2.5,Win32,144.0714594,,,,,,,,,,,,,,./stim/p06_syllable_1_tuliafo_hit.wav,p06,tuliafo,hit,tu-li-a-fo,tu-lia-fo,tu-li-a-fo, ,0.352187834,-0.096584845,1,0,0,2.7081,text_option_2,,0,3,3,135,1
5f5aa7a073b8271a0ab0947c,63f3cfca20052e4ae7554ebf,6453cc0a001b050e56deb016,2023-05-04_17h16.15.873,ga_syllabified_check,2022.2.5,Win32,144.0714594,,,,,,,,,,,,,,./stim/p03_syllable_1_faluduako_hit.wav,p03,faluduako,hit,fa-lu-dua-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.32977588,-0.089114194,1,0,0,1.9277,text_option_1,,0,4,4,2,1
