participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5f622aea193f690eebfe422a,63f3cfca20052e4ae7554ebf,6453cbe322426d180ef9503e,2023-05-04_17h15.14.185,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f622aea193f690eebfe422a,63f3cfca20052e4ae7554ebf,6453cbe322426d180ef9503e,2023-05-04_17h15.14.185,ga_syllabified_check,2022.2.5,Win32,60.0276127,-0.376851859,-0.119444459,1,0,0,2.4665,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f622aea193f690eebfe422a,63f3cfca20052e4ae7554ebf,6453cbe322426d180ef9503e,2023-05-04_17h15.14.185,ga_syllabified_check,2022.2.5,Win32,60.0276127,-0.395370377,-0.108333376,1,0,0,2.716,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5f622aea193f690eebfe422a,63f3cfca20052e4ae7554ebf,6453cbe322426d180ef9503e,2023-05-04_17h15.14.185,ga_syllabified_check,2022.2.5,Win32,60.0276127,0.449074074,-0.101851852,1,0,0,5.1681,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f622aea193f690eebfe422a,63f3cfca20052e4ae7554ebf,6453cbe322426d180ef9503e,2023-05-04_17h15.14.185,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f622aea193f690eebfe422a,63f3cfca20052e4ae7554ebf,6453cbe322426d180ef9503e,2023-05-04_17h15.14.185,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,./stim/p04_syllable_1_lakabuaisto_hit.wav,p04,lakabuaisto,hit,la-ka-buais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,-0.384259259,-0.094444487,1,0,0,4.6674,text_option_1,,0,0,0,41,1
5f622aea193f690eebfe422a,63f3cfca20052e4ae7554ebf,6453cbe322426d180ef9503e,2023-05-04_17h15.14.185,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,./stim/p08_syllable_1_lakagiaisto_hit.wav,p08,lakagiaisto,hit,la-ka-gi-jas-to,la-ka-giais-to,la-ka-gi-ais-to,la-ka-gia-is-to,0.444444444,-0.108333376,1,0,0,8.4995,text_option_2,,0,1,1,182,1
5f622aea193f690eebfe422a,63f3cfca20052e4ae7554ebf,6453cbe322426d180ef9503e,2023-05-04_17h15.14.185,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,./stim/p04_syllable_1_falutraigo_hit.wav,p04,falutraigo,hit,fa-lu-trai-go,fa-lu-trai-go,fa-lu-tra-i-go, ,-0.396296289,-0.10092594,1,0,0,2.9338,text_option_1,,0,2,2,38,1
5f622aea193f690eebfe422a,63f3cfca20052e4ae7554ebf,6453cbe322426d180ef9503e,2023-05-04_17h15.14.185,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,./stim/p05_syllable_1_falufaisto_hit.wav,p05,falufaisto,hit,fa-lu-fais-to,fa-lu-fais-to,fa-lu-fa-is-to, ,-0.380555541,-0.103703746,1,0,0,2.5177,text_option_1,,0,3,3,71,1
5f622aea193f690eebfe422a,63f3cfca20052e4ae7554ebf,6453cbe322426d180ef9503e,2023-05-04_17h15.14.185,ga_syllabified_check,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,./stim/p07_syllable_1_nhiape_hit.wav,p07,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,-0.418518526,-0.114814829,1,0,0,3.1669,text_option_1,,0,4,4,159,1
