participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,-0.446472197,-0.108018069,1,0,0,3.6001,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,-0.37706374,-0.093210964,1,0,0,1.1168,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,-0.358554814,-0.109868979,1,0,0,2.6333,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p05_syllable_1_lakafiaisto_hit.wav,p05,lakafiaisto,hit,la-ka-fi-ais-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,0.01810177,-0.108943524,1,0,0,4.0005,text_option_3,,0,0,0,78,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p03_syllable_1_pachialo_hit.wav,p03,pachialo,hit,pa-chia-lo,pa-chia-lo,pa-chi-a-lo, ,-0.437217734,-0.104316308,1,0,0,3.4877,text_option_1,,0,1,1,24,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p05_syllable_1_pachialo_hit.wav,p05,pachialo,hit,pan-chia-lo,pa-chia-lo,pa-chi-a-lo, ,0.428074386,-0.108943524,1,0,0,4.5086,text_option_2,,0,2,2,92,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p07_syllable_1_mebochiana_hit.wav,p07,mebochiana,hit,me-bo-chia-na,me-bo-chia-na,me-bo-chi-a-na, ,-0.313207926,-0.109868979,1,0,0,4.2003,text_option_1,,0,3,3,158,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p08_syllable_1_lakatiaisto_hit.wav,p08,lakatiaisto,hit,la-ka-ti-as-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,-0.340045889,-0.108943524,1,0,0,8.3834,text_option_1,,0,4,4,188,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p04_syllable_1_lakagiaisto_hit.wav,p04,lakagiaisto,hit,la-ka-giais-to,la-ka-giais-to,la-ka-gi-ais-to,la-ka-gia-is-to,-0.328940545,-0.110794435,1,0,0,3.4667,text_option_1,,0,5,5,46,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p08_syllable_1_manhiala_hit.wav,p08,mañiala,hit,ma-nhia-la,ma-ñia-la,ma-ñi-a-la, ,-0.349300322,-0.11171989,1,0,0,2.8668,text_option_1,,0,6,6,191,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p07_syllable_1_lakabuaisto_hit.wav,p07,lakabuaisto,hit,la-ka-buais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,-0.346524016,-0.097838181,1,0,0,3.1839,text_option_1,,0,7,7,143,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p03_syllable_1_faluduako_hit.wav,p03,faluduako,hit,fa-lu-dua-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.322462418,-0.101539942,1,0,0,1.6834,text_option_1,,0,8,8,2,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p04_syllable_1_costonhialo_hit.wav,p04,costoñialo,hit,cos-to-nhia-lo,cos-to-ñia-lo,cos-to-ñi-a-lo, ,-0.333567762,-0.100614487,1,0,0,3.2,text_option_1,,0,9,9,35,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p08_syllable_1_lakabiaisto_hit.wav,p08,lakabiaisto,hit,la-ka-bi-as-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,0.435477909,-0.106167218,1,0,0,9.429,text_option_2,,0,10,10,176,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p06_syllable_1_paluguato_hit.wav,p06,paluguato,hit,pa-lu-gua-to,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.401125338,-0.09598727,1,0,0,3.2791,text_option_1,,0,11,11,129,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p04_syllable_1_lakafuaisto_hit.wav,p04,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.322462418,-0.105241763,1,0,0,3.1628,text_option_1,,0,12,12,45,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p03_syllable_1_lakatiaisto_hit.wav,p03,lakatiaisto,hit,la-ka-tiais-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,-0.330791396,-0.110794435,1,0,0,4.9835,text_option_1,,0,13,13,18,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p07_syllable_1_lakadiaisto_hit.wav,p07,lakadiaisto,hit,la-ka-dia-is-to,la-ka-diais-to,la-ka-di-ais-to,la-ka-dia-is-to,-0.045754044,-0.104316308,1,0,0,3.8334,text_option_3,,0,14,14,144,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p03_syllable_1_lakatuaisto_hit.wav,p03,lakatuaisto,hit,la-ka-tuais-to,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,-0.359480269,-0.104316308,1,0,0,2.9586,text_option_1,,0,15,15,19,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p07_syllable_1_paluguato_hit.wav,p07,paluguato,hit,pa-lu-gua-to,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.353927598,-0.097838181,1,0,0,3.0836,text_option_1,,0,16,16,163,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p08_syllable_1_palutrauco_hit.wav,p08,palutrauco,hit,pa-lu-trau-ko,pa-lu-trau-co,pa-lu-tra-u-co, ,-0.321536963,-0.108943524,1,0,0,2.6499,text_option_1,,0,17,17,199,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p03_syllable_1_palutrauco_hit.wav,p03,palutrauco,hit,pa-lu-trau-co,pa-lu-trau-co,pa-lu-tra-u-co, ,-0.328940545,-0.11171989,1,0,0,1.2668,text_option_1,,0,18,18,29,1
5f6677f7035c6c267ea50fed,63f3cfca20052e4ae7554ebf,6453cba451d54e749fcc0a00,2023-05-04_17h14.07.767,ga_syllabified_check,2022.2.5,Win32,59.56635692,,,,,,,,,,,,,,./stim/p07_syllable_1_lakatuaisto_hit.wav,p07,lakatuaisto,hit,la-ka-tuais-to,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,-0.330791396,-0.107092614,1,0,0,2.5832,text_option_1,,0,19,19,155,1
