participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5f6ce3aa36f6181177e93f0f,63f3cfca20052e4ae7554ebf,6453cb940cc48918528dbafb,2023-05-04_17h15.31.039,ga_syllabified_check,2022.2.5,Win32,5.99905215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f6ce3aa36f6181177e93f0f,63f3cfca20052e4ae7554ebf,6453cb940cc48918528dbafb,2023-05-04_17h15.31.039,ga_syllabified_check,2022.2.5,Win32,5.99905215,0.397395833,-0.102864583,1,0,0,4.0718,text_option_2_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f6ce3aa36f6181177e93f0f,63f3cfca20052e4ae7554ebf,6453cb940cc48918528dbafb,2023-05-04_17h15.31.039,ga_syllabified_check,2022.2.5,Win32,5.99905215,-0.378645833,-0.100260417,1,0,0,5.1762,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5f6ce3aa36f6181177e93f0f,63f3cfca20052e4ae7554ebf,6453cb940cc48918528dbafb,2023-05-04_17h15.31.039,ga_syllabified_check,2022.2.5,Win32,5.99905215,0.373958333,-0.10546875,1,0,0,3.8428,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f6ce3aa36f6181177e93f0f,63f3cfca20052e4ae7554ebf,6453cb940cc48918528dbafb,2023-05-04_17h15.31.039,ga_syllabified_check,2022.2.5,Win32,5.99905215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f6ce3aa36f6181177e93f0f,63f3cfca20052e4ae7554ebf,6453cb940cc48918528dbafb,2023-05-04_17h15.31.039,ga_syllabified_check,2022.2.5,Win32,5.99905215,,,,,,,,,,,,,,./stim/p08_syllable_1_lakapiaisto_hit.wav,p08,lakapiaisto,hit,la-ka-pi-as-to,la-ka-piais-to,la-ka-pi-ais-to,la-ka-pia-is-to,0.366145833,-0.095052083,1,0,0,12.002,text_option_2,,0,0,0,186,1
5f6ce3aa36f6181177e93f0f,63f3cfca20052e4ae7554ebf,6453cb940cc48918528dbafb,2023-05-04_17h15.31.039,ga_syllabified_check,2022.2.5,Win32,5.99905215,,,,,,,,,,,,,,./stim/p04_syllable_1_lakaduaisto_hit.wav,p04,lakaduaisto,hit,la-ka-duais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.402083333,-0.10546875,1,0,0,3.8536,text_option_1,,0,1,1,43,1
5f6ce3aa36f6181177e93f0f,63f3cfca20052e4ae7554ebf,6453cb940cc48918528dbafb,2023-05-04_17h15.31.039,ga_syllabified_check,2022.2.5,Win32,5.99905215,,,,,,,,,,,,,,./stim/p04_syllable_1_falutraigo_hit.wav,p04,falutraigo,hit,fa-lu-trai-go,fa-lu-trai-go,fa-lu-tra-i-go, ,-0.36171875,-0.10546875,1,0,0,1.8894,text_option_1,,0,2,2,38,1
5f6ce3aa36f6181177e93f0f,63f3cfca20052e4ae7554ebf,6453cb940cc48918528dbafb,2023-05-04_17h15.31.039,ga_syllabified_check,2022.2.5,Win32,5.99905215,,,,,,,,,,,,,,./stim/p03_syllable_1_lakatuaisto_hit.wav,p03,lakatuaisto,hit,la-ka-tuais-to,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,-0.35,-0.106770833,1,0,0,4.4458,text_option_1,,0,3,3,19,1
5f6ce3aa36f6181177e93f0f,63f3cfca20052e4ae7554ebf,6453cb940cc48918528dbafb,2023-05-04_17h15.31.039,ga_syllabified_check,2022.2.5,Win32,5.99905215,,,,,,,,,,,,,,./stim/p04_syllable_1_lakafuaisto_hit.wav,p04,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.370833333,-0.10546875,1,0,0,2.1528,text_option_1,,0,4,4,45,1
