participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
5f738de5cd78b40e58fb464b,63f3cfca20052e4ae7554ebf,6453c721a0e711d71abb9590,2023-05-04_16h55.01.347,ga_syllabified_check,2022.2.5,Win32,60.02040694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f738de5cd78b40e58fb464b,63f3cfca20052e4ae7554ebf,6453c721a0e711d71abb9590,2023-05-04_16h55.01.347,ga_syllabified_check,2022.2.5,Win32,60.02040694,-0.390625,-0.104166667,1,0,0,2.706,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f738de5cd78b40e58fb464b,63f3cfca20052e4ae7554ebf,6453c721a0e711d71abb9590,2023-05-04_16h55.01.347,ga_syllabified_check,2022.2.5,Win32,60.02040694,-0.390625,-0.104166667,1,0,0,0.6837,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
5f738de5cd78b40e58fb464b,63f3cfca20052e4ae7554ebf,6453c721a0e711d71abb9590,2023-05-04_16h55.01.347,ga_syllabified_check,2022.2.5,Win32,60.02040694,0.361979167,-0.102864583,1,0,0,1.416,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
5f738de5cd78b40e58fb464b,63f3cfca20052e4ae7554ebf,6453c721a0e711d71abb9590,2023-05-04_16h55.01.347,ga_syllabified_check,2022.2.5,Win32,60.02040694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f738de5cd78b40e58fb464b,63f3cfca20052e4ae7554ebf,6453c721a0e711d71abb9590,2023-05-04_16h55.01.347,ga_syllabified_check,2022.2.5,Win32,60.02040694,,,,,,,,,,,,,,./stim/p08_syllable_1_lakatuaisto_hit.wav,p08,lakatuaisto,hit,la-ka-tu-i-jis,la-ka-tuais-to,la-ka-tu-ais-to,la-ka-tua-is-to,0.0234375,-0.109375,1,0,0,4.4003,text_option_3,,0,0,0,189,1
5f738de5cd78b40e58fb464b,63f3cfca20052e4ae7554ebf,6453c721a0e711d71abb9590,2023-05-04_16h55.01.347,ga_syllabified_check,2022.2.5,Win32,60.02040694,,,,,,,,,,,,,,./stim/p04_syllable_1_lakapuaisto_hit.wav,p04,lakapuaisto,hit,la-ka-puais-to,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,-0.416666667,-0.100260417,1,0,0,2.2673,text_option_1,,0,1,1,51,1
5f738de5cd78b40e58fb464b,63f3cfca20052e4ae7554ebf,6453c721a0e711d71abb9590,2023-05-04_16h55.01.347,ga_syllabified_check,2022.2.5,Win32,60.02040694,,,,,,,,,,,,,,./stim/p04_syllable_1_flauro_hit.wav,p04,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.389322917,-0.095052083,1,0,0,1.7837,text_option_1,,0,2,2,39,1
5f738de5cd78b40e58fb464b,63f3cfca20052e4ae7554ebf,6453c721a0e711d71abb9590,2023-05-04_16h55.01.347,ga_syllabified_check,2022.2.5,Win32,60.02040694,,,,,,,,,,,,,,./stim/p06_syllable_1_lakafuaisto_hit.wav,p06,lakafuaisto,hit,la-ka-fu-a-is,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,0.014322917,-0.295572917,1,0,0,4.2296,text_option_other,la-ka-fu-a-is-to,0,3,3,113,1
5f738de5cd78b40e58fb464b,63f3cfca20052e4ae7554ebf,6453c721a0e711d71abb9590,2023-05-04_16h55.01.347,ga_syllabified_check,2022.2.5,Win32,60.02040694,,,,,,,,,,,,,,./stim/p05_syllable_1_falutraigo_hit.wav,p05,falutraigo,hit,fa-lu-trai-go,fa-lu-trai-go,fa-lu-tra-i-go, ,-0.36328125,-0.098958333,1,0,0,1.7338,text_option_1,,0,4,4,72,1
