participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
60a2a4657cb8e58bc437b6d3,63f3cfca20052e4ae7554ebf,6453ca0ab439006019d33594,2023-05-04_17h08.39.029,ga_syllabified_check,2022.2.5,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60a2a4657cb8e58bc437b6d3,63f3cfca20052e4ae7554ebf,6453ca0ab439006019d33594,2023-05-04_17h08.39.029,ga_syllabified_check,2022.2.5,Win32,60.08893162,-0.42578125,-0.104166667,1,0,0,6.2308,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
60a2a4657cb8e58bc437b6d3,63f3cfca20052e4ae7554ebf,6453ca0ab439006019d33594,2023-05-04_17h08.39.029,ga_syllabified_check,2022.2.5,Win32,60.08893162,-0.390625,-0.111979167,1,0,0,2.0705,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
60a2a4657cb8e58bc437b6d3,63f3cfca20052e4ae7554ebf,6453ca0ab439006019d33594,2023-05-04_17h08.39.029,ga_syllabified_check,2022.2.5,Win32,60.08893162,-0.369791667,-0.1171875,1,0,0,6.9331,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
60a2a4657cb8e58bc437b6d3,63f3cfca20052e4ae7554ebf,6453ca0ab439006019d33594,2023-05-04_17h08.39.029,ga_syllabified_check,2022.2.5,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60a2a4657cb8e58bc437b6d3,63f3cfca20052e4ae7554ebf,6453ca0ab439006019d33594,2023-05-04_17h08.39.029,ga_syllabified_check,2022.2.5,Win32,60.08893162,,,,,,,,,,,,,,./stim/p06_syllable_1_lakabiaisto_hit.wav,p06,lakabiaisto,hit,la-ka-bia-is-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.002604167,-0.102864583,1,0,0,5.6995,text_option_3,,0,0,0,108,1
60a2a4657cb8e58bc437b6d3,63f3cfca20052e4ae7554ebf,6453ca0ab439006019d33594,2023-05-04_17h08.39.029,ga_syllabified_check,2022.2.5,Win32,60.08893162,,,,,,,,,,,,,,./stim/p06_syllable_1_palumaisto_hit.wav,p06,palumaisto,hit,pa-lu-ma-is-to,pa-lu-mais-to,pa-lu-ma-is-to, ,0.453125,-0.10546875,1,0,0,3.6454,text_option_2,,0,1,1,130,1
60a2a4657cb8e58bc437b6d3,63f3cfca20052e4ae7554ebf,6453ca0ab439006019d33594,2023-05-04_17h08.39.029,ga_syllabified_check,2022.2.5,Win32,60.08893162,,,,,,,,,,,,,,./stim/p08_syllable_1_lakabiaisto_hit.wav,p08,lakabiaisto,hit,la-ka-bi-as-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,0.432291667,-0.10546875,1,0,0,4.0529,text_option_2,,0,2,2,176,1
60a2a4657cb8e58bc437b6d3,63f3cfca20052e4ae7554ebf,6453ca0ab439006019d33594,2023-05-04_17h08.39.029,ga_syllabified_check,2022.2.5,Win32,60.08893162,,,,,,,,,,,,,,./stim/p06_syllable_1_manhiala_hit.wav,p06,mañiala,hit,ma-nhi-a-la,ma-ñia-la,ma-ñi-a-la, ,0.423177083,-0.108072917,1,0,0,2.3996,text_option_2,,0,3,3,123,1
60a2a4657cb8e58bc437b6d3,63f3cfca20052e4ae7554ebf,6453ca0ab439006019d33594,2023-05-04_17h08.39.029,ga_syllabified_check,2022.2.5,Win32,60.08893162,,,,,,,,,,,,,,./stim/p03_syllable_1_tuliafo_hit.wav,p03,tuliafo,hit,tu-lia-fo,tu-lia-fo,tu-li-a-fo, ,-0.389322917,-0.1015625,1,0,0,1.5492,text_option_1,,0,4,4,33,1
