participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
60be4d9e7f4d10be1c1b2cc7,63f3cfca20052e4ae7554ebf,6453ca72f64e4ae431652940,2023-05-04_17h09.14.070,ga_syllabified_check,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60be4d9e7f4d10be1c1b2cc7,63f3cfca20052e4ae7554ebf,6453ca72f64e4ae431652940,2023-05-04_17h09.14.070,ga_syllabified_check,2022.2.5,Win32,59.97361161,-0.39537037,-0.09537037,1,0,0,3.5168,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
60be4d9e7f4d10be1c1b2cc7,63f3cfca20052e4ae7554ebf,6453ca72f64e4ae431652940,2023-05-04_17h09.14.070,ga_syllabified_check,2022.2.5,Win32,59.97361161,-0.375,-0.107407407,1,0,0,3.4503,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
60be4d9e7f4d10be1c1b2cc7,63f3cfca20052e4ae7554ebf,6453ca72f64e4ae431652940,2023-05-04_17h09.14.070,ga_syllabified_check,2022.2.5,Win32,59.97361161,-0.373148148,-0.107407407,1,0,0,4.1375,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
60be4d9e7f4d10be1c1b2cc7,63f3cfca20052e4ae7554ebf,6453ca72f64e4ae431652940,2023-05-04_17h09.14.070,ga_syllabified_check,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60be4d9e7f4d10be1c1b2cc7,63f3cfca20052e4ae7554ebf,6453ca72f64e4ae431652940,2023-05-04_17h09.14.070,ga_syllabified_check,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,,./stim/p06_syllable_1_paluguato_hit.wav,p06,paluguato,hit,pa-lu-gua-to,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.374074074,-0.109259259,1,0,0,3.9322,text_option_1,,0,0,0,129,1
60be4d9e7f4d10be1c1b2cc7,63f3cfca20052e4ae7554ebf,6453ca72f64e4ae431652940,2023-05-04_17h09.14.070,ga_syllabified_check,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,,./stim/p08_syllable_1_lakagiaisto_hit.wav,p08,lakagiaisto,hit,la-ka-gi-jas-to,la-ka-giais-to,la-ka-gi-ais-to,la-ka-gia-is-to,0.026851852,-0.103703704,1,0,0,8.302,text_option_3,,0,1,1,182,1
60be4d9e7f4d10be1c1b2cc7,63f3cfca20052e4ae7554ebf,6453ca72f64e4ae431652940,2023-05-04_17h09.14.070,ga_syllabified_check,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,,./stim/p03_syllable_1_flauro_hit.wav,p03,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.402777778,-0.103703704,1,0,0,2.233,text_option_1,,0,2,2,5,1
60be4d9e7f4d10be1c1b2cc7,63f3cfca20052e4ae7554ebf,6453ca72f64e4ae431652940,2023-05-04_17h09.14.070,ga_syllabified_check,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,,./stim/p04_syllable_1_lliape_hit.wav,p04,lliape,hit,lia-pe,llia-pe,lli-a-pe, ,-0.427777778,-0.094444444,1,0,0,0.5829,text_option_1,,0,3,3,54,1
60be4d9e7f4d10be1c1b2cc7,63f3cfca20052e4ae7554ebf,6453ca72f64e4ae431652940,2023-05-04_17h09.14.070,ga_syllabified_check,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,,./stim/p08_syllable_1_falutraigo_hit.wav,p08,falutraigo,hit,fa-lu-trai-go,fa-lu-trai-go,fa-lu-tra-i-go, ,-0.391666667,-0.109259259,1,0,0,2.9507,text_option_1,,0,4,4,174,1
