participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,-0.391794872,-0.097948718,1,0,0,4.5343,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,-0.41025641,-0.106153846,1,0,0,0.8138,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,-0.411282051,-0.111282051,1,0,0,2.1713,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p08_syllable_1_lakapuaisto_hit.wav,p08,lakapuaisto,hit,la-ka-pu-as-to,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,0.456410256,-0.11025641,1,0,0,6.4429,text_option_2,,0,0,0,187,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p05_syllable_1_lakagiaisto_hit.wav,p05,lakagiaisto,hit,la-ka-ki-ais-to,la-ka-giais-to,la-ka-gi-ais-to,la-ka-gia-is-to,-0.350769231,-0.117435897,1,0,0,2.4811,text_option_1,,0,1,1,80,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p08_syllable_1_lakatiaisto_hit.wav,p08,lakatiaisto,hit,la-ka-ti-as-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,-0.373333333,-0.111282051,1,0,0,3.1212,text_option_1,,0,2,2,188,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p04_syllable_1_lliape_hit.wav,p04,lliape,hit,lia-pe,llia-pe,lli-a-pe, ,-0.363076923,-0.107179487,1,0,0,1.2141,text_option_1,,0,3,3,54,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p03_syllable_1_lakabuaisto_hit.wav,p03,lakabuaisto,hit,la-ka-buais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,-0.387692308,-0.105128205,1,0,0,1.7341,text_option_1,,0,4,4,7,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p07_syllable_1_palufauro_hit.wav,p07,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.387692308,-0.104102564,1,0,0,1.6944,text_option_1,,0,5,5,161,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p07_syllable_1_lakaguaisto_hit.wav,p07,lakaguaisto,hit,la-ka-guais-to,la-ka-guais-to,la-ka-gu-ais-to,la-ka-gua-is-to,-0.339487179,-0.116410256,1,0,0,1.8408,text_option_1,,0,6,6,149,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p03_syllable_1_costonhialo_hit.wav,p03,costoñialo,hit,cos-to-nhia-lo,cos-to-ñia-lo,cos-to-ñi-a-lo, ,-0.34974359,-0.113333333,1,0,0,1.9342,text_option_1,,0,7,7,1,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p08_syllable_1_flauro_hit.wav,p08,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.34974359,-0.113333333,1,0,0,1.0272,text_option_1,,0,8,8,175,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p06_syllable_1_lakatiaisto_hit.wav,p06,lakatiaisto,hit,la-ka-pia-is-to,la-ka-tiais-to,la-ka-ti-ais-to,la-ka-tia-is-to,0.065641026,-0.109230769,1,0,0,4.2149,text_option_3,,0,9,9,120,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p05_syllable_1_lakafuaisto_hit.wav,p05,lakafuaisto,hit,la-ka-fais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,0.06974359,-0.305128205,1,0,0,7.9297,text_option_other,Bien,0,10,10,79,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p04_syllable_1_lakakiaisto_hit.wav,p04,lakakiaisto,hit,la-ka-kiais-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,-0.323076923,-0.106153846,1,0,0,1.5336,text_option_1,,0,11,11,48,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p06_syllable_1_faluduako_hit.wav,p06,faluduako,hit,fa-lu-dua-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.343589744,-0.109230769,1,0,0,4.1215,text_option_1,,0,12,12,104,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p07_syllable_1_rausto_hit.wav,p07,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.357948718,-0.11025641,1,0,0,1.6807,text_option_1,,0,13,13,167,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p08_syllable_1_lakabuaisto_hit.wav,p08,lakabuaisto,hit,la-ka-bu-ais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,0.451282051,-0.112307692,1,0,0,5.9265,text_option_2,,0,14,14,177,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p05_syllable_1_lliape_hit.wav,p05,lliape,hit,liai-pe,llia-pe,lli-a-pe, ,-0.406153846,-0.108205128,1,0,0,1.2714,text_option_1,,0,15,15,88,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p05_syllable_1_manhiala_hit.wav,p05,mañiala,hit,ma-nhia-la,ma-ñia-la,ma-ñi-a-la, ,-0.017435897,-0.297948718,1,0,0,3.7981,text_option_other,bien,0,16,16,89,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p07_syllable_1_pachialo_hit.wav,p07,pachialo,hit,pa-cha-lo,pa-chia-lo,pa-chi-a-lo, ,-0.369230769,-0.106153846,1,0,0,2.6174,text_option_1,,0,17,17,160,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p07_syllable_1_lakapiaisto_hit.wav,p07,lakapiaisto,hit,la-ka-pia-sto,la-ka-piais-to,la-ka-pi-ais-to,la-ka-pia-is-to,0.043076923,-0.309230769,1,0,0,4.1746,text_option_other,lakapiasto,0,18,18,152,1
60df30c4e945892dc94a626c,63f3cfca20052e4ae7554ebf,6453ccd7830171360d046efe,2023-05-04_17h25.26.043,ga_syllabified_check,2022.2.5,Win32,75.05253678,,,,,,,,,,,,,,./stim/p06_syllable_1_chiaba_hit.wav,p06,chiaba,hit,chi-a-ba,chia-ba,chi-a-ba, ,-0.368205128,-0.098974359,1,0,0,3.1522,text_option_1,,0,19,19,102,1
