participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,0.402777778,-0.102777778,1,0,0,3.6002,text_option_2_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,-0.393518519,-0.109259259,1,0,0,3.019,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,0.403703704,-0.103703704,1,0,0,2.974,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p03_syllable_1_paluguato_hit.wav,p03,paluguato,hit,pa-lu-gua,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.325,-0.106481481,1,0,0,1.233,text_option_1,,0,0,0,27,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p06_syllable_1_lakaguaisto_hit.wav,p06,lakaguaisto,hit,la-ka-gu-a-is,la-ka-guais-to,la-ka-gu-ais-to,la-ka-gua-is-to,0.490740741,-0.12037037,1,0,0,5.4153,text_option_2,,0,1,1,115,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p08_syllable_1_lakafiaisto_hit.wav,p08,lakafiaisto,hit,la-ka-fi-as-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,0.058333333,-0.294444444,1,0,0,4.5001,text_option_other,la-ka-fi-as-ti,0,2,2,180,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p07_syllable_1_palufauro_hit.wav,p07,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.344444444,-0.100925926,1,0,0,2.9489,text_option_1,,0,3,3,161,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p06_syllable_1_ruyiola_hit.wav,p06,ruyiola,hit,ru-yi-o-la,ru-yio-la,ru-yi-o-la, ,-0.331910352,-0.106189968,1,0,0,17.3837,text_option_1,,0,4,4,134,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p06_syllable_1_faluduako_hit.wav,p06,faluduako,hit,fa-lu-dua-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.463180363,-0.106189968,1,0,0,3.1006,text_option_1,,0,5,5,104,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p05_syllable_1_lakakuaisto_hit.wav,p05,lakakuaisto,hit,la-ka-kais-to,la-ka-kuais-to,la-ka-ku-ais-to,la-ka-kua-is-to,0.039487727,-0.10832444,1,0,0,57.9085,text_option_3,,0,6,6,83,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p08_syllable_1_lakapiaisto_hit.wav,p08,lakapiaisto,hit,la-ka-pi-as-to,la-ka-piais-to,la-ka-pi-ais-to,la-ka-pia-is-to,0.024546425,-0.302561366,1,0,0,6.2172,text_option_other,la-ka-pi-as-to,0,7,7,186,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p08_syllable_1_manhiala_hit.wav,p08,mañiala,hit,ma-nhia-la,ma-ñia-la,ma-ñi-a-la, ,-0.374074074,-0.094444444,1,0,0,1.8002,text_option_1,,0,8,8,191,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p07_syllable_1_faluduako_hit.wav,p07,faluduako,hit,fa-lu-dua-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.328703704,-0.106481481,1,0,0,2.0001,text_option_1,,0,9,9,138,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p05_syllable_1_lakaguaisto_hit.wav,p05,lakaguaisto,hit,la-ka-gais,la-ka-guais-to,la-ka-gu-ais-to,la-ka-gua-is-to,-0.099074074,-0.287037037,1,0,0,3.9176,text_option_other,la-ka-gais-to,0,10,10,81,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p07_syllable_1_lakabiaisto_hit.wav,p07,lakabiaisto,hit,la-ka-bais-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.038888889,-0.287037037,1,0,0,6.351,text_option_other,la-ka-bais-to,0,11,11,142,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p04_syllable_1_lakabiaisto_hit.wav,p04,lakabiaisto,hit,la-ka-biais-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.328703704,-0.107407407,1,0,0,2.9004,text_option_1,,0,12,12,40,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p07_syllable_1_falufaisto_hit.wav,p07,falufaisto,hit,fa-lu-fais-to,fa-lu-fais-to,fa-lu-fa-is-to, ,-0.391666667,-0.106481481,1,0,0,1.9006,text_option_1,,0,13,13,139,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p05_syllable_1_faluduako_hit.wav,p05,faluduako,hit,fa-lu-ba-ko,fa-lu-dua-ko,fa-lu-du-a-ko, ,-0.373148148,-0.102777778,1,0,0,1.6161,text_option_1,,0,14,14,70,1
60e635a7f60d7042bcd17169,63f3cfca20052e4ae7554ebf,6453c7906209feb0630c645f,2023-05-04_17h07.29.166,ga_syllabified_check,2022.2.5,Win32,60.42661188,,,,,,,,,,,,,,./stim/p04_syllable_1_paluguato_hit.wav,p04,paluguato,hit,pa-lu-gua,pa-lu-gua-to,pa-lu-gu-a-to, ,-0.359259259,-0.100925926,1,0,0,0.9009,text_option_1,,0,15,15,61,1
