participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
6106c0aecdc0c01341f2bf2d,63f3cfca20052e4ae7554ebf,6453c885fb5d54228996df71,2023-05-04_17h01.00.769,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6106c0aecdc0c01341f2bf2d,63f3cfca20052e4ae7554ebf,6453c885fb5d54228996df71,2023-05-04_17h01.00.769,ga_syllabified_check,2022.2.5,Win32,60.0240096,0.392361111,-0.111111111,1,0,0,2.882,text_option_2_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
6106c0aecdc0c01341f2bf2d,63f3cfca20052e4ae7554ebf,6453c885fb5d54228996df71,2023-05-04_17h01.00.769,ga_syllabified_check,2022.2.5,Win32,60.0240096,-0.396990741,-0.105324074,1,0,0,1.834,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
6106c0aecdc0c01341f2bf2d,63f3cfca20052e4ae7554ebf,6453c885fb5d54228996df71,2023-05-04_17h01.00.769,ga_syllabified_check,2022.2.5,Win32,60.0240096,0.443287037,-0.106481481,1,0,0,1.734,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
6106c0aecdc0c01341f2bf2d,63f3cfca20052e4ae7554ebf,6453c885fb5d54228996df71,2023-05-04_17h01.00.769,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6106c0aecdc0c01341f2bf2d,63f3cfca20052e4ae7554ebf,6453c885fb5d54228996df71,2023-05-04_17h01.00.769,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p07_syllable_1_lakaduaisto_hit.wav,p07,lakaduaisto,hit,la-ka-duais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.362268519,-0.100694444,1,0,0,2.517,text_option_1,,0,0,0,145,1
6106c0aecdc0c01341f2bf2d,63f3cfca20052e4ae7554ebf,6453c885fb5d54228996df71,2023-05-04_17h01.00.769,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p08_syllable_1_lakabuaisto_hit.wav,p08,lakabuaisto,hit,la-ka-bu-ais-to,la-ka-buais-to,la-ka-bu-ais-to,la-ka-bua-is-to,0.44212963,-0.094907407,1,0,0,3.701,text_option_2,,0,1,1,177,1
6106c0aecdc0c01341f2bf2d,63f3cfca20052e4ae7554ebf,6453c885fb5d54228996df71,2023-05-04_17h01.00.769,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p06_syllable_1_lakagiaisto_hit.wav,p06,lakagiaisto,hit,la-ka-gia-is-to,la-ka-giais-to,la-ka-gi-ais-to,la-ka-gia-is-to,0.0625,-0.109953704,1,0,0,4.066,text_option_3,,0,2,2,114,1
6106c0aecdc0c01341f2bf2d,63f3cfca20052e4ae7554ebf,6453c885fb5d54228996df71,2023-05-04_17h01.00.769,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p07_syllable_1_manhiala_hit.wav,p07,mañiala,hit,ma-nhia-la,ma-ñia-la,ma-ñi-a-la, ,0.094907407,-0.3125,1,0,0,2.933,text_option_other,ma-ña-na,0,3,3,157,1
6106c0aecdc0c01341f2bf2d,63f3cfca20052e4ae7554ebf,6453c885fb5d54228996df71,2023-05-04_17h01.00.769,ga_syllabified_check,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,./stim/p08_syllable_1_chiaba_hit.wav,p08,chiaba,hit,chi-a-ba,chia-ba,chi-a-ba, ,-0.414351852,-0.090277778,1,0,0,1.499,text_option_1,,0,4,4,170,1
