participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,0.02962963,-0.310185185,1,0,0,6.6004,text_option_other_practice,le-a-mo,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,-0.386111111,-0.108333333,1,0,0,2.3667,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,0.012962963,-0.307407407,1,0,0,2.016,text_option_other_practice,lla-mo,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p07_syllable_1_ruyiola_hit.wav,p07,ruyiola,hit,ru-yio-la,ru-yio-la,ru-yi-o-la, ,-0.394444444,-0.102777778,1,0,0,3.5014,text_option_1,,0,0,0,168,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p06_syllable_1_lakafiaisto_hit.wav,p06,lakafiaisto,hit,la-ka-fia-is-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,-0.021296296,-0.103703704,1,0,0,11.2837,text_option_3,,0,1,1,112,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p04_syllable_1_lakapuaisto_hit.wav,p04,lakapuaisto,hit,la-ka-puais-to,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,-0.042592593,-0.296296296,1,0,0,4.1666,text_option_other,laka-puais-to,0,2,2,51,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p04_syllable_1_palufauto_hit.wav,p04,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.382407407,-0.109259259,1,0,0,5.3329,text_option_1,,0,3,3,60,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p04_syllable_1_falufaisto_hit.wav,p04,falufaisto,hit,fa-lu-fais-to,fa-lu-fais-to,fa-lu-fa-is-to, ,-0.368518519,-0.100925926,1,0,0,4.8678,text_option_1,,0,4,4,37,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p04_syllable_1_lakaguaisto_hit.wav,p04,lakaguaisto,hit,la-ka-guais-to,la-ka-guais-to,la-ka-gu-ais-to,la-ka-gua-is-to,-0.421296296,-0.112962963,1,0,0,5.5008,text_option_1,,0,5,5,47,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p04_syllable_1_manhiala_hit.wav,p04,mañiala,hit,ma-nhia-la,ma-ñia-la,ma-ñi-a-la, ,-0.399074074,-0.101851852,1,0,0,2.6668,text_option_1,,0,6,6,55,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p06_syllable_1_lakabiaisto_hit.wav,p06,lakabiaisto,hit,la-ka-bia-is-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.018518519,-0.107407407,1,0,0,6.6004,text_option_3,,0,7,7,108,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p05_syllable_1_ruyiola_hit.wav,p05,ruyiola,hit,ru-yio-la,ru-yio-la,ru-yi-o-la, ,-0.394444444,-0.115740741,1,0,0,1.9006,text_option_1,,0,8,8,100,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p06_syllable_1_manhiala_hit.wav,p06,mañiala,hit,ma-nhi-a-la,ma-ñia-la,ma-ñi-a-la, ,0.4,-0.10462963,1,0,0,1.9004,text_option_2,,0,9,9,123,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p05_syllable_1_falufaisto_hit.wav,p05,falufaisto,hit,fa-lu-fais-to,fa-lu-fais-to,fa-lu-fa-is-to, ,-0.375925926,-0.106481481,1,0,0,3.334,text_option_1,,0,10,10,71,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p07_syllable_1_flauro_hit.wav,p07,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.399074074,-0.096296296,1,0,0,1.5506,text_option_1,,0,11,11,141,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p08_syllable_1_lakaduaisto_hit.wav,p08,lakaduaisto,hit,la-ka-du-ais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.016666667,-0.108333333,1,0,0,10.8333,text_option_3,,0,12,12,179,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p04_syllable_1_pachialo_hit.wav,p04,pachialo,hit,pa-chia-lo,pa-chia-lo,pa-chi-a-lo, ,-0.353703704,-0.107407407,1,0,0,6.8167,text_option_1,,0,13,13,58,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p06_syllable_1_falutraigo_hit.wav,p06,falutraigo,hit,fa-lu-tra-i-go,fa-lu-trai-go,fa-lu-tra-i-go, ,0.000925926,-0.287962963,1,0,0,8.1222,text_option_other,fa-lu tra-i-go,0,14,14,106,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p04_syllable_1_lakabiaisto_hit.wav,p04,lakabiaisto,hit,la-ka-biais-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.373148148,-0.106481481,1,0,0,5.7132,text_option_1,,0,15,15,40,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p04_syllable_1_lakafuaisto_hit.wav,p04,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.375,-0.105555556,1,0,0,5.117,text_option_1,,0,16,16,45,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p03_syllable_1_mebochiana_hit.wav,p03,mebochiana,hit,me-bo-chia-na,me-bo-chia-na,me-bo-chi-a-na, ,-0.392592593,-0.10462963,1,0,0,4.3838,text_option_1,,0,17,17,22,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p06_syllable_1_palumaisto_hit.wav,p06,palumaisto,hit,pa-lu-ma-is-to,pa-lu-mais-to,pa-lu-ma-is-to, ,0.360185185,-0.106481481,1,0,0,2.749,text_option_2,,0,18,18,130,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p05_syllable_1_rausto_hit.wav,p05,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.364814815,-0.106481481,1,0,0,1.9999,text_option_1,,0,19,19,99,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p08_syllable_1_lakapiaisto_hit.wav,p08,lakapiaisto,hit,la-ka-pi-as-to,la-ka-piais-to,la-ka-pi-ais-to,la-ka-pia-is-to,-0.063888889,-0.293518519,1,0,0,6.0172,text_option_other,la-ka-pi-as-to,0,20,20,186,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p06_syllable_1_flauro_hit.wav,p06,flauro,hit,fla-u-ro,flau-ro,fla-u-ro, ,0.384259259,-0.105555556,1,0,0,1.4001,text_option_2,,0,21,21,107,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p05_syllable_1_palufauro_hit.wav,p05,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.374074074,-0.105555556,1,0,0,2.3004,text_option_1,,0,22,22,93,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p08_syllable_1_lakakiaisto_hit.wav,p08,lakakiaisto,hit,la-ka-ki-jas-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,-0.04537037,-0.302777778,1,0,0,4.7332,text_option_other,la-ka-ki-as-to,0,23,23,184,1
610a52647a452dee7ca89360,63f3cfca20052e4ae7554ebf,6453cc7fe5522ac61743334c,2023-05-04_17h21.27.106,ga_syllabified_check,2022.2.5,Win32,60.52536013,,,,,,,,,,,,,,./stim/p07_syllable_1_rausto_hit.wav,p07,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.397222222,-0.105555556,1,0,0,2.3839,text_option_1,,0,24,24,167,1
