participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,-0.38671875,-0.10546875,1,0,0,2.8177,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,-0.38671875,-0.10546875,1,0,0,1.1179,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,-0.361979167,-0.102864583,1,0,0,2.2171,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p05_syllable_1_palufauto_hit.wav,p05,palufauto,hit,pa-lu-fau-to,pa-lu-fau-to,pa-lu-fa-u-to, ,-0.3671875,-0.110677083,1,0,0,2.6512,text_option_1,,0,0,0,94,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p08_syllable_1_lakakiaisto_hit.wav,p08,lakakiaisto,hit,la-ka-ki-jas-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,0.412760417,-0.102864583,1,0,0,5.3677,text_option_2,,0,1,1,184,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p03_syllable_1_lakafiaisto_hit.wav,p03,lakafiaisto,hit,la-ka-fiais-to,la-ka-fiais-to,la-ka-fi-ais-to,la-ka-fia-is-to,-0.348958333,-0.106770833,1,0,0,5.3464,text_option_1,,0,2,2,10,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p07_syllable_1_ruyiola_hit.wav,p07,ruyiola,hit,ru-yio-la,ru-yio-la,ru-yi-o-la, ,-0.384114583,-0.104166667,1,0,0,3.869,text_option_1,,0,3,3,168,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p05_syllable_1_lliape_hit.wav,p05,lliape,hit,liai-pe,llia-pe,lli-a-pe, ,0.0703125,-0.305989583,1,0,0,4.5996,text_option_other,LLIAIPE,0,4,4,88,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p06_syllable_1_lliape_hit.wav,p06,lliape,hit,lli-lla-pe,llia-pe,lli-a-pe, ,0.358072917,-0.098958333,1,0,0,4.1016,text_option_2,,0,5,5,122,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p05_syllable_1_mebochiana_hit.wav,p05,mebochiana,hit,me-cho-chai-na,me-bo-chia-na,me-bo-chi-a-na, ,-0.040364583,-0.299479167,1,0,0,3.1831,text_option_other,mechochana,0,6,6,90,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p04_syllable_1_payielo_hit.wav,p04,payielo,hit,pa-yie-lo,pa-yie-lo,pa-yi-e-lo, ,-0.393229167,-0.1015625,1,0,0,3.4339,text_option_1,,0,7,7,64,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p08_syllable_1_pachialo_hit.wav,p08,pachialo,hit,pa-chi-ja-lo,pa-chia-lo,pa-chi-a-lo, ,0.411458333,-0.1015625,1,0,0,3.3004,text_option_2,,0,8,8,194,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p05_syllable_1_lakapuaisto_hit.wav,p05,lakapuaisto,hit,la-ka-pais-to,la-ka-puais-to,la-ka-pu-ais-to,la-ka-pua-is-to,0.00390625,-0.298177083,1,0,0,6.1839,text_option_other,la-kai-pais-to,0,9,9,85,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p05_syllable_1_lakaduaisto_hit.wav,p05,lakaduaisto,hit,la-ka-dais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,0.01953125,-0.302083333,1,0,0,2.2839,text_option_other,la-ka-tais-to,0,10,10,77,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p04_syllable_1_lakakiaisto_hit.wav,p04,lakakiaisto,hit,la-ka-kiais-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,-0.348958333,-0.114583333,1,0,0,4.2505,text_option_1,,0,11,11,48,1
610af163338ebe0cb91d1cee,63f3cfca20052e4ae7554ebf,6453cd88b28d94ced8a9c7a1,2023-05-04_17h22.45.103,ga_syllabified_check,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,./stim/p07_syllable_1_lakafuaisto_hit.wav,p07,lakafuaisto,hit,la-ka-fuais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,0.001302083,-0.305989583,1,0,0,2.383,text_option_other,la-ka-quais-to,0,12,12,147,1
