participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
61168f1b99f855bfe46cdc36,63f3cfca20052e4ae7554ebf,6453c8801e6bae22f4027ca7,2023-05-04_17h00.42.912,ga_syllabified_check,2022.2.5,Win32,59.80861244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61168f1b99f855bfe46cdc36,63f3cfca20052e4ae7554ebf,6453c8801e6bae22f4027ca7,2023-05-04_17h00.42.912,ga_syllabified_check,2022.2.5,Win32,59.80861244,-0.41015625,-0.110677083,1,0,0,3.01,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
61168f1b99f855bfe46cdc36,63f3cfca20052e4ae7554ebf,6453c8801e6bae22f4027ca7,2023-05-04_17h00.42.912,ga_syllabified_check,2022.2.5,Win32,59.80861244,-0.38671875,-0.104166667,1,0,0,4.631,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
61168f1b99f855bfe46cdc36,63f3cfca20052e4ae7554ebf,6453c8801e6bae22f4027ca7,2023-05-04_17h00.42.912,ga_syllabified_check,2022.2.5,Win32,59.80861244,0.415364583,-0.092447917,1,0,0,3.26,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
61168f1b99f855bfe46cdc36,63f3cfca20052e4ae7554ebf,6453c8801e6bae22f4027ca7,2023-05-04_17h00.42.912,ga_syllabified_check,2022.2.5,Win32,59.80861244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61168f1b99f855bfe46cdc36,63f3cfca20052e4ae7554ebf,6453c8801e6bae22f4027ca7,2023-05-04_17h00.42.912,ga_syllabified_check,2022.2.5,Win32,59.80861244,,,,,,,,,,,,,,./stim/p08_syllable_1_payielo_hit.wav,p08,payielo,hit,pa-yie-lo,pa-yie-lo,pa-yi-e-lo, ,-0.40234375,-0.09375,1,0,0,2.44,text_option_1,,0,0,0,200,1
61168f1b99f855bfe46cdc36,63f3cfca20052e4ae7554ebf,6453c8801e6bae22f4027ca7,2023-05-04_17h00.42.912,ga_syllabified_check,2022.2.5,Win32,59.80861244,,,,,,,,,,,,,,./stim/p03_syllable_1_palutrauco_hit.wav,p03,palutrauco,hit,pa-lu-trau-co,pa-lu-trau-co,pa-lu-tra-u-co, ,-0.434895833,-0.095052083,1,0,0,1.957,text_option_1,,0,1,1,29,1
61168f1b99f855bfe46cdc36,63f3cfca20052e4ae7554ebf,6453c8801e6bae22f4027ca7,2023-05-04_17h00.42.912,ga_syllabified_check,2022.2.5,Win32,59.80861244,,,,,,,,,,,,,,./stim/p04_syllable_1_tuliafo_hit.wav,p04,tuliafo,hit,tu-lia-fo,tu-lia-fo,tu-li-a-fo, ,-0.389322917,-0.102864583,1,0,0,1.757,text_option_1,,0,2,2,67,1
61168f1b99f855bfe46cdc36,63f3cfca20052e4ae7554ebf,6453c8801e6bae22f4027ca7,2023-05-04_17h00.42.912,ga_syllabified_check,2022.2.5,Win32,59.80861244,,,,,,,,,,,,,,./stim/p08_syllable_1_palufauro_hit.wav,p08,palufauro,hit,pa-lu-fau-ro,pa-lu-fau-ro,pa-lu-fa-u-ro, ,-0.388020833,-0.078125,1,0,0,2.909,text_option_1,,0,3,3,195,1
61168f1b99f855bfe46cdc36,63f3cfca20052e4ae7554ebf,6453c8801e6bae22f4027ca7,2023-05-04_17h00.42.912,ga_syllabified_check,2022.2.5,Win32,59.80861244,,,,,,,,,,,,,,./stim/p08_syllable_1_lakakiaisto_hit.wav,p08,lakakiaisto,hit,la-ka-ki-jas-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,0.389322917,-0.106770833,1,0,0,14.662,text_option_2,,0,4,4,184,1
