participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,-0.377777778,-0.112037037,1,0,0,6.9851,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,-0.373148148,-0.106481481,1,0,0,1.0789,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,-0.401851852,-0.1,1,0,0,4.6626,text_option_1_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,,,,,,,,,,,,,,./stim/p07_syllable_1_flauro_hit.wav,p07,flauro,hit,flau-ro,flau-ro,fla-u-ro, ,-0.364814815,-0.10462963,1,0,0,1.439,text_option_1,,0,0,0,141,1
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,,,,,,,,,,,,,,./stim/p08_syllable_1_tuliafo_hit.wav,p08,tuliafo,hit,tu-li-a-fo,tu-lia-fo,tu-li-a-fo, ,0.390740741,-0.099074074,1,0,0,4.5124,text_option_2,,0,1,1,203,1
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,,,,,,,,,,,,,,./stim/p07_syllable_1_lakaduaisto_hit.wav,p07,lakaduaisto,hit,la-ka-duais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.380555556,-0.105555556,1,0,0,2.7964,text_option_1,,0,2,2,145,1
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,,,,,,,,,,,,,,./stim/p05_syllable_1_lakafuaisto_hit.wav,p05,lakafuaisto,hit,la-ka-fais-to,la-ka-fuais-to,la-ka-fu-ais-to,la-ka-fua-is-to,-0.362962963,-0.107407407,1,0,0,1.9039,text_option_1,,0,3,3,79,1
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,,,,,,,,,,,,,,./stim/p04_syllable_1_nhiape_hit.wav,p04,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,-0.376851852,-0.112962963,1,0,0,0.771,text_option_1,,0,4,4,57,1
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,,,,,,,,,,,,,,./stim/p03_syllable_1_costonhialo_hit.wav,p03,costoñialo,hit,cos-to-nhia-lo,cos-to-ñia-lo,cos-to-ñi-a-lo, ,-0.362962963,-0.102777778,1,0,0,3.91,text_option_1,,0,5,5,1,1
6140aaf2f4055ef0aacd08e3,63f3cfca20052e4ae7554ebf,6453c746ecaa510ba1f2c895,2023-05-04_16h55.34.777,ga_syllabified_check,2022.2.5,Win32,6.642576257,,,,,,,,,,,,,,./stim/p04_syllable_1_costonhialo_hit.wav,p04,costoñialo,hit,cos-to-nhia-lo,cos-to-ñia-lo,cos-to-ñi-a-lo, ,-0.321296296,-0.092592593,1,0,0,2.6747,text_option_1,,0,6,6,35,1
