participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
61462f791eb4fbf23ec1d583,63f3cfca20052e4ae7554ebf,6453c67e74af6c7cb8a49340,2023-05-04_16h53.19.835,ga_syllabified_check,2022.2.5,Linux x86_64,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61462f791eb4fbf23ec1d583,63f3cfca20052e4ae7554ebf,6453c67e74af6c7cb8a49340,2023-05-04_16h53.19.835,ga_syllabified_check,2022.2.5,Linux x86_64,60.0240096,-0.393518519,-0.1,1,0,0,11.634,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
61462f791eb4fbf23ec1d583,63f3cfca20052e4ae7554ebf,6453c67e74af6c7cb8a49340,2023-05-04_16h53.19.835,ga_syllabified_check,2022.2.5,Linux x86_64,60.0240096,-0.393518519,-0.1,1,0,0,3.166,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
61462f791eb4fbf23ec1d583,63f3cfca20052e4ae7554ebf,6453c67e74af6c7cb8a49340,2023-05-04_16h53.19.835,ga_syllabified_check,2022.2.5,Linux x86_64,60.0240096,0.392592593,-0.111111111,1,0,0,3.285,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
61462f791eb4fbf23ec1d583,63f3cfca20052e4ae7554ebf,6453c67e74af6c7cb8a49340,2023-05-04_16h53.19.835,ga_syllabified_check,2022.2.5,Linux x86_64,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61462f791eb4fbf23ec1d583,63f3cfca20052e4ae7554ebf,6453c67e74af6c7cb8a49340,2023-05-04_16h53.19.835,ga_syllabified_check,2022.2.5,Linux x86_64,60.0240096,,,,,,,,,,,,,,./stim/p07_syllable_1_lakapiaisto_hit.wav,p07,lakapiaisto,hit,la-ka-pia-sto,la-ka-piais-to,la-ka-pi-ais-to,la-ka-pia-is-to,-0.3,-0.110185185,1,0,0,48.067,text_option_1,,0,0,0,152,1
61462f791eb4fbf23ec1d583,63f3cfca20052e4ae7554ebf,6453c67e74af6c7cb8a49340,2023-05-04_16h53.19.835,ga_syllabified_check,2022.2.5,Linux x86_64,60.0240096,,,,,,,,,,,,,,./stim/p05_syllable_1_lakaduaisto_hit.wav,p05,lakaduaisto,hit,la-ka-dais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,-0.319444444,-0.12037037,1,0,0,7.733,text_option_1,,0,1,1,77,1
61462f791eb4fbf23ec1d583,63f3cfca20052e4ae7554ebf,6453c67e74af6c7cb8a49340,2023-05-04_16h53.19.835,ga_syllabified_check,2022.2.5,Linux x86_64,60.0240096,,,,,,,,,,,,,,./stim/p05_syllable_1_lakakiaisto_hit.wav,p05,lakakiaisto,hit,la-ka-ki-ais-to,la-ka-kiais-to,la-ka-ki-ais-to,la-ka-kia-is-to,-0.338888889,-0.094444444,1,0,0,16.549,text_option_1,,0,2,2,82,1
61462f791eb4fbf23ec1d583,63f3cfca20052e4ae7554ebf,6453c67e74af6c7cb8a49340,2023-05-04_16h53.19.835,ga_syllabified_check,2022.2.5,Linux x86_64,60.0240096,,,,,,,,,,,,,,./stim/p08_syllable_1_mebochiana_hit.wav,p08,mebochiana,hit,me-bo-chi-a-na,me-bo-chia-na,me-bo-chi-a-na, ,0.432407407,-0.109259259,1,0,0,11.067,text_option_2,,0,3,3,192,1
61462f791eb4fbf23ec1d583,63f3cfca20052e4ae7554ebf,6453c67e74af6c7cb8a49340,2023-05-04_16h53.19.835,ga_syllabified_check,2022.2.5,Linux x86_64,60.0240096,,,,,,,,,,,,,,./stim/p07_syllable_1_payielo_hit.wav,p07,payielo,hit,pa-yie-lo,pa-yie-lo,pa-yi-e-lo, ,-0.346296296,-0.090740741,1,0,0,1.35,text_option_1,,0,4,4,166,1
