participant,study,session,date,expName,psychopyVersion,OS,frameRate,mouse_practice.x,mouse_practice.y,mouse_practice.leftButton,mouse_practice.midButton,mouse_practice.rightButton,mouse_practice.time,mouse_practice.clicked_name,textbox_followup_practice.text,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,file_path,id,item,status,response,op1,op2,op3,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,textbox_followup.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,-0.380208333,-0.104166667,1,0,0,3.6303,text_option_1_practice,,0,0,0,0,1,./stim/p03_syllable_1_liamo_hit.wav,p03,liamo,hit,lia-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,-0.380208333,-0.104166667,1,0,0,1.6729,text_option_1_practice,,0,1,1,1,1,./stim/p05_syllable_1_matio_hit.wav,p05,matio,hit,ma-tio,ma-tio,ma-ti-o, ,,,,,,,,,,,,,
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,0.361979167,-0.10546875,1,0,0,3.4461,text_option_2_practice,,0,2,2,2,1,./stim/p08_syllable_1_liamo_hit.wav,p08,liamo,hit,ja-mo,lia-mo,li-a-mo, ,,,,,,,,,,,,,
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,./stim/p05_syllable_1_palumaisto_hit.wav,p05,palumaisto,hit,pa-lu-mais-to,pa-lu-mais-to,pa-lu-ma-is-to, ,0.377604167,-0.100260417,1,0,0,4.8168,text_option_2,,0,0,0,96,1
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,./stim/p03_syllable_1_nhiape_hit.wav,p03,ñiape,hit,nhia-pe,ñia-pe,ñi-a-pe, ,-0.3828125,-0.09765625,1,0,0,1.1214,text_option_1,,0,1,1,23,1
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,./stim/p05_syllable_1_rausto_hit.wav,p05,rausto,hit,raus-to,raus-to,ra-us-to, ,-0.369791667,-0.100260417,1,0,0,1.3052,text_option_1,,0,2,2,99,1
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,./stim/p07_syllable_1_ruyiola_hit.wav,p07,ruyiola,hit,ru-yio-la,ru-yio-la,ru-yi-o-la, ,-0.358072917,-0.106770833,1,0,0,2.8269,text_option_1,,0,3,3,168,1
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,./stim/p07_syllable_1_lakabiaisto_hit.wav,p07,lakabiaisto,hit,la-ka-bais-to,la-ka-biais-to,la-ka-bi-ais-to,la-ka-bia-is-to,-0.354166667,-0.096354167,1,0,0,3.3961,text_option_1,,0,4,4,142,1
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,./stim/p05_syllable_1_ruyiola_hit.wav,p05,ruyiola,hit,ru-yio-la,ru-yio-la,ru-yi-o-la, ,-0.359375,-0.109375,1,0,0,4.1311,text_option_1,,0,5,5,100,1
6167f106d8d301bd6433c8b1,63f3cfca20052e4ae7554ebf,6453cdced243a2e9c08191af,2023-05-04_17h23.27.383,ga_syllabified_check,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,./stim/p04_syllable_1_lakaduaisto_hit.wav,p04,lakaduaisto,hit,la-ka-duais-to,la-ka-duais-to,la-ka-du-ais-to,la-ka-dua-is-to,0.389322917,-0.09765625,1,0,0,8.0614,text_option_2,,0,6,6,43,1
